レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202609051001,2026-09-05,10,01R,08:32,2026-09-05T08:42:20.654386+09:00,4,490,4,230,5,470,,,4-5,2910,6,4=5,2010,5,4=5,360,7,1=4,140,1,1=5,210,3,4-5-1,4900,15,1=4=5,500,2
202609051801,2026-09-05,18,01R,08:44,2026-09-05T08:52:20.315940+09:00,1,110,1,100,3,200,,,1-3,380,2,1=3,420,2,1=3,140,1,1=5,190,3,3=5,530,8,1-3-5,1430,7,1=3=5,920,4
202609051002,2026-09-05,10,02R,08:58,2026-09-05T09:06:22.955163+09:00,1,150,1,110,2,130,,,1-2,270,1,1=2,170,1,1=2,140,1,1=4,190,3,2=4,190,4,1-2-4,700,1,1=2=4,250,1
202609051802,2026-09-05,18,02R,09:10,2026-09-05T09:20:21.520459+09:00,1,120,1,100,3,120,,,1-3,230,1,1=3,140,1,1=3,110,1,1=4,200,3,3=4,280,6,1-3-4,620,2,1=3=4,290,2
202609051003,2026-09-05,10,03R,09:24,2026-09-05T09:32:23.805676+09:00,3,590,3,100,1,110,,,3-1,440,2,1=3,180,1,1=3,120,1,3=4,150,2,1=4,170,4,3-1-4,970,3,1=3=4,310,2
202609051803,2026-09-05,18,03R,09:36,2026-09-05T09:44:22.454673+09:00,1,130,1,100,2,180,,,1-2,270,2,1=2,270,1,1=2,190,3,1=4,200,4,2=4,700,12,1-2-4,1210,3,1=2=4,900,5
202609051004,2026-09-05,10,04R,09:50,2026-09-05T09:58:23.863103+09:00,1,160,1,100,3,140,,,1-3,320,1,1=3,300,1,1=3,130,1,1=5,160,2,3=5,260,5,1-3-5,740,1,1=3=5,370,1
202609051804,2026-09-05,18,04R,10:02,2026-09-05T10:10:26.122728+09:00,1,140,1,100,5,470,,,1-5,820,4,1=5,680,3,1=5,190,3,1=2,100,1,2=5,210,5,1-5-2,1430,6,1=2=5,350,2
202609051005,2026-09-05,10,05R,10:18,2026-09-05T10:26:26.334086+09:00,1,500,1,260,4,370,,,1-4,910,5,1=4,410,2,1=4,240,4,1=6,390,9,4=6,200,2,1-4-6,2100,9,1=4=6,590,3
202609051805,2026-09-05,18,05R,10:29,2026-09-05T10:38:25.685853+09:00,1,170,1,120,3,140,,,1-3,420,2,1=3,220,1,1=3,140,1,1=6,180,3,3=6,230,6,1-3-6,900,4,1=3=6,410,2
202609051101,2026-09-05,11,01R,10:33,2026-09-05T10:42:24.134579+09:00,1,470,1,170,3,100,,,1-3,310,1,1=3,130,1,1=3,170,2,1=6,540,7,3=6,440,6,1-3-6,1990,7,1=3=6,780,3
202609051301,2026-09-05,13,01R,10:36,2026-09-05T10:46:23.594534+09:00,1,120,1,190,4,100,,,1-4,830,3,1=4,550,3,1=4,270,5,1=2,220,2,2=4,310,6,1-4-2,2040,6,1=2=4,430,2
202609050901,2026-09-05,09,01R,10:42,2026-09-05T10:52:19.757588+09:00,1,170,1,280,4,2310,,,1-4,1300,6,1=4,1040,5,1=4,370,6,1=3,180,2,3=4,720,14,1-4-3,6040,23,1=3=4,1840,10
202609050201,2026-09-05,02,01R,10:47,2026-09-05T10:56:19.486701+09:00,4,560,4,160,5,760,,,4-5,9650,24,4=5,4840,15,4=5,990,14,3=4,360,4,3=5,420,7,4-5-3,40480,100,3=4=5,2160,9
202609051006,2026-09-05,10,06R,10:50,2026-09-05T10:58:17.949792+09:00,3,490,3,240,1,180,,,3-1,730,3,1=3,460,2,1=3,190,3,3=4,180,2,1=4,140,1,3-1-4,1280,3,1=3=4,270,1
202609051701,2026-09-05,17,01R,10:54,2026-09-05T11:02:20.459930+09:00,1,120,1,200,5,1120,,,1-5,2490,8,1=5,1600,5,1=5,560,9,1=3,160,1,3=5,700,10,1-5-3,10400,28,1=3=5,2180,8
202609050401,2026-09-05,04,01R,10:55,2026-09-05T11:04:19.357313+09:00,3,190,3,100,1,140,,,3-1,480,2,1=3,300,1,1=3,150,1,2=3,390,8,1=2,460,9,3-1-2,2790,11,1=2=3,690,3
202609051806,2026-09-05,18,06R,10:59,2026-09-05T11:08:24.107055+09:00,6,1170,6,1030,4,550,,,6-4,31160,30,4=6,6330,14,4=6,1500,15,2=6,360,3,2=4,630,7,6-4-2,98340,100,2=4=6,4650,12
202609051102,2026-09-05,11,02R,11:02,2026-09-05T11:10:22.158651+09:00,4,240,4,180,5,460,,,4-5,670,4,4=5,1210,6,4=5,440,4,4=6,690,7,5=6,2560,14,4-5-6,4050,20,4=5=6,2330,9
202609051302,2026-09-05,13,02R,11:05,2026-09-05T11:14:20.675285+09:00,1,310,1,120,5,300,,,1-5,2580,9,1=5,1900,9,1=5,610,10,1=4,200,2,4=5,610,10,1-5-4,11610,49,1=4=5,2280,12
202609050902,2026-09-05,09,02R,11:12,2026-09-05T11:20:20.873093+09:00,1,160,1,100,3,100,,,1-3,320,1,1=3,290,2,1=3,130,1,1=5,260,5,3=5,330,6,1-3-5,1330,5,1=3=5,720,4
202609050301,2026-09-05,03,01R,11:14,2026-09-05T11:24:22.243481+09:00,3,600,3,160,1,130,,,3-1,1030,5,1=3,380,2,1=3,150,2,3=4,210,3,1=4,120,1,3-1-4,3230,12,1=3=4,410,2
202609050202,2026-09-05,02,02R,11:16,2026-09-05T11:24:22.243481+09:00,1,150,1,160,5,470,,,1-5,2010,7,1=5,1890,10,1=5,590,11,1=4,420,6,4=5,640,13,1-5-4,13990,44,1=4=5,4600,20
202609051007,2026-09-05,10,07R,11:20,2026-09-05T11:30:30.180367+09:00,1,180,1,150,5,590,,,1-5,3280,12,1=5,2370,8,1=5,740,10,1=4,200,3,4=5,630,8,1-5-4,8510,28,1=4=5,1310,7
202609051702,2026-09-05,17,02R,11:23,2026-09-05T11:32:23.628994+09:00,1,100,1,100,5,170,,,1-5,410,2,1=5,280,2,1=5,110,1,1=3,140,2,3=5,140,3,1-5-3,720,2,1=3=5,200,1
202609050402,2026-09-05,04,02R,11:24,2026-09-05T11:32:23.628994+09:00,1,200,1,240,5,300,,,1-5,1820,7,1=5,760,3,1=5,320,3,1=3,550,9,3=5,690,11,1-5-3,7300,29,1=3=5,2440,10
202609051807,2026-09-05,18,07R,11:31,2026-09-05T11:40:22.186007+09:00,1,180,1,120,2,160,,,1-2,300,1,1=2,270,1,1=2,180,2,1=3,410,6,2=3,420,7,1-2-3,1070,3,1=2=3,500,2
202609051103,2026-09-05,11,03R,11:34,2026-09-05T11:46:23.245475+09:00,2,230,2,170,3,270,,,2-3,1170,5,2=3,400,1,2=3,210,2,1=2,350,7,1=3,390,9,2-3-1,5760,29,1=2=3,850,5
202609051303,2026-09-05,13,03R,11:37,2026-09-05T11:46:23.245475+09:00,2,410,2,290,5,1680,,,2-5,6920,20,2=5,4170,12,2=5,1060,13,2=6,330,5,5=6,1360,14,2-5-6,12070,45,2=5=6,4870,16
202609050302,2026-09-05,03,02R,11:41,2026-09-05T11:50:24.704151+09:00,1,230,1,130,2,110,,,1-2,330,1,1=2,200,1,1=2,110,1,1=4,180,4,2=4,160,2,1-2-4,1180,2,1=2=4,320,2
202609050903,2026-09-05,09,03R,11:42,2026-09-05T11:50:24.704151+09:00,1,160,1,100,2,130,,,1-2,390,1,1=2,230,1,1=2,140,2,1=3,110,1,2=3,190,3,1-2-3,820,1,1=2=3,300,1
202609050203,2026-09-05,02,03R,11:45,2026-09-05T11:56:20.768388+09:00,5,350,5,340,3,470,,,5-3,2440,12,3=5,1500,8,3=5,490,6,1=5,290,4,1=3,550,8,5-3-1,12670,48,1=3=5,1400,8
202609052201,2026-09-05,22,01R,11:48,2026-09-05T11:56:20.768388+09:00,1,110,1,100,4,130,,,1-4,430,2,1=4,510,3,1=4,130,1,1=5,170,3,4=5,300,6,1-4-5,1370,5,1=4=5,540,3
202609051008,2026-09-05,10,08R,11:50,2026-09-05T11:58:20.196177+09:00,2,1000,2,200,1,100,,,2-1,1990,9,1=2,680,4,1=2,320,6,2=4,300,5,1=4,280,3,2-1-4,7490,28,1=2=4,1230,6
202609050403,2026-09-05,04,03R,11:53,2026-09-05T12:02:26.713845+09:00,1,150,1,100,2,240,,,1-2,270,1,1=2,250,1,1=2,140,2,1=4,120,1,2=4,290,6,1-2-4,850,1,1=2=4,440,1
202609051304,2026-09-05,13,04R,12:00,2026-09-05T12:08:20.300007+09:00,1,150,1,100,3,130,,,1-3,400,1,1=3,480,3,1=3,210,1,1=5,250,5,3=5,870,12,1-3-5,2390,9,1=3=5,1440,7
202609051104,2026-09-05,11,04R,12:02,2026-09-05T12:12:24.947148+09:00,5,260,5,100,4,100,,,5-4,340,2,4=5,150,1,4=5,100,1,5=6,280,8,4=6,220,5,5-4-6,1260,4,4=5=6,370,2
202609051808,2026-09-05,18,08R,12:06,2026-09-05T12:14:21.562372+09:00,1,140,1,100,6,100,,,1-6,770,2,1=6,750,3,1=6,160,2,1=2,130,1,2=6,220,4,1-6-2,1340,3,1=2=6,340,1
202609050303,2026-09-05,03,03R,12:08,2026-09-05T12:18:26.939972+09:00,1,250,1,200,5,780,,,1-5,3750,13,1=5,2070,10,1=5,470,8,1=2,310,3,2=5,370,6,1-5-2,7880,31,1=2=5,1060,4
202609051703,2026-09-05,17,03R,12:11,2026-09-05T12:18:26.939972+09:00,1,100,1,100,2,280,,,1-2,440,2,1=2,400,2,1=2,260,4,1=3,140,1,2=3,330,6,1-2-3,1000,3,1=2=3,310,1
202609050904,2026-09-05,09,04R,12:13,2026-09-05T12:22:25.077236+09:00,1,100,1,130,6,160,,,1-6,470,2,1=6,390,2,1=6,200,2,1=4,300,5,4=6,420,10,1-6-4,3470,14,1=4=6,1380,8
202609050204,2026-09-05,02,04R,12:14,2026-09-05T12:22:25.077236+09:00,5,470,5,150,3,100,,,5-3,1200,6,3=5,340,2,3=5,160,1,2=5,620,10,2=3,310,6,5-3-2,7040,25,2=3=5,1170,7
202609052202,2026-09-05,22,02R,12:18,2026-09-05T12:28:20.896824+09:00,3,350,3,210,1,170,,,3-1,1380,7,1=3,420,1,1=3,230,3,3=4,320,6,1=4,150,1,3-1-4,4110,13,1=3=4,270,1
202609050404,2026-09-05,04,04R,12:22,2026-09-05T12:30:25.986414+09:00,1,160,1,250,3,220,,,1-3,640,2,1=3,460,2,1=3,190,1,1=4,280,7,3=4,420,9,1-3-4,2370,6,1=3=4,1070,6
202609051009,2026-09-05,10,09R,12:25,2026-09-05T12:32:24.935382+09:00,1,170,1,270,5,380,,,1-5,1070,4,1=5,1190,6,1=5,310,7,1=3,280,4,3=5,300,5,1-5-3,2420,8,1=3=5,360,2
202609051305,2026-09-05,13,05R,12:31,2026-09-05T12:40:25.441291+09:00,1,210,1,130,4,100,,,1-4,490,2,1=4,320,1,1=4,160,1,1=2,190,3,2=4,160,2,1-4-2,1050,2,1=2=4,240,1
202609050304,2026-09-05,03,04R,12:35,2026-09-05T12:42:21.451233+09:00,2,470,2,130,3,150,,,2-3,1030,4,2=3,490,1,2=3,170,1,1=2,300,7,1=3,280,6,2-3-1,3500,10,1=2=3,670,2
202609051105,2026-09-05,11,05R,12:33,2026-09-05T12:44:20.108024+09:00,1,130,1,100,3,170,,,1-3,480,2,1=3,520,2,1=3,170,2,1=6,330,5,3=6,790,12,1-3-6,3340,12,1=3=6,1950,6
