レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーター2連率pt,1枠_寄与_モーター2連率pt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーター2連率pt,2枠_寄与_モーター2連率pt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーター2連率pt,3枠_寄与_モーター2連率pt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーター2連率pt,4枠_寄与_モーター2連率pt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーター2連率pt,5枠_寄与_モーター2連率pt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーター2連率pt,6枠_寄与_モーター2連率pt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607100201,2026-07-10,02,1R,daily,67.6,19.75,88.75,27.92,44.07,3.67,50.0,10.95,50.0,4.56,66.84,53.26,15.56,86.31,27.15,52.16,4.34,50.0,10.95,50.0,4.56,62.55,50.25,14.68,61.95,19.49,43.02,3.58,50.0,10.95,50.0,4.56,53.25,49.61,14.49,64.39,20.25,62.04,5.17,50.0,10.95,50.0,4.56,55.42,44.82,13.09,74.13,23.32,45.86,3.82,50.0,10.95,50.0,4.56,55.73,33.57,9.81,86.31,27.15,61.44,5.12,50.0,10.95,50.0,4.56,57.58
202607100202,2026-07-10,02,2R,daily,67.6,19.75,57.08,17.96,59.5,4.95,50.0,10.95,50.0,4.56,58.16,53.26,15.56,93.62,29.45,55.3,4.61,50.0,10.95,50.0,4.56,65.12,50.25,14.68,47.34,14.89,46.31,3.86,50.0,10.95,50.0,4.56,48.93,49.61,14.49,93.62,29.45,52.91,4.41,50.0,10.95,50.0,4.56,63.85,44.82,13.09,103.37,32.51,40.77,3.4,50.0,10.95,50.0,4.56,64.51,33.57,9.81,83.88,26.38,46.76,3.89,50.0,10.95,50.0,4.56,55.59
202607100203,2026-07-10,02,3R,daily,67.6,19.75,49.77,15.66,58.45,4.87,50.0,10.95,50.0,4.56,55.77,53.26,15.56,81.44,25.62,64.74,5.39,50.0,10.95,50.0,4.56,62.07,50.25,14.68,49.77,15.66,46.16,3.84,50.0,10.95,50.0,4.56,49.68,49.61,14.49,44.9,14.12,52.76,4.39,50.0,10.95,50.0,4.56,48.51,44.82,13.09,103.37,32.51,51.56,4.29,50.0,10.95,50.0,4.56,65.4,33.57,9.81,79.01,24.85,56.05,4.67,50.0,10.95,50.0,4.56,54.83
202607100204,2026-07-10,02,4R,daily,67.6,19.75,69.26,21.79,51.41,4.28,50.0,10.95,50.0,4.56,61.32,53.26,15.56,100.93,31.75,51.86,4.32,50.0,10.95,50.0,4.56,67.13,50.25,14.68,47.34,14.89,54.25,4.52,50.0,10.95,50.0,4.56,49.59,49.61,14.49,40.03,12.59,56.35,4.69,50.0,10.95,50.0,4.56,47.28,44.82,13.09,100.93,31.75,70.13,5.84,50.0,10.95,50.0,4.56,66.18,33.57,9.81,74.13,23.32,50.81,4.23,50.0,10.95,50.0,4.56,52.86
202607100205,2026-07-10,02,5R,daily,67.6,19.75,47.34,14.89,58.0,4.83,50.0,10.95,50.0,4.56,54.97,53.26,15.56,88.75,27.92,52.01,4.33,50.0,10.95,50.0,4.56,63.31,50.25,14.68,74.13,23.32,59.65,4.97,50.0,10.95,50.0,4.56,58.47,49.61,14.49,100.93,31.75,51.56,4.29,50.0,10.95,50.0,4.56,66.04,44.82,13.09,96.06,30.22,48.56,4.04,50.0,10.95,50.0,4.56,62.86,33.57,9.81,52.21,16.42,61.14,5.09,50.0,10.95,50.0,4.56,46.82
202607100206,2026-07-10,02,6R,daily,67.6,19.75,88.75,27.92,57.7,4.81,50.0,10.95,50.0,4.56,67.97,53.26,15.56,40.03,12.59,46.61,3.88,50.0,10.95,50.0,4.56,47.53,50.25,14.68,44.9,14.12,46.91,3.91,50.0,10.95,50.0,4.56,48.21,49.61,14.49,71.7,22.55,50.21,4.18,50.0,10.95,50.0,4.56,56.73,44.82,13.09,86.31,27.15,61.44,5.12,50.0,10.95,50.0,4.56,60.86,33.57,9.81,81.44,25.62,58.75,4.89,50.0,10.95,50.0,4.56,55.82
202607100207,2026-07-10,02,7R,daily,67.6,19.75,64.39,20.25,62.04,5.17,50.0,10.95,50.0,4.56,60.67,53.26,15.56,98.5,30.98,49.16,4.09,50.0,10.95,50.0,4.56,66.14,50.25,14.68,52.21,16.42,47.51,3.96,50.0,10.95,50.0,4.56,50.56,49.61,14.49,103.37,32.51,53.8,4.48,50.0,10.95,50.0,4.56,66.99,44.82,13.09,52.21,16.42,49.31,4.11,50.0,10.95,50.0,4.56,49.13,33.57,9.81,93.62,29.45,52.91,4.41,50.0,10.95,50.0,4.56,59.16
202607100208,2026-07-10,02,8R,daily,67.6,19.75,61.95,19.49,50.06,4.17,50.0,10.95,50.0,4.56,58.91,53.26,15.56,61.95,19.49,41.37,3.45,50.0,10.95,50.0,4.56,53.99,50.25,14.68,42.47,13.36,54.7,4.56,50.0,10.95,50.0,4.56,48.1,49.61,14.49,81.44,25.62,64.74,5.39,50.0,10.95,50.0,4.56,61.0,44.82,13.09,57.08,17.96,45.12,3.76,50.0,10.95,50.0,4.56,50.31,33.57,9.81,61.95,19.49,43.02,3.58,50.0,10.95,50.0,4.56,48.38
202607100209,2026-07-10,02,9R,daily,67.6,19.75,100.93,31.75,51.56,4.29,50.0,10.95,50.0,4.56,71.29,53.26,15.56,66.83,21.02,45.42,3.78,50.0,10.95,50.0,4.56,55.86,50.25,14.68,74.13,23.32,50.81,4.23,50.0,10.95,50.0,4.56,57.73,49.61,14.49,44.9,14.12,43.77,3.64,50.0,10.95,50.0,4.56,47.76,44.82,13.09,86.31,27.15,47.21,3.93,50.0,10.95,50.0,4.56,59.68,33.57,9.81,54.65,17.19,65.19,5.43,50.0,10.95,50.0,4.56,47.93
202607100210,2026-07-10,02,10R,daily,67.6,19.75,100.93,31.75,70.13,5.84,50.0,10.95,50.0,4.56,72.84,53.26,15.56,81.44,25.62,58.75,4.89,50.0,10.95,50.0,4.56,61.57,50.25,14.68,83.88,26.38,46.76,3.89,50.0,10.95,50.0,4.56,60.46,49.61,14.49,57.08,17.96,53.8,4.48,50.0,10.95,50.0,4.56,52.43,44.82,13.09,86.31,27.15,52.16,4.34,50.0,10.95,50.0,4.56,60.09,33.57,9.81,88.75,27.92,52.01,4.33,50.0,10.95,50.0,4.56,57.56
