レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連複_1=2=3,3連複_1=2=4,3連複_1=2=5,3連複_1=2=6,3連複_1=3=4,3連複_1=3=5,3連複_1=3=6,3連複_1=4=5,3連複_1=4=6,3連複_1=5=6,3連複_2=3=4,3連複_2=3=5,3連複_2=3=6,3連複_2=4=5,3連複_2=4=6,3連複_2=5=6,3連複_3=4=5,3連複_3=4=6,3連複_3=5=6,3連複_4=5=6,拡連複_1=2_下限,拡連複_1=2_上限,拡連複_1=3_下限,拡連複_1=3_上限,拡連複_1=4_下限,拡連複_1=4_上限,拡連複_1=5_下限,拡連複_1=5_上限,拡連複_1=6_下限,拡連複_1=6_上限,拡連複_2=3_下限,拡連複_2=3_上限,拡連複_2=4_下限,拡連複_2=4_上限,拡連複_2=5_下限,拡連複_2=5_上限,拡連複_2=6_下限,拡連複_2=6_上限,拡連複_3=4_下限,拡連複_3=4_上限,拡連複_3=5_下限,拡連複_3=5_上限,拡連複_3=6_下限,拡連複_3=6_上限,拡連複_4=5_下限,拡連複_4=5_上限,拡連複_4=6_下限,拡連複_4=6_上限,拡連複_5=6_下限,拡連複_5=6_上限,単勝_1,単勝_2,単勝_3,単勝_4,単勝_5,単勝_6,複勝_1_下限,複勝_1_上限,複勝_2_下限,複勝_2_上限,複勝_3_下限,複勝_3_上限,複勝_4_下限,複勝_4_上限,複勝_5_下限,複勝_5_上限,複勝_6_下限,複勝_6_上限
202608202101,2026-08-20,21,01R,08:32,2026-08-20T08:22:21.405032+09:00,4.4,9.4,3.1,16.3,12.3,6.2,27.2,9.2,34.0,22.6,81.6,27.2,408.0,58.2,45.3,45.3,58.2,136.0,58.2,68.0,1.6,2.1,1.3,1.7,4.4,8.4,1.2,1.3,5.3,10.3,3.5,5.0,4.2,7.1,3.2,4.8,11.8,20.0,11.1,21.0,3.0,4.9,22.0,41.2,10.0,20.4,0.0,0.0,5.3,10.5,1.0,12.3,9.9,12.3,24.7,49.5,1.0,1.0,1.9,5.9,3.5,11.2,2.5,7.7,1.6,4.8,2.5,7.7
202608202301,2026-08-20,23,01R,08:40,2026-08-20T08:30:35.921514+09:00,2.7,7.9,6.0,25.0,7.9,4.3,25.0,14.5,50.1,32.2,45.1,37.6,150.5,64.5,75.2,150.5,90.3,150.5,225.7,112.8,1.8,2.6,1.1,1.3,2.0,3.7,1.2,1.6,12.5,23.4,2.5,3.9,13.8,26.0,5.1,7.2,30.5,51.3,3.9,8.9,3.3,6.1,24.2,49.8,12.2,25.8,0.0,0.0,13.8,25.8,1.0,79.8,319.5,0.0,319.5,0.0,1.0,1.0,3.3,6.9,1.5,3.0,2.3,4.8,2.3,4.8,2.3,4.8
202608201801,2026-08-20,18,01R,08:48,2026-08-20T08:38:22.751410+09:00,3.1,3.6,7.0,39.9,9.7,10.5,55.2,7.5,39.9,27.6,42.2,39.9,119.7,35.9,119.7,718.5,32.6,143.7,119.7,47.9,1.4,1.6,2.3,2.9,1.9,2.3,1.8,2.2,5.2,5.7,3.0,4.1,2.8,3.9,4.4,6.3,45.2,56.2,4.3,5.2,6.2,7.6,10.8,11.7,3.6,4.5,10.4,11.6,8.7,10.0,1.0,15.7,23.6,15.7,7.8,23.6,1.0,1.0,1.5,4.9,4.8,18.3,2.6,9.5,1.8,6.5,2.6,9.5
202608202102,2026-08-20,21,02R,08:58,2026-08-20T08:48:18.258032+09:00,11.0,3.4,15.0,27.5,6.3,33.0,33.0,3.6,33.0,23.5,23.5,41.2,55.0,15.0,55.0,55.0,23.5,55.0,82.5,41.2,1.6,3.6,0.0,0.0,1.0,1.5,4.7,20.2,5.0,20.2,2.1,6.7,1.3,2.3,5.5,20.2,0.0,0.0,2.8,5.2,0.0,0.0,0.0,0.0,2.7,5.2,5.0,9.7,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,1.6,4.5,3.0,9.0,0.0,0.0,1.0,1.8,3.0,9.0,1.2,3.0
202608202302,2026-08-20,23,02R,09:06,2026-08-20T08:56:22.374795+09:00,2.4,6.9,4.5,7.1,20.2,13.1,37.1,22.2,44.5,24.7,31.8,222.7,55.6,55.6,55.6,44.5,74.2,74.2,222.7,74.2,1.0,1.1,3.1,9.7,2.0,5.0,2.6,6.3,5.6,9.7,1.4,5.5,2.5,13.0,3.6,9.9,0.0,0.0,4.0,13.0,11.2,19.5,0.0,0.0,0.0,0.0,0.0,0.0,12.2,39.0,1.0,45.0,45.0,45.0,0.0,0.0,1.0,3.5,1.0,1.1,0.0,0.0,3.0,14.2,1.6,7.1,0.0,0.0
202608201802,2026-08-20,18,02R,09:14,2026-08-20T09:04:27.660307+09:00,10.6,45.3,1.2,23.7,45.3,9.9,62.3,71.2,83.1,12.7,99.7,17.8,71.2,249.3,249.3,29.3,124.6,166.2,83.1,498.7,1.9,3.8,1.2,1.8,0.0,0.0,1.5,4.7,6.3,21.3,1.6,3.0,6.5,10.8,1.6,2.6,12.2,21.0,12.2,42.7,2.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,42.7,1.0,8.2,24.7,0.0,24.7,8.2,1.6,2.0,1.4,1.6,2.2,2.9,7.8,9.7,1.6,2.0,2.8,3.7
202608202103,2026-08-20,21,03R,09:24,2026-08-20T09:14:21.305088+09:00,4.5,31.5,6.8,28.0,18.0,2.6,19.3,28.0,63.0,22.9,28.0,9.0,31.5,126.0,63.0,50.4,18.0,63.0,42.0,252.0,3.5,8.0,1.0,1.1,2.3,3.5,2.6,4.2,5.3,11.6,2.4,4.9,7.1,12.0,4.7,8.1,0.0,0.0,2.3,3.5,1.8,2.6,5.3,11.2,13.2,15.7,14.5,23.2,14.0,22.8,2.2,3.3,2.2,0.0,0.0,6.7,1.0,1.0,3.0,20.2,1.0,5.0,0.0,0.0,3.0,20.2,3.0,20.2
202608202303,2026-08-20,23,03R,09:32,2026-08-20T09:22:22.294187+09:00,6.4,5.8,22.5,33.7,2.8,16.8,33.7,3.2,33.7,33.7,67.5,135.0,135.0,45.0,135.0,135.0,45.0,67.5,0.0,67.5,3.0,3.7,2.2,3.1,1.3,1.5,2.4,3.1,5.6,6.7,4.3,4.9,5.3,7.0,12.2,13.7,6.7,7.2,1.6,2.1,6.0,7.1,6.2,7.1,2.8,3.8,5.6,7.0,12.7,13.7,3.7,5.6,2.8,2.8,11.2,11.2,1.0,1.7,3.7,12.0,0.0,0.0,1.0,2.0,2.0,6.0,0.0,0.0
202608201803,2026-08-20,18,03R,09:40,2026-08-20T09:30:42.160999+09:00,10.3,7.2,5.3,29.1,10.3,4.1,36.3,3.2,36.3,20.7,48.5,48.5,0.0,48.5,0.0,72.7,36.3,145.5,145.5,72.7,3.0,12.7,2.1,7.6,3.1,12.7,1.4,3.4,0.0,0.0,1.2,2.5,0.0,0.0,3.4,12.7,0.0,0.0,5.7,19.1,8.7,38.2,0.0,0.0,1.6,4.7,0.0,0.0,0.0,0.0,1.0,0.0,11.2,0.0,22.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202608202104,2026-08-20,21,04R,09:50,2026-08-20T09:40:26.840990+09:00,10.8,11.2,23.5,14.1,2.2,13.4,7.2,15.6,7.2,35.2,47.0,70.5,282.0,141.0,40.2,141.0,47.0,28.2,0.0,56.4,6.1,7.0,1.8,2.3,1.5,1.8,4.3,4.9,2.0,2.3,6.3,7.2,6.1,7.2,7.0,7.2,6.5,7.1,1.7,2.2,12.2,13.7,3.1,3.8,11.5,13.7,3.0,3.8,6.3,7.1,1.0,32.2,10.7,32.2,0.0,0.0,1.0,1.0,1.7,15.1,4.5,44.2,2.4,22.5,1.7,15.1,2.4,22.5
202608202304,2026-08-20,23,04R,09:58,2026-08-20T09:48:42.104833+09:00,22.1,2.5,38.0,13.3,13.3,26.6,266.2,22.1,7.0,44.3,14.0,133.1,33.2,33.2,3.8,66.5,88.7,66.5,0.0,44.3,2.1,2.7,3.5,5.7,2.4,3.2,4.7,7.5,4.7,7.5,2.5,4.6,1.3,1.4,4.0,7.5,4.0,7.5,2.5,4.6,7.0,22.5,0.0,0.0,4.0,7.5,4.0,7.5,0.0,0.0,1.5,4.1,14.6,3.2,0.0,14.6,1.2,1.3,1.6,2.1,3.0,4.0,1.9,2.5,3.0,4.0,2.3,3.0
202608201804,2026-08-20,18,04R,10:06,2026-08-20T09:56:30.884876+09:00,2.3,2.6,14.1,33.9,7.0,28.2,42.3,12.1,84.7,42.3,15.4,84.7,169.5,56.5,0.0,169.5,169.5,0.0,169.5,169.5,1.0,2.4,1.3,4.8,1.8,6.5,3.0,11.7,0.0,0.0,1.3,4.5,3.3,14.6,3.5,14.6,0.0,0.0,7.6,29.2,15.7,58.5,0.0,0.0,4.5,14.6,0.0,0.0,0.0,0.0,1.0,0.0,6.7,0.0,0.0,0.0,1.0,1.0,1.8,40.5,1.8,40.5,3.3,80.6,1.8,40.5,3.3,80.6
