レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202605232301,2026-05-23,23,01R,08:32,2026-05-23T08:22:23.801445+09:00,1,52.0,0.0,6.71,-0.5,43.5,3.5,6.74,-0.5,52.3,0.0,6.79,0.0,51.5,0.5,6.75,-0.5,55.4,0.0,6.85,0.0,54.8,0.0,6.79,-0.5
202605231001,2026-05-23,10,01R,08:39,2026-05-23T08:30:50.994971+09:00,1,52.4,0.0,6.69,0.0,51.0,1.0,6.59,0.0,52.4,0.0,6.63,0.5,52.0,0.0,6.64,0.5,52.6,0.0,6.65,-0.5,52.0,0.0,6.69,-0.5
202605231801,2026-05-23,18,01R,08:46,2026-05-23T08:36:23.025722+09:00,1,47.5,0.0,6.97,0.0,48.5,0.0,7.01,0.0,51.3,0.0,7.04,0.0,55.3,0.0,7.03,0.0,49.6,0.0,7.01,0.0,46.5,0.5,6.99,0.5
202605232302,2026-05-23,23,02R,08:58,2026-05-23T08:48:21.466809+09:00,1,52.9,0.0,6.73,-0.5,52.0,0.0,6.7,0.0,54.4,0.0,6.79,-0.5,54.4,0.0,6.78,-0.5,47.0,0.0,6.76,-0.5,57.0,0.0,6.72,-0.5
202605231002,2026-05-23,10,02R,09:05,2026-05-23T08:56:23.483380+09:00,1,53.6,0.0,6.63,-0.5,52.3,0.0,6.6,0.0,51.5,0.5,6.7,-0.5,54.8,0.0,6.66,0.0,54.0,0.0,6.67,-0.5,59.2,0.0,6.67,0.0
202605231802,2026-05-23,18,02R,09:12,2026-05-23T09:02:23.764465+09:00,1,47.2,0.0,6.98,0.0,45.5,1.5,6.96,0.0,47.8,0.0,7.02,0.0,45.5,1.5,7.05,0.0,47.0,0.0,7.03,0.0,47.0,0.0,6.98,0.0
202605232303,2026-05-23,23,03R,09:24,2026-05-23T09:14:21.381745+09:00,1,52.0,0.0,6.73,-0.5,57.7,0.0,6.76,0.0,52.0,0.0,6.82,-0.5,52.0,0.0,6.75,-0.5,58.2,0.0,6.79,-0.5,54.0,0.0,6.73,-0.5
202605231003,2026-05-23,10,03R,09:31,2026-05-23T09:22:24.049930+09:00,1,53.8,0.0,6.66,-0.5,51.5,0.5,6.71,-0.5,52.0,0.0,6.65,-0.5,54.9,0.0,6.73,-0.5,53.3,0.0,6.74,-0.5,52.8,0.0,6.68,0.0
202605231803,2026-05-23,18,03R,09:38,2026-05-23T09:28:22.029489+09:00,1,45.0,2.0,,0.0,48.8,0.0,,0.0,44.0,3.0,,-0.5,49.9,0.0,,0.0,52.6,0.0,,0.0,47.0,0.0,,0.0
202605232304,2026-05-23,23,04R,09:50,2026-05-23T09:40:28.112481+09:00,1,52.2,0.0,6.71,0.0,52.1,0.0,6.74,-0.5,45.5,1.5,6.79,-0.5,52.0,0.0,6.79,-0.5,52.2,0.0,6.73,-0.5,48.5,0.0,6.71,0.0
202605231004,2026-05-23,10,04R,09:57,2026-05-23T09:48:21.408052+09:00,1,51.0,1.0,6.67,0.0,52.1,0.0,6.63,-0.5,52.9,0.0,6.68,-0.5,54.8,0.0,6.75,0.0,53.1,0.0,6.62,-0.5,52.4,0.0,6.63,0.0
202605231804,2026-05-23,18,04R,10:04,2026-05-23T09:54:20.757587+09:00,1,47.0,0.0,7.05,-0.5,47.0,0.0,7.03,0.0,47.4,0.0,6.95,-0.5,46.5,0.5,7.03,0.0,45.0,2.0,7.0,0.0,54.5,0.0,7.03,0.0
202605232305,2026-05-23,23,05R,10:16,2026-05-23T10:06:20.925786+09:00,1,52.2,0.0,6.75,-0.5,53.0,0.0,6.75,-0.5,54.3,0.0,6.75,-0.5,53.9,0.0,6.75,0.0,54.8,0.0,6.74,-0.5,55.3,0.0,6.67,0.0
202605231005,2026-05-23,10,05R,10:23,2026-05-23T10:14:23.168256+09:00,1,54.4,0.0,6.68,0.0,53.1,0.0,6.75,0.0,53.4,0.0,6.8,0.0,52.3,0.0,6.71,0.0,52.7,0.0,6.76,0.0,58.0,0.0,6.8,-0.5
202605231805,2026-05-23,18,05R,10:30,2026-05-23T10:20:34.294065+09:00,1,49.2,0.0,6.92,0.0,50.3,0.0,6.95,0.0,52.9,0.0,7.01,0.0,46.5,0.5,7.01,0.0,46.5,0.5,6.99,0.0,47.0,0.0,6.97,0.0
202605230801,2026-05-23,08,01R,10:31,2026-05-23T10:22:21.980990+09:00,1,52.0,0.0,6.75,-0.5,52.6,0.0,6.77,0.0,52.0,0.0,6.78,-0.5,53.4,0.0,6.75,0.0,52.0,0.0,6.71,0.0,55.7,0.0,6.79,0.0
202605230901,2026-05-23,09,01R,10:32,2026-05-23T10:22:21.980990+09:00,1,52.3,0.0,6.82,-0.5,52.0,0.0,6.94,0.0,46.0,1.0,6.77,-0.5,52.0,0.0,6.88,-0.5,52.1,0.0,6.82,-0.5,43.5,3.5,6.8,-0.5
202605231101,2026-05-23,11,01R,10:31,2026-05-23T10:22:21.980990+09:00,1,51.5,0.5,6.92,0.5,52.0,0.0,6.92,0.0,52.3,0.0,6.97,0.0,52.0,0.0,6.85,0.0,52.0,0.0,6.85,0.5,53.0,0.0,6.93,0.0
202605231301,2026-05-23,13,01R,10:40,2026-05-23T10:30:38.697270+09:00,1,52.0,0.0,7.04,0.0,52.0,0.0,6.93,-0.5,51.5,0.5,7.01,0.0,52.1,0.0,6.96,0.0,56.1,0.0,6.96,0.0,52.5,0.0,6.96,0.0
202605232306,2026-05-23,23,06R,10:46,2026-05-23T10:36:23.297873+09:00,1,54.4,0.0,6.86,-0.5,44.0,3.0,6.84,-0.5,52.2,0.0,6.81,-0.5,50.2,0.0,6.77,-0.5,52.0,0.0,6.82,-0.5,43.5,3.5,6.78,-0.5
202605231601,2026-05-23,16,01R,10:50,2026-05-23T10:40:27.551495+09:00,1,52.1,0.0,6.98,-0.5,52.3,0.0,6.98,-0.5,54.8,0.0,6.96,-0.5,52.4,0.0,6.98,-0.5,51.5,0.5,7.07,-0.5,54.6,0.0,7.0,-0.5
202605231006,2026-05-23,10,06R,10:52,2026-05-23T10:42:22.525685+09:00,1,56.1,0.0,6.72,0.0,52.6,0.0,6.75,0.0,55.8,0.0,6.68,0.0,56.2,0.0,6.69,0.0,52.4,0.0,6.72,0.0,52.7,0.0,6.75,0.0
202605230802,2026-05-23,08,02R,10:56,2026-05-23T10:46:20.471752+09:00,1,44.5,2.5,,-0.5,52.7,0.0,,0.0,53.2,0.0,,0.0,52.0,0.0,,0.0,52.0,0.0,,-0.5,53.0,0.0,,0.0
202605231102,2026-05-23,11,02R,10:58,2026-05-23T10:48:24.095346+09:00,1,52.3,0.0,6.82,0.5,52.3,0.0,6.96,0.0,52.0,0.0,6.91,0.0,52.1,0.0,6.94,0.0,47.3,0.0,6.96,0.5,53.0,0.0,7.02,0.5
202605231806,2026-05-23,18,06R,11:00,2026-05-23T10:50:21.790737+09:00,1,47.0,0.0,7.0,0.0,67.1,0.0,7.1,0.0,45.5,1.5,6.96,0.0,45.5,1.5,6.96,-0.5,48.5,0.0,7.05,0.0,47.0,0.0,6.98,0.0
202605230902,2026-05-23,09,02R,11:01,2026-05-23T10:52:21.577484+09:00,1,58.6,0.0,6.84,-0.5,58.6,0.0,6.81,-0.5,47.2,0.0,6.8,-0.5,52.5,0.0,6.84,-0.5,52.9,0.0,6.91,-0.5,52.1,0.0,6.79,0.0
202605231302,2026-05-23,13,02R,11:10,2026-05-23T11:00:56.550360+09:00,1,52.8,0.0,6.98,0.0,54.4,0.0,6.94,0.0,52.0,0.0,6.96,0.0,52.0,0.0,6.93,0.0,52.0,0.0,7.05,-0.5,48.5,3.5,6.98,0.0
202605232307,2026-05-23,23,07R,11:15,2026-05-23T11:06:23.335209+09:00,1,58.2,0.0,6.82,-0.5,55.5,0.0,6.82,-0.5,47.0,0.0,6.77,-0.5,50.5,1.5,6.78,0.0,52.0,0.0,6.78,0.0,47.5,0.0,6.76,-0.5
202605231602,2026-05-23,16,02R,11:17,2026-05-23T11:08:22.113329+09:00,1,52.0,0.0,6.89,0.0,53.8,0.0,7.1,-0.5,53.2,0.0,6.92,0.0,52.2,0.0,6.93,-0.5,45.5,1.5,6.99,-0.5,49.0,0.0,6.95,-0.5
202605231007,2026-05-23,10,07R,11:20,2026-05-23T11:10:25.612424+09:00,1,52.6,0.0,6.59,0.0,59.2,0.0,6.66,0.0,54.4,0.0,6.69,0.0,54.1,0.0,6.67,0.0,52.0,0.0,6.64,0.0,52.3,0.0,6.63,0.0
202605230803,2026-05-23,08,03R,11:23,2026-05-23T11:14:24.781004+09:00,1,52.0,0.0,6.85,-0.5,53.0,0.0,6.84,-0.5,47.0,0.0,6.77,0.0,52.0,0.0,6.8,-0.5,52.6,0.0,6.84,0.0,43.0,4.0,6.82,-0.5
202605231103,2026-05-23,11,03R,11:26,2026-05-23T11:16:24.836684+09:00,1,52.0,0.0,7.0,0.5,51.5,0.5,6.95,0.5,52.0,0.0,6.99,0.0,52.0,0.0,6.94,0.5,54.4,0.0,6.9,0.0,52.0,0.0,7.0,0.0
202605230903,2026-05-23,09,03R,11:29,2026-05-23T11:20:24.042209+09:00,1,48.0,0.0,6.76,-0.5,52.0,0.0,6.79,-0.5,51.5,0.5,6.76,0.0,52.0,0.0,6.76,0.0,47.4,0.0,6.79,-0.5,52.0,0.0,6.78,0.0
202605231807,2026-05-23,18,07R,11:31,2026-05-23T11:22:22.762150+09:00,1,45.0,2.0,6.96,0.0,47.8,0.0,6.97,0.0,49.6,0.0,7.0,0.0,51.3,0.0,6.99,0.0,48.8,0.0,7.02,0.0,52.6,0.0,7.0,0.0
202605231303,2026-05-23,13,03R,11:38,2026-05-23T11:28:24.302341+09:00,1,52.1,0.0,6.93,0.0,52.1,0.0,6.96,0.0,51.0,1.0,6.93,0.0,50.5,1.5,6.97,0.0,54.1,0.0,7.02,0.0,52.0,0.0,6.89,0.0
202605230501,2026-05-23,05,01R,11:40,2026-05-23T11:30:45.270763+09:00,1,52.0,0.0,6.62,0.5,52.0,0.0,6.7,-0.5,52.0,0.0,6.74,-0.5,52.7,0.0,6.67,0.0,51.0,1.0,6.65,0.0,49.5,2.5,6.67,0.0
202605231603,2026-05-23,16,03R,11:45,2026-05-23T11:36:26.453948+09:00,1,52.4,0.0,6.95,-0.5,52.3,0.0,6.94,-0.5,46.0,1.0,6.98,-0.5,52.8,0.0,6.99,0.0,47.8,0.0,6.87,0.0,52.0,0.0,6.89,-0.5
202605232308,2026-05-23,23,08R,11:47,2026-05-23T11:38:25.310233+09:00,1,54.4,0.0,6.8,0.0,55.4,0.0,6.79,0.0,52.0,0.0,6.84,-0.5,53.6,0.0,6.79,-0.5,52.2,0.0,6.78,0.0,52.0,0.0,6.86,-0.5
202605230804,2026-05-23,08,04R,11:50,2026-05-23T11:40:26.634001+09:00,1,52.1,0.0,,0.0,51.5,0.5,,-0.5,46.0,1.0,,-0.5,55.0,0.0,,0.0,52.0,0.0,,-0.5,53.6,0.0,,0.0
202605231008,2026-05-23,10,08R,11:53,2026-05-23T11:44:23.948950+09:00,1,54.1,0.0,6.59,0.0,53.4,0.0,6.63,0.0,51.5,0.5,6.66,0.0,53.2,0.0,6.65,0.0,52.0,0.0,6.61,0.0,52.5,0.0,6.64,-0.5
202605231104,2026-05-23,11,04R,11:57,2026-05-23T11:48:24.285967+09:00,1,52.8,0.0,6.94,0.0,52.6,0.0,6.86,0.5,51.0,1.0,6.85,0.0,47.5,0.0,6.88,0.5,53.0,0.0,6.94,0.0,52.0,0.0,6.98,0.5
202605230904,2026-05-23,09,04R,12:00,2026-05-23T11:50:24.224236+09:00,1,45.5,1.5,6.77,-0.5,54.1,0.0,6.8,-0.5,52.6,0.0,6.85,0.0,52.0,0.0,6.75,-0.5,52.0,0.0,6.81,-0.5,52.0,0.0,6.68,-0.5
