レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
202603262201,九州プロレス杯,第4日,2026-03-26,ボートレース福岡,1R,カタメン１予,1800,12:03,1,4786,佐藤博亮,37,愛知,53.0,A1,6.85,55.4,6.35,47.92,29,30.00104,6.25,351.0,2,5,,,,,1,2,,,,,,2,4889,後藤盛也,37,東京,52.0,B1,5.13,38.71,,,54,35.29124,0.00,145.0,2,3,,,,,,,,,,,,3,3467,森 弘行,57,東京,53.0,B1,3.45,12.0,4.6,15.0,38,23.53116,50.00,555.0,2,,,,,,6,,,,,,,4,4464,山下友貴,39,静岡,44.0,B1,5.98,41.57,5.25,25.0,39,57.14129,52.63,113.0,3,1,,,,,1,0,,,,,,5,3581,加木 郁,53,山口,53.0,B1,4.19,15.66,5.17,23.4,50,47.62115,66.67,4.0,6,5,5,,,,7,,,,,,,6,4045,佐々木裕,46,山口,48.0,B1,4.33,26.32,6.0,54.55,51,11.11133,70.00,4.0,4,5,5,,,,,,,,,,
202603262202,九州プロレス杯,第4日,2026-03-26,ボートレース福岡,2R,予選,1800,12:33,1,3432,宮迫暢彦,57,大阪,54.0,B1,4.64,32.1,8.0,75.0,46,31.58126,63.64,6.0,4,1,6,,,,6,,,,,,,2,4035,杉江浩明,47,愛知,52.0,B1,4.23,24.24,3.21,,14,45.45122,39.13,6.0,3,6,5,,,,7,,,,,,,3,4413,水摩 敦,39,福岡,52.0,A2,5.99,39.55,6.29,48.1,47,20.00168,45.45,332.0,5,6,,,,,1,2,,,,,,4,3539,金子順一,58,山口,52.0,B1,3.38,13.68,3.03,6.06,16,60.00135,35.00,3.0,1,1,1,3,,,9,,,,,,,5,4357,田中和也,41,大阪,53.0,A1,6.89,54.39,5.58,30.3,22,26.32112,13.33,1.0,2,1,4,4,,,1,0,,,,,,6,5127,沼田大都,29,愛知,51.0,B1,4.55,22.67,4.05,15.0,68,40.0013,40.00,256.0,1,,,,,,8,,,,,,
202603262203,九州プロレス杯,第4日,2026-03-26,ボートレース福岡,3R,カタメン３予,1800,13:03,1,4965,福岡泉水,28,兵庫,51.0,B1,4.81,27.4,4.67,22.22,11,26.67174,0.00,634.0,5,4,,,,,,,,,,,,2,3617,竹田広樹,52,佐賀,54.0,B1,4.12,26.88,3.93,22.73,17,57.89117,16.67,6.0,3,6,1,,,,1,0,,,,,,3,3783,瓜生正義,50,福岡,54.0,A1,6.4,33.94,6.85,46.15,64,11.76173,27.27,212252.0,9,,,,,,,,,,,,,4,4220,深川和仁,44,香川,56.0,B1,4.87,28.57,4.33,14.29,67,54.55108,47.62,321.0,1,5,,,,,8,,,,,,,5,5286,坂井滉哉,26,福岡,50.0,B1,4.31,25.97,3.43,13.16,34,22.22167,46.15,4.0,1,4,1,,,,1,1,,,,,,6,3233,小畑実成,59,岡山,55.0,B1,4.63,22.22,4.27,20.0,45,28.57165,58.33,4.0,3,3,3,,,,7,,,,,,
202603262204,九州プロレス杯,第4日,2026-03-26,ボートレース福岡,4R,予選,1800,13:30,1,5083,柳瀬幹太,27,山口,56.0,B1,4.75,27.5,3.53,13.33,61,5.8812,25.00,455.0,2,,,,,,9,,,,,,,2,4735,角山雄哉,35,兵庫,57.0,B1,4.94,33.71,4.24,21.62,59,45.45103,36.36,6.0,5,4,,,,,,,,,,,,3,4256,渡辺浩司,42,福岡,52.0,A1,7.0,51.43,7.24,56.0,62,33.33136,11.11,242223.0,1,2,,,,,,,,,,,,4,4516,野口勝弘,39,愛知,51.0,A2,6.11,41.48,5.55,36.36,13,21.0511,47.37,32143.0,8,,,,,,,,,,,,,5,5416,龍田真白,20,三重,46.0,B2,3.05,14.52,,,18,23.53106,22.22,5.0,6,,,,,,4,6,,,,,,6,3893,汐崎正則,49,愛知,54.0,B1,4.06,19.54,2.89,11.11,35,15.79128,47.62,166.0,6,4,,,,,,,,,,,
202603262205,九州プロレス杯,第4日,2026-03-26,ボートレース福岡,5R,予選,1800,13:57,1,4919,吉田翔悟,35,長崎,52.0,B1,3.89,15.09,5.47,30.0,19,38.10118,20.00,363.0,3,,,,,,1,1,,,,,,2,3825,宮嵜隆太,52,福岡,60.0,B1,3.37,16.44,3.86,13.79,53,18.75171,10.00,5.0,4,6,6,,,,,,,,,,,3,4475,末永祐輝,38,山口,54.0,A2,6.51,47.22,6.33,46.67,37,27.78163,57.14,1.0,4,5,3,2,,,1,2,,,,,,4,4790,柳内敬太,36,兵庫,52.0,A2,6.2,47.66,6.0,43.33,36,28.57172,30.00,33236.0,1,0,,,,,,,,,,,,5,4006,小野勇作,47,佐賀,51.0,B1,5.04,36.26,6.0,44.44,20,26.32113,26.32,563.0,1,4,,,,,,,,,,,,6,4142,平野和明,45,愛知,52.0,A2,5.4,28.89,4.96,27.27,52,45.00125,22.22,231.0,1,6,,,,,9,,,,,,
202603262206,九州プロレス杯,第4日,2026-03-26,ボートレース福岡,6R,予選,1800,14:22,1,3467,森 弘行,57,東京,53.0,B1,3.45,12.0,4.6,15.0,38,23.53116,50.00,555.0,2,,,,,,1,,,,,,,2,4356,長岡良也,42,兵庫,53.0,A1,6.03,44.44,6.44,41.86,12,40.00102,30.00,626625.0,1,1,,,,,,,,,,,,3,3432,宮迫暢彦,57,大阪,54.0,B1,4.64,32.1,8.0,75.0,46,31.58126,63.64,6.0,4,1,6,,,,2,,,,,,,4,4241,大串重幸,41,長崎,53.0,A2,5.51,37.61,5.56,37.1,15,40.00134,52.63,1.0,3,2,6,2,,,1,0,,,,,,5,5406,小畑楓夏,21,山口,54.0,B2,1.33,,1.11,,69,21.05114,31.58,5.0,6,6,6,,,,,,,,,,,6,3072,西田 靖,64,東京,54.0,B1,4.47,28.77,4.58,25.0,63,16.67127,30.43,4.0,5,4,4,3,,,,,,,,,
202603262207,九州プロレス杯,第4日,2026-03-26,ボートレース福岡,7R,予選,1800,14:54,1,3581,加木 郁,53,山口,53.0,B1,4.19,15.66,5.17,23.4,50,47.62115,66.67,4.0,6,5,5,,,,1,,,,,,,2,3685,荒井輝年,52,岡山,56.0,B1,5.51,38.37,5.82,36.36,48,31.58107,10.00,444.0,6,,,,,,,,,,,,,3,3233,小畑実成,59,岡山,55.0,B1,4.63,22.22,4.27,20.0,45,28.57165,58.33,4.0,3,3,3,,,,3,,,,,,,4,4289,落合直子,41,大阪,47.0,A2,5.77,38.46,6.44,33.33,21,42.86109,50.00,6.0,2,3,5,3,,,1,2,,,,,,5,4297,山田哲也,43,東京,51.0,A1,6.53,50.83,,,60,30.0017,18.18,163.0,4,1,,,,,1,1,,,,,,6,4035,杉江浩明,47,愛知,52.0,B1,4.23,24.24,3.21,,14,45.45122,39.13,6.0,3,6,5,,,,2,,,,,,
202603262208,九州プロレス杯,第4日,2026-03-26,ボートレース福岡,8R,予選,1800,15:24,1,4516,野口勝弘,39,愛知,51.0,A2,6.11,41.48,5.55,36.36,13,21.0511,47.37,32143.0,4,,,,,,,,,,,,,2,4804,高田ひか,31,三重,46.0,A1,6.73,51.33,6.5,25.0,31,11.11101,40.91,231535.0,,,,,,,,,,,,,,3,5127,沼田大都,29,愛知,51.0,B1,4.55,22.67,4.05,15.0,68,40.0013,40.00,256.0,1,,,,,,2,,,,,,,4,3912,川原正明,52,福井,51.0,A2,5.32,33.68,,,55,38.10131,18.18,15451.0,1,2,,,,,,,,,,,,5,4220,深川和仁,44,香川,56.0,B1,4.87,28.57,4.33,14.29,67,54.55108,47.62,321.0,1,5,,,,,3,,,,,,,6,4995,田邉亮蔵,34,東京,56.0,B1,4.81,25.26,4.43,28.57,65,19.05166,33.33,145.0,1,2,,,,,,,,,,,
202603262209,九州プロレス杯,第4日,2026-03-26,ボートレース福岡,9R,予選特賞,1800,15:52,1,5019,柴田百恵,26,静岡,45.0,A2,4.94,31.4,,,32,35.00121,27.27,56254.0,,,,,,,,,,,,,,2,4551,三川昂暁,37,福岡,55.0,A2,6.11,41.75,6.95,51.28,33,42.11111,45.00,253422.0,,,,,,,,,,,,,,3,4142,平野和明,45,愛知,52.0,A2,5.4,28.89,4.96,27.27,52,45.00125,22.22,231.0,1,6,,,,,5,,,,,,,4,3783,瓜生正義,50,福岡,54.0,A1,6.4,33.94,6.85,46.15,64,11.76173,27.27,212252.0,3,,,,,,,,,,,,,5,5083,柳瀬幹太,27,山口,56.0,B1,4.75,27.5,3.53,13.33,61,5.8812,25.00,455.0,2,,,,,,4,,,,,,,6,3539,金子順一,58,山口,52.0,B1,3.38,13.68,3.03,6.06,16,60.00135,35.00,3.0,1,1,1,3,,,2,,,,,,
202603262210,九州プロレス杯,第4日,2026-03-26,ボートレース福岡,10R,予選特賞,1800,16:22,1,4790,柳内敬太,36,兵庫,52.0,A2,6.2,47.66,6.0,43.33,36,28.57172,30.00,33236.0,5,,,,,,,,,,,,,2,4357,田中和也,41,大阪,53.0,A1,6.89,54.39,5.58,30.3,22,26.32112,13.33,1.0,2,1,4,4,,,2,,,,,,,3,4241,大串重幸,41,長崎,53.0,A2,5.51,37.61,5.56,37.1,15,40.00134,52.63,1.0,3,2,6,2,,,6,,,,,,,4,3710,吉永泰弘,51,香川,56.0,B1,4.47,25.56,4.24,20.69,30,58.33119,31.25,2.0,2,4,5,4,,,,,,,,,,5,3617,竹田広樹,52,佐賀,54.0,B1,4.12,26.88,3.93,22.73,17,57.89117,16.67,6.0,3,6,1,,,,3,,,,,,,6,4464,山下友貴,39,静岡,44.0,B1,5.98,41.57,5.25,25.0,39,57.14129,52.63,113.0,3,1,,,,,1,,,,,,
