レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202607022101,2026-07-02,21,01R,08:32,2026-07-02T08:42:18.967483+09:00,1,110,1,100,3,190,,,1-3,260,2,1=3,370,2,1=3,190,2,1=5,330,6,3=5,430,7,1-3-5,1000,3,1=3=5,840,4
202607022301,2026-07-02,23,01R,08:44,2026-07-02T08:52:22.093515+09:00,3,3130,3,680,4,420,,,3-4,20290,24,3=4,10000,15,3=4,640,8,2=3,690,10,2=4,380,6,3-4-2,123440,91,2=3=4,7750,14
202607022102,2026-07-02,21,02R,08:58,2026-07-02T09:06:26.286845+09:00,1,120,1,120,3,240,,,1-3,760,3,1=3,570,2,1=3,160,2,1=4,110,1,3=4,270,5,1-3-4,940,3,1=3=4,260,1
202607022302,2026-07-02,23,02R,09:10,2026-07-02T09:18:25.429409+09:00,1,150,1,100,3,100,,,1-3,180,1,1=3,200,1,1=3,140,1,1=6,310,7,3=6,260,5,1-3-6,1110,4,1=3=6,650,3
202607022103,2026-07-02,21,03R,09:24,2026-07-02T09:32:23.064845+09:00,1,130,1,100,4,190,,,1-4,660,3,1=4,660,3,1=4,200,4,1=3,150,1,3=4,390,7,1-4-3,1680,7,1=3=4,460,3
202607022303,2026-07-02,23,03R,09:36,2026-07-02T09:44:19.856438+09:00,3,770,3,110,1,100,,,3-1,630,4,1=3,160,1,1=3,140,1,3=4,370,7,1=4,250,4,3-1-4,2130,7,1=3=4,330,2
202607022104,2026-07-02,21,04R,09:50,2026-07-02T09:58:18.551441+09:00,1,100,1,100,2,440,,,1-2,470,3,1=2,540,4,1=2,310,6,1=4,250,3,2=4,820,10,1-2-4,2200,10,1=2=4,1190,6
202607022304,2026-07-02,23,04R,10:02,2026-07-02T10:10:22.639783+09:00,2,160,2,100,1,100,,,2-1,510,1,1=2,320,1,1=2,130,1,2=3,220,3,1=3,520,8,2-1-3,3090,12,1=2=3,1170,6
202607022105,2026-07-02,21,05R,10:18,2026-07-02T10:26:22.634970+09:00,2,1880,2,570,4,550,,,2-4,7370,18,2=4,2850,8,2=4,720,10,2=6,660,8,4=6,550,7,2-4-6,31950,65,2=4=6,5630,12
202607022305,2026-07-02,23,05R,10:30,2026-07-02T10:40:25.829827+09:00,1,160,1,110,4,210,,,1-4,490,2,1=4,410,2,1=4,210,2,1=5,710,12,4=5,490,8,1-4-5,5460,21,1=4=5,2160,8
