レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202607172101,2026-07-17,21,01R,08:32,2026-07-17T08:40:22.560346+09:00,1,230,1,100,3,100,,,1-3,200,1,1=3,250,1,1=3,110,1,1=5,200,4,3=5,220,5,1-3-5,580,2,1=3=5,430,2
202607171801,2026-07-17,18,01R,08:44,2026-07-17T08:54:20.642544+09:00,1,150,1,100,2,100,,,1-2,350,2,1=2,260,1,1=2,160,1,1=3,180,3,2=3,220,4,1-2-3,640,1,1=2=3,280,1
202607172102,2026-07-17,21,02R,08:58,2026-07-17T09:06:26.205890+09:00,1,130,1,110,4,140,,,1-4,260,1,1=4,140,1,1=4,110,1,1=3,210,4,3=4,300,7,1-4-3,810,2,1=3=4,350,2
202607171802,2026-07-17,18,02R,09:10,2026-07-17T09:20:25.151870+09:00,1,140,1,100,2,230,,,1-2,590,4,1=2,490,4,1=2,240,3,1=3,250,4,2=3,630,9,1-2-3,1400,7,1=2=3,690,4
202607172103,2026-07-17,21,03R,09:24,2026-07-17T09:32:26.960714+09:00,5,660,5,190,3,140,,,5-3,1720,8,3=5,540,2,3=5,200,2,5=6,620,8,3=6,490,7,5-3-6,6390,26,3=5=6,1030,4
202607171803,2026-07-17,18,03R,09:36,2026-07-17T09:46:25.583866+09:00,3,800,3,100,1,100,,,3-1,590,3,1=3,240,2,1=3,140,1,2=3,180,4,1=2,150,2,3-1-2,2120,7,1=2=3,190,1
202607172104,2026-07-17,21,04R,09:50,2026-07-17T09:58:27.308872+09:00,4,640,4,620,5,1450,,,4-5,8990,17,4=5,4690,12,4=5,1100,14,4=6,750,10,5=6,1070,13,4-5-6,42320,58,4=5=6,7840,13
202607171804,2026-07-17,18,04R,10:02,2026-07-17T10:10:25.259167+09:00,1,100,1,110,3,310,,,1-3,1050,4,1=3,560,3,1=3,520,8,1=2,100,1,2=3,960,13,1-3-2,2810,8,1=2=3,600,3
202607172105,2026-07-17,21,05R,10:18,2026-07-17T10:26:20.705319+09:00,1,110,1,140,2,750,,,1-2,550,2,1=2,560,3,1=2,240,4,1=3,120,1,2=3,370,7,1-2-3,1040,4,1=2=3,370,3
202607171805,2026-07-17,18,05R,10:30,2026-07-17T10:40:22.451006+09:00,1,180,1,200,4,360,,,1-4,580,3,1=4,420,3,1=4,190,3,1=6,110,1,4=6,200,5,1-4-6,1190,4,1=4=6,250,1
202607171301,2026-07-17,13,01R,10:37,2026-07-17T10:46:20.689394+09:00,4,870,4,300,2,180,,,4-2,2700,13,2=4,1040,5,2=4,290,5,3=4,140,1,2=3,230,3,4-2-3,5590,24,2=3=4,500,1
202607170801,2026-07-17,08,01R,10:40,2026-07-17T10:50:21.213323+09:00,1,140,1,100,3,150,,,1-3,370,1,1=3,230,1,1=3,150,2,1=4,100,1,3=4,170,4,1-3-4,970,1,1=3=4,440,2
202607171101,2026-07-17,11,01R,10:42,2026-07-17T10:50:21.213323+09:00,1,160,1,110,2,260,,,1-2,780,3,1=2,650,3,1=2,190,2,1=3,210,4,2=3,600,10,1-2-3,1710,7,1=2=3,600,4
202607170201,2026-07-17,02,01R,10:47,2026-07-17T10:56:20.333896+09:00,1,230,1,200,2,230,,,1-2,610,1,1=2,470,1,1=2,310,5,1=3,470,9,2=3,330,6,1-2-3,2440,3,1=2=3,510,1
202607171701,2026-07-17,17,01R,10:45,2026-07-17T10:58:24.218305+09:00,1,130,1,100,2,120,,,1-2,330,1,1=2,210,1,1=2,100,1,1=4,130,2,2=4,170,4,1-2-4,730,2,1=2=4,220,1
202607172106,2026-07-17,21,06R,10:49,2026-07-17T10:58:24.218305+09:00,6,400,6,600,4,390,,,6-4,3270,17,4=6,1330,7,4=6,740,8,5=6,990,12,4=5,860,11,6-4-5,13850,67,4=5=6,1650,9
202607171806,2026-07-17,18,06R,10:59,2026-07-17T11:08:22.821404+09:00,1,200,1,170,2,480,,,1-2,1020,5,1=2,890,4,1=2,710,7,1=6,850,9,2=6,3120,14,1-2-6,11980,36,1=2=6,5650,14
202607171302,2026-07-17,13,02R,11:03,2026-07-17T11:12:23.098975+09:00,4,410,4,140,1,120,,,4-1,870,4,1=4,270,1,1=4,110,2,3=4,160,3,1=3,100,1,4-1-3,2220,7,1=3=4,240,1
202607170802,2026-07-17,08,02R,11:07,2026-07-17T11:16:25.227726+09:00,1,160,1,100,5,250,,,1-5,3750,9,1=5,2390,8,1=5,400,5,1=2,210,3,2=5,1130,12,1-5-2,11750,29,1=2=5,1380,5
202607171102,2026-07-17,11,02R,11:09,2026-07-17T11:18:23.223807+09:00,3,1410,3,330,4,220,,,3-4,3620,11,3=4,2080,6,3=4,380,7,2=3,260,4,2=4,350,5,3-4-2,16810,43,2=3=4,2790,9
202607171702,2026-07-17,17,02R,11:14,2026-07-17T11:22:24.699187+09:00,4,240,4,140,1,100,,,4-1,1310,7,1=4,720,5,1=4,220,3,3=4,220,4,1=3,350,7,4-1-3,5800,21,1=3=4,590,4
202607170202,2026-07-17,02,02R,11:16,2026-07-17T11:24:22.128142+09:00,2,130,2,100,6,150,,,2-6,780,2,2=6,570,2,2=6,450,6,2=3,310,3,3=6,530,7,2-6-3,3040,10,2=3=6,780,3
202607172107,2026-07-17,21,07R,11:19,2026-07-17T11:28:21.375077+09:00,4,170,4,150,1,120,,,4-1,680,3,1=4,260,1,1=4,120,1,3=4,170,2,1=3,210,4,4-1-3,2580,9,1=3=4,400,2
202607171807,2026-07-17,18,07R,11:30,2026-07-17T11:38:23.266799+09:00,2,180,2,100,1,100,,,2-1,300,1,1=2,200,1,1=2,100,1,2=3,190,4,1=3,170,2,2-1-3,1150,4,1=2=3,320,2
202607171303,2026-07-17,13,03R,11:32,2026-07-17T11:40:20.034116+09:00,4,1630,4,720,3,170,,,4-3,9430,19,3=4,2320,7,3=4,600,10,4=5,650,11,3=5,140,1,4-3-5,31070,66,3=4=5,1690,9
202607170803,2026-07-17,08,03R,11:36,2026-07-17T11:46:23.791880+09:00,1,140,1,100,6,360,,,1-6,2680,7,1=6,1490,7,1=6,190,2,1=2,140,1,2=6,400,8,1-6-2,5140,16,1=2=6,590,3
202607171703,2026-07-17,17,03R,11:41,2026-07-17T11:48:30.907056+09:00,2,160,2,100,1,130,,,2-1,450,2,1=2,410,1,1=2,130,1,2=5,270,5,1=5,760,11,2-1-5,1390,3,1=2=5,900,7
202607171103,2026-07-17,11,03R,11:43,2026-07-17T11:52:25.790626+09:00,3,300,3,180,5,1800,,,3-5,4300,14,3=5,2800,10,3=5,680,11,2=3,140,1,2=5,540,9,3-5-2,13800,49,2=3=5,1850,7
202607170203,2026-07-17,02,03R,11:45,2026-07-17T11:54:25.962356+09:00,1,420,1,220,5,180,,,1-5,1740,8,1=5,780,3,1=5,260,3,1=4,670,7,4=5,800,11,1-5-4,15560,47,1=4=5,3330,10
202607172108,2026-07-17,21,08R,11:49,2026-07-17T11:56:22.987077+09:00,1,150,1,210,5,100,,,1-5,460,2,1=5,280,1,1=5,110,1,1=2,410,5,2=5,490,7,1-5-2,2210,5,1=2=5,930,3
202607171601,2026-07-17,16,01R,11:57,2026-07-17T12:04:22.514343+09:00,2,1030,2,140,6,790,,,2-6,5080,20,2=6,4510,14,2=6,1040,13,2=3,450,6,3=6,1140,14,2-6-3,32890,89,2=3=6,4190,17
