レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
202209162401,大村市議会議長杯,第3日,2022-09-16,ボートレース大村,1R,一般,1800,15:17,1,4695,尾崎雄二,36,長崎,53.0,B1,4.73,22.22,4.55,23.42,49,40.82,56,50.0,2,,,,,,4,2,,,,,9,2,3571,寺本武司,51,長崎,52.0,B1,4.3,21.35,4.16,21.3,19,32.5,55,39.47,2,,,,,,1,5,,,,,11,3,4969,町田洸希,31,長崎,53.0,B1,4.46,22.58,4.48,24.84,34,34.88,62,32.0,3,,,,,,3,6,,,,,8,4,4346,前田健太,37,福岡,55.0,B1,4.59,26.72,4.16,16.13,71,16.67,63,44.74,6,,,,,,1,3,,,,,12,5,4789,古賀智之,33,福岡,52.0,B1,4.12,18.64,3.72,16.0,45,20.51,29,42.5,5,,,,,,3,3,,,,,,6,5223,森清友翔,21,福岡,55.0,B2,1.61,1.04,1.29,,15,38.1,43,11.54,6,,,,,,6,6,,,,,
202209162402,大村市議会議長杯,第3日,2022-09-16,ボートレース大村,2R,一般,1800,15:40,1,4251,川崎誠志,39,山口,51.0,B1,5.14,34.86,4.71,26.83,16,27.08,65,34.29,4,6,5,,,,8,,,,,,,2,3036,吉本正昭,64,山口,57.0,B1,4.45,20.48,2.65,4.35,72,43.18,41,32.5,4,4,4,,,,,,,,,,,3,4121,富永修一,40,福岡,52.0,B1,5.91,43.59,5.66,36.84,47,46.88,26,40.54,1,3,5,,,,7,,,,,,,4,5105,富田恕生,23,福岡,53.0,B1,4.09,19.78,3.19,18.75,60,34.88,77,25.64,2,,,,,,2,4,,,,,10,5,4594,谷川祐一,40,滋賀,52.0,A2,6.03,40.74,5.63,40.0,31,40.43,40,39.02,3,2,1,1,,,9,,,,,,,6,5208,屋良龍紀,24,長崎,52.0,B2,2.07,5.56,1.91,2.86,32,34.21,21,43.9,6,4,6,,,,6,,,,,,
202209162403,大村市議会議長杯,第3日,2022-09-16,ボートレース大村,3R,一般,1800,16:07,1,4669,井上 茂,37,福岡,52.0,B1,4.3,20.0,4.48,23.91,73,25.64,27,20.69,5,,,,,,2,2,,,,,10,2,3522,長溝一生,54,佐賀,53.0,A2,5.07,31.43,6.25,45.0,81,34.88,23,35.14,3,,,,,,4,1,,,,,11,3,4474,渡辺 崇,35,福岡,56.0,B1,5.39,30.43,5.74,40.7,22,48.57,66,34.15,2,4,5,,,,,,,,,,,4,4164,岩永節也,40,長崎,51.0,B2,4.37,24.19,4.5,26.09,38,47.83,68,28.21,2,,,,,,5,6,,,,,,5,5206,梅原祥平,25,岡山,52.0,B2,1.85,3.25,,,54,18.18,59,23.68,5,,,,,,6,6,,,,,,6,3257,田頭 実,55,福岡,50.0,A1,6.6,51.06,7.75,66.67,52,31.82,74,23.68,1,4,1,2,,,9,,,,,,
202209162404,大村市議会議長杯,第3日,2022-09-16,ボートレース大村,4R,一般,1800,16:33,1,4272,大場広孝,40,福岡,57.0,B1,4.83,25.53,4.49,20.0,25,40.0,33,18.92,2,3,,,,,,,,,,,,2,4315,山崎昂介,38,長崎,52.0,B1,5.56,35.64,5.63,36.99,76,47.62,31,32.5,1,3,5,,,,9,,,,,,,3,4563,齋藤真之,34,岡山,53.0,B1,3.93,15.79,2.78,,40,17.95,25,26.47,5,,,,,,4,5,,,,,,4,4336,松田竜馬,38,福岡,53.0,A2,5.52,40.54,6.37,48.15,58,41.86,14,40.0,1,,,,,,2,3,,,,,9,5,3918,深井利寿,48,滋賀,51.0,A1,6.38,44.63,6.96,53.57,17,30.95,70,23.53,3,1,4,3,,,1,0,,,,,,6,4136,江夏 満,42,福岡,54.0,A1,6.67,47.25,7.0,51.43,23,39.02,12,40.0,1,5,6,1,,,1,1,,,,,
202209162405,大村市議会議長杯,第3日,2022-09-16,ボートレース大村,5R,一般,1800,17:00,1,4177,萬 正嗣,39,群馬,58.0,A2,5.29,29.03,3.45,18.18,30,20.51,76,10.34,6,,,,,,1,2,,,,,11,2,3906,飯山晃三,44,長崎,56.0,B1,5.17,36.52,5.55,37.79,26,34.21,11,24.32,4,4,2,,,,1,2,,,,,,3,4545,岡村慶太,34,福岡,54.0,A1,7.1,57.0,5.68,36.59,74,25.0,69,37.5,2,6,4,3,,,9,,,,,,,4,4567,上村慎太,34,山口,49.0,B1,4.47,24.18,3.36,9.09,68,25.64,60,24.14,5,,,,,,5,6,,,,,,5,5090,生方靖亜,21,群馬,53.0,B1,4.56,23.26,2.33,,33,34.09,64,55.0,4,,,,,,5,3,,,,,,6,4503,上野真之,34,佐賀,53.0,A1,7.41,46.49,8.2,70.0,18,46.67,20,32.5,2,2,1,1,,,1,0,,,,,
202209162406,大村市議会議長杯,第3日,2022-09-16,ボートレース大村,6R,一般,1800,17:30,1,4587,木田峰由,31,福井,54.0,A2,5.98,43.9,4.5,30.0,39,31.82,30,23.08,3,2,4,,,,1,2,,,,,,2,4475,末永祐輝,34,山口,53.0,A2,6.46,45.45,6.19,38.6,36,34.88,22,23.81,3,1,4,,,,1,0,,,,,,3,3781,秋元 誠,46,福井,54.0,B1,4.75,26.67,6.25,62.5,77,27.03,15,20.0,6,5,2,,,,,,,,,,,4,4491,田中 堅,35,群馬,52.0,B1,4.28,17.53,2.88,12.5,56,27.59,57,24.32,4,,,,,,3,6,,,,,,5,5208,屋良龍紀,24,長崎,52.0,B2,2.07,5.56,1.91,2.86,32,34.21,21,43.9,6,4,6,,,,2,,,,,,,6,4350,篠崎元志,36,福岡,53.0,A1,6.7,40.63,6.97,48.28,43,44.19,82,29.03,1,1,2,4,,,1,1,,,,,
202209162407,大村市議会議長杯,第3日,2022-09-16,ボートレース大村,7R,一般 進入固定 Ｈ１８０,ｍ電,17:56,1,3841,佐々木和,46,徳島,54.0,A1,6.66,54.24,6.15,46.15,28,24.32,80,5.88,1,3,2,6,,,1,0,,,,,,2,3777,樋口 亮,47,長崎,53.0,A2,6.04,35.79,5.82,40.26,11,43.9,34,38.46,4,5,4,,,,,,,,,,,3,4782,浜崎準也,35,岡山,52.0,A2,6.01,45.83,5.5,40.91,29,59.09,50,27.03,6,3,3,4,,,1,2,,,,,,4,4861,田中宏樹,34,福岡,53.0,B1,4.63,25.0,2.2,,27,17.14,58,31.58,3,5,5,,,,,,,,,,,5,4121,富永修一,40,福岡,52.0,B1,5.91,43.59,5.66,36.84,47,46.88,26,40.54,1,3,5,,,,2,,,,,,,6,5217,藤原碧生,22,岡山,53.0,B1,3.79,10.39,,,53,19.35,38,24.24,1,6,,,,,,,,,,,
202209162408,大村市議会議長杯,第3日,2022-09-16,ボートレース大村,8R,一般,1800,18:24,1,3333,丸尾義孝,54,徳島,52.0,A1,6.11,44.68,6.5,40.0,35,41.46,52,39.47,2,1,2,5,,,1,1,,,,,,2,4056,小西英輝,43,福井,52.0,B1,4.85,29.63,4.35,20.0,70,13.16,67,33.33,5,4,1,,,,1,2,,,,,,3,4251,川崎誠志,39,山口,51.0,B1,5.14,34.86,4.71,26.83,16,27.08,65,34.29,4,6,5,,,,2,,,,,,,4,4513,河野真也,33,福岡,52.0,B1,5.54,39.25,5.75,40.38,61,33.33,13,35.0,5,5,3,,,,,,,,,,,5,4293,鈴木智啓,37,愛知,58.0,A2,5.16,31.2,5.1,30.0,44,25.64,37,16.67,6,,,,,,1,5,,,,,12,6,4969,町田洸希,31,長崎,53.0,B1,4.46,22.58,4.48,24.84,34,34.88,62,32.0,3,,,,,,3,6,,,,,1
202209162409,大村市議会議長杯,第3日,2022-09-16,ボートレース大村,9R,準優勝戦,1800,18:54,1,3257,田頭 実,55,福岡,50.0,A1,6.6,51.06,7.75,66.67,52,31.82,74,23.68,1,4,1,2,,,3,,,,,,,2,4336,松田竜馬,38,福岡,53.0,A2,5.52,40.54,6.37,48.15,58,41.86,14,40.0,1,,,,,,2,3,,,,,4,3,4594,谷川祐一,40,滋賀,52.0,A2,6.03,40.74,5.63,40.0,31,40.43,40,39.02,3,2,1,1,,,2,,,,,,,4,4695,尾崎雄二,36,長崎,53.0,B1,4.73,22.22,4.55,23.42,49,40.82,56,50.0,2,,,,,,4,2,,,,,1,5,4315,山崎昂介,38,長崎,52.0,B1,5.56,35.64,5.63,36.99,76,47.62,31,32.5,1,3,5,,,,4,,,,,,,6,4545,岡村慶太,34,福岡,54.0,A1,7.1,57.0,5.68,36.59,74,25.0,69,37.5,2,6,4,3,,,5,,,,,,
202209162410,大村市議会議長杯,第3日,2022-09-16,ボートレース大村,10R,準優勝戦,1800,19:26,1,4503,上野真之,34,佐賀,53.0,A1,7.41,46.49,8.2,70.0,18,46.67,20,32.5,2,2,1,1,,,5,,,,,,,2,3841,佐々木和,46,徳島,54.0,A1,6.66,54.24,6.15,46.15,28,24.32,80,5.88,1,3,2,6,,,7,,,,,,,3,5105,富田恕生,23,福岡,53.0,B1,4.09,19.78,3.19,18.75,60,34.88,77,25.64,2,,,,,,2,4,,,,,2,4,3918,深井利寿,48,滋賀,51.0,A1,6.38,44.63,6.96,53.57,17,30.95,70,23.53,3,1,4,3,,,4,,,,,,,5,4475,末永祐輝,34,山口,53.0,A2,6.46,45.45,6.19,38.6,36,34.88,78,19.51,3,1,4,,,,6,,,,,,,6,4669,井上 茂,37,福岡,52.0,B1,4.3,20.0,4.48,23.91,73,25.64,27,20.69,5,,,,,,2,2,,,,,3
