レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202607311001,2026-07-31,10,01R,08:32,2026-07-31T08:22:29.236140+09:00,1,52.0,0.0,6.79,0.0,67.9,0.0,6.9,-0.5,52.5,0.0,6.76,0.0,52.0,0.0,6.76,-0.5,46.5,0.5,6.76,-0.5,56.2,0.0,6.83,0.0
202607312301,2026-07-31,23,01R,08:39,2026-07-31T08:31:05.624560+09:00,1,52.3,0.0,6.69,-0.5,52.8,0.0,6.53,3.0,52.2,0.0,6.73,-0.5,51.5,0.5,6.82,0.0,52.0,0.0,6.76,-0.5,54.0,0.0,6.75,-0.5
202607311801,2026-07-31,18,01R,08:46,2026-07-31T08:36:25.059667+09:00,1,52.0,0.0,6.94,0.0,52.0,0.0,6.92,0.0,52.9,0.0,6.96,0.0,54.3,0.0,6.99,0.0,52.0,0.0,6.99,0.0,53.3,0.0,7.04,0.0
202607311002,2026-07-31,10,02R,08:58,2026-07-31T08:48:30.998249+09:00,1,53.7,0.0,6.75,-0.5,53.8,0.0,6.84,-0.5,52.0,0.0,6.66,-0.5,52.0,0.0,6.74,0.0,52.0,0.0,6.74,0.5,48.7,0.0,6.81,0.0
202607312302,2026-07-31,23,02R,09:05,2026-07-31T08:56:23.093866+09:00,1,52.3,0.0,6.72,0.0,52.1,0.0,6.68,-0.5,52.1,0.0,6.72,0.0,54.4,0.0,6.68,-0.5,52.8,0.0,6.76,-0.5,51.5,0.5,6.7,0.0
202607311802,2026-07-31,18,02R,09:12,2026-07-31T09:02:12.501746+09:00,1,52.6,0.0,,0.0,52.0,0.0,,0.0,52.0,0.0,,-0.5,52.0,0.0,,-0.5,52.0,0.0,,0.0,51.5,0.5,,0.0
202607311003,2026-07-31,10,03R,09:24,2026-07-31T09:14:45.320911+09:00,1,52.3,0.0,6.84,0.0,47.1,0.0,6.78,-0.5,52.1,0.0,6.76,-0.5,46.5,0.5,6.86,-0.5,59.0,0.0,6.77,0.5,52.0,0.0,6.84,-0.5
202607312303,2026-07-31,23,03R,09:31,2026-07-31T09:21:03.783774+09:00,1,52.1,0.0,6.76,-0.5,52.2,0.0,6.82,-0.5,50.5,1.5,6.72,-0.5,52.6,0.0,6.76,-0.5,50.0,2.0,6.79,-0.5,55.3,0.0,6.78,0.0
202607311803,2026-07-31,18,03R,09:38,2026-07-31T09:28:27.472750+09:00,1,52.7,0.0,6.9,0.0,52.0,0.0,6.93,0.0,52.0,0.0,6.89,0.0,51.0,1.0,6.86,0.0,52.0,0.0,6.93,0.0,52.0,0.0,6.84,0.0
202607311004,2026-07-31,10,04R,09:50,2026-07-31T09:40:47.441043+09:00,1,52.0,0.0,,-0.5,53.9,0.0,,0.0,54.5,0.0,,0.0,53.5,0.0,,-0.5,52.0,0.0,,0.0,54.3,0.0,,2.0
202607312304,2026-07-31,23,04R,09:57,2026-07-31T09:48:26.846983+09:00,1,52.4,0.0,6.72,-0.5,52.0,0.0,6.66,0.0,52.9,0.0,6.75,-0.5,50.5,1.5,6.74,0.0,52.3,0.0,6.76,-0.5,52.6,0.0,6.73,-0.5
