レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202607311001,2026-07-31,10,01R,08:32,2026-07-31T08:22:29.236140+09:00,1,0.14,2,0.26,3,0.12,4,0.19,5,0.22,6,0.23
202607312301,2026-07-31,23,01R,08:39,2026-07-31T08:31:05.624560+09:00,1,0.05,4,0.09,2,0.11,6,-0.09,3,-0.03,5,-0.06
202607311801,2026-07-31,18,01R,08:46,2026-07-31T08:36:25.059667+09:00,1,-0.01,2,0.18,3,0.16,4,0.2,5,0.16,6,0.09
202607311002,2026-07-31,10,02R,08:58,2026-07-31T08:48:30.998249+09:00,1,0.0,2,0.12,3,0.09,4,0.01,5,0.26,6,0.27
202607312302,2026-07-31,23,02R,09:05,2026-07-31T08:56:23.093866+09:00,1,0.12,2,0.06,3,-0.03,4,0.06,5,0.09,6,0.15
202607311802,2026-07-31,18,02R,09:12,2026-07-31T09:04:34.702395+09:00,1,0.1,2,0.19,3,0.18,4,0.01,5,-0.03,6,0.11
202607311003,2026-07-31,10,03R,09:24,2026-07-31T09:14:45.320911+09:00,1,0.18,2,0.05,3,0.14,4,-0.03,5,0.02,6,-0.02
202607312303,2026-07-31,23,03R,09:31,2026-07-31T09:21:03.783774+09:00,1,0.12,2,0.07,3,0.17,4,0.08,5,0.04,6,0.09
202607311803,2026-07-31,18,03R,09:38,2026-07-31T09:28:27.472750+09:00,1,0.23,2,0.04,3,-0.01,4,-0.02,5,0.03,6,0.17
202607311004,2026-07-31,10,04R,09:50,2026-07-31T09:42:33.393601+09:00,1,0.03,2,0.14,3,0.07,4,0.01,5,0.04,6,-0.12
202607312304,2026-07-31,23,04R,09:57,2026-07-31T09:48:26.846983+09:00,1,0.07,2,0.09,3,0.11,4,0.0,5,0.1,6,-0.02
202607311804,2026-07-31,18,04R,10:04,2026-07-31T09:54:32.440248+09:00,1,0.15,2,0.13,3,0.03,4,0.05,5,-0.02,6,0.18
202607311005,2026-07-31,10,05R,10:18,2026-07-31T10:08:27.010215+09:00,1,-0.08,2,0.1,3,0.11,4,0.09,5,0.02,6,0.04
202607312305,2026-07-31,23,05R,10:23,2026-07-31T10:14:35.117972+09:00,1,0.05,2,-0.08,3,-0.07,4,-0.06,5,0.01,6,-0.01
202607311805,2026-07-31,18,05R,10:30,2026-07-31T10:24:37.183578+09:00,1,0.02,2,0.23,3,-0.01,4,0.07,5,0.02,6,0.05
202607311301,2026-07-31,13,01R,10:35,2026-07-31T10:26:33.597982+09:00,1,0.05,2,0.04,3,0.14,4,0.12,5,0.17,6,0.08
202607311101,2026-07-31,11,01R,10:40,2026-07-31T10:30:32.184994+09:00,1,0.06,2,0.04,3,0.09,4,0.02,5,-0.01,6,-0.02
202607310801,2026-07-31,08,01R,10:42,2026-07-31T10:32:32.206525+09:00,1,0.02,2,0.13,3,0.1,4,0.25,5,0.29,6,0.1
202607311006,2026-07-31,10,06R,10:44,2026-07-31T10:34:35.990633+09:00,1,0.05,2,0.09,3,-0.02,4,0.08,5,0.06,6,0.01
202607312306,2026-07-31,23,06R,10:52,2026-07-31T10:42:27.086978+09:00,1,0.06,2,0.07,3,0.12,4,-0.04,5,-0.11,6,0.29
202607311302,2026-07-31,13,02R,10:58,2026-07-31T10:48:33.124857+09:00,1,0.18,2,0.21,3,-0.04,4,0.3,5,0.14,6,0.09
