レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
201705172401,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１２：３３,第5日,2017-05-17,ボートレース大村,1R,めざまし戦一,1800,12:33,1,4522,古澤光紀,29,福岡,52.0,A1,6.34,44.79,5.4,36.0,11,37.5,57,28.3,3,1,2,3,3,,1,0,,,,,,2,3910,松下知幸,43,香川,50.0,B1,5.35,34.62,4.46,17.86,68,43.14,14,23.27,5,4,5,,,,2,5,1,6,,,5,3,3460,堤 健一,50,東京,50.0,B1,4.84,30.69,3.78,11.11,58,27.27,20,40.22,3,6,1,,,,4,5,5,4,,,6,4,4788,小池哲也,27,大阪,55.0,B1,3.64,14.67,5.3,30.0,40,11.11,71,33.7,4,3,5,,,,5,4,3,2,,,7,5,2907,土井内大,62,香川,56.0,B1,4.0,13.79,4.22,21.95,39,35.9,70,38.42,5,,,,,,5,5,,,,,4,6,4969,町田洸希,26,長崎,53.0,B2,,,,,35,30.0,65,38.67,6,,,,,,6,6,6,6,6,,8
201705172402,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１２：３３,第5日,2017-05-17,ボートレース大村,2R,昼ガチ戦一般,1800,13:00,1,4403,木下大將,32,福岡,52.0,A2,5.47,33.01,4.78,29.73,27,40.82,29,40.59,1,3,1,5,1,,1,1,,,,,,2,4453,永田郁弥,29,愛知,54.0,B1,3.88,22.58,2.62,4.76,41,21.62,39,33.16,6,,,,,,3,4,6,5,3,,8,3,4336,松田竜馬,33,福岡,52.0,B1,5.47,37.78,5.14,37.84,57,20.0,67,29.95,4,,,,,,3,4,1,1,5,3,10,4,4248,岡本 大,35,長崎,55.0,B1,3.69,12.5,4.38,22.73,43,22.92,17,35.84,8,,,,,,,,,,,,,5,3614,谷 勝幸,44,広島,55.0,B1,5.32,33.66,5.14,28.57,29,15.38,46,22.98,2,,,,,,3,4,3,6,6,4,7,6,4091,荒田泰明,36,埼玉,55.0,B1,4.32,24.0,4.53,29.41,13,45.83,12,38.82,2,,,,,,4,6,3,5,2,3,6
201705172403,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１２：３３,第5日,2017-05-17,ボートレース大村,3R,一般,1800,13:36,1,4705,吉川勇作,28,長崎,54.0,B1,4.28,23.68,3.97,20.96,63,34.15,28,31.11,2,4,1,,,,5,3,4,6,,,11,2,4578,藤山雅弘,27,大阪,52.0,A2,5.3,30.63,4.67,33.33,14,27.08,22,19.88,1,3,6,,,,4,6,4,,,,7,3,4737,竹井貴史,25,福岡,53.0,A2,5.35,33.0,5.49,35.56,20,29.79,15,31.11,4,3,5,,,,2,2,2,6,,,11,4,4374,永田義紘,33,広島,51.0,B1,3.52,15.15,3.87,16.67,61,36.96,30,27.65,6,4,5,,,,4,4,4,5,,,6,5,4428,有賀達也,31,埼玉,53.0,A2,5.72,38.38,3.33,20.0,48,27.78,13,23.27,2,2,4,6,4,,6,,,,,,9,6,3745,橋本年光,42,兵庫,53.0,A2,5.69,36.61,6.13,46.88,33,21.05,68,26.09,5,,,,,,2,5,2,3,4,,9
201705172404,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１２：３３,第5日,2017-05-17,ボートレース大村,4R,一般,1800,14:12,1,4241,大串重幸,32,長崎,53.0,A2,5.54,33.68,6.31,48.18,34,39.13,32,41.4,3,3,6,,,,1,3,3,6,,,10,2,3864,小島大輔,42,山口,51.0,B1,3.93,15.85,2.59,,30,25.0,72,40.46,6,,,,,,4,6,5,2,2,5,9,3,4034,西原明生,38,香川,54.0,B1,5.09,32.32,4.4,25.58,74,28.89,61,35.91,1,5,4,,,,5,6,3,6,,,7,4,3107,平岡重典,53,大阪,50.0,A2,5.04,30.43,5.38,42.86,17,28.57,26,40.35,4,,,,,,3,3,3,4,5,2,9,5,4004,山本浩輔,39,長崎,51.0,B1,5.0,32.5,5.34,34.23,26,27.66,54,34.97,2,4,3,,,,4,5,5,3,,,8,6,3980,青木義一,39,山口,55.0,B1,4.76,30.61,4.9,25.81,73,42.5,44,44.2,4,,,,,,5,4,4,6,6,6,8
201705172405,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１２：３３,第5日,2017-05-17,ボートレース大村,5R,一般 進入固定 Ｈ１８０,ｍ電,14:49,1,3022,西山昇一,56,愛知,53.0,A1,6.63,49.53,7.0,64.29,62,25.0,47,29.41,4,4,2,2,1,,1,0,,,,,,2,4153,佐々木巌,36,山口,56.0,B1,4.88,31.46,3.75,12.5,19,37.5,62,38.98,3,,,,,,6,3,2,6,3,4,9,3,3910,松下知幸,43,香川,50.0,B1,5.35,34.62,4.46,17.86,68,43.14,14,23.27,5,4,5,,,,2,5,1,6,,,1,4,4356,長岡良也,33,兵庫,50.0,B1,5.86,33.8,4.88,34.62,49,51.11,74,44.86,5,6,2,2,1,,2,4,,,,,11,5,4755,山田貴愛,28,長崎,53.0,B2,1.48,,1.78,,59,25.64,49,26.49,4,6,6,,,,6,6,6,5,,,8,6,2907,土井内大,62,香川,56.0,B1,4.0,13.79,4.22,21.95,39,35.9,70,38.42,5,,,,,,5,5,,,,,4
201705172406,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１２：３３,第5日,2017-05-17,ボートレース大村,6R,一般,1800,15:26,1,3463,乙津康志,49,東京,51.0,A2,5.75,41.41,6.87,50.0,23,35.42,56,30.77,2,2,4,1,2,,4,4,,,,,11,2,4374,永田義紘,33,広島,51.0,B1,3.52,15.15,3.87,16.67,61,36.96,30,27.65,6,4,5,,,,4,4,4,5,,,3,3,4091,荒田泰明,36,埼玉,55.0,B1,4.32,24.0,4.53,29.41,13,45.83,12,38.82,2,,,,,,4,6,3,5,2,3,2,4,4682,大上卓人,26,広島,51.0,B1,6.58,50.0,6.64,53.57,22,45.1,36,32.07,1,3,3,3,,,2,2,,,,,9,5,3460,堤 健一,50,東京,50.0,B1,4.84,30.69,3.78,11.11,58,27.27,20,40.22,3,6,1,,,,4,5,5,4,,,1,6,4369,丹下 将,31,愛知,56.0,A2,6.68,52.76,5.63,43.75,15,33.33,24,29.45,1,1,5,5,2,,1,0,,,,,
201705172407,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１２：３３,第5日,2017-05-17,ボートレース大村,7R,一般 進入固定 Ｈ１８０,ｍ電,16:03,1,3381,滝沢芳行,48,埼玉,52.0,A2,5.82,40.0,5.31,34.29,75,29.55,11,41.32,5,,,,,,1,4,2,3,1,4,10,2,3614,谷 勝幸,44,広島,55.0,B1,5.32,33.66,5.14,28.57,29,15.38,46,22.98,2,,,,,,3,4,3,6,6,4,2,3,4788,小池哲也,27,大阪,55.0,B1,3.64,14.67,5.3,30.0,40,11.11,71,33.7,4,3,5,,,,5,4,3,2,,,1,4,4236,松村 敏,33,福岡,54.0,A1,7.1,48.54,8.21,75.0,12,20.51,59,32.78,2,6,3,1,4,,1,1,,,,,,5,4578,藤山雅弘,27,大阪,52.0,A2,5.3,30.63,4.67,33.33,14,27.08,22,19.88,1,3,6,,,,4,6,4,,,,3,6,4034,西原明生,38,香川,54.0,B1,5.09,32.32,4.4,25.58,74,28.89,61,35.91,1,5,4,,,,5,6,3,6,,,4
201705172408,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１２：３３,第5日,2017-05-17,ボートレース大村,8R,一般,1800,16:40,1,4004,山本浩輔,39,長崎,51.0,B1,5.0,32.5,5.34,34.23,26,27.66,54,34.97,2,4,3,,,,4,5,5,3,,,4,2,4248,岡本 大,35,長崎,55.0,B1,3.69,12.5,4.38,22.73,43,22.92,17,35.84,2,,,,,,,,,,,,,3,3980,青木義一,39,山口,55.0,B1,4.76,30.61,4.9,25.81,73,42.5,44,44.2,4,,,,,,5,4,4,6,6,6,4,4,4755,山田貴愛,28,長崎,53.0,B2,1.48,,1.78,,59,25.64,49,26.49,4,6,6,,,,6,6,6,5,,,5,5,4453,永田郁弥,29,愛知,54.0,B1,3.88,22.58,2.62,4.76,41,21.62,39,33.16,6,,,,,,3,4,6,5,3,,2,6,4969,町田洸希,26,長崎,53.0,B2,,,,,35,30.0,65,38.67,6,,,,,,6,6,6,6,6,,1
201705172409,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１２：３３,第5日,2017-05-17,ボートレース大村,9R,一般,1800,17:10,1,3745,橋本年光,42,兵庫,53.0,A2,5.69,36.61,6.13,46.88,33,21.05,68,26.09,5,,,,,,2,5,2,3,4,,3,2,4428,有賀達也,31,埼玉,53.0,A2,5.72,38.38,3.33,20.0,48,27.78,13,23.27,2,2,4,6,4,,6,,,,,,3,3,4682,大上卓人,26,広島,51.0,B1,6.58,50.0,6.64,53.57,22,45.1,36,32.07,1,3,3,3,,,2,2,,,,,6,4,4153,佐々木巌,36,山口,56.0,B1,4.88,31.46,3.75,12.5,19,37.5,62,38.98,3,,,,,,6,3,2,6,3,4,5,5,3107,平岡重典,53,大阪,50.0,A2,5.04,30.43,5.38,42.86,17,28.57,26,40.35,4,,,,,,3,3,3,4,5,2,4,6,3864,小島大輔,42,山口,51.0,B1,3.93,15.85,2.59,,30,25.0,72,40.46,6,,,,,,4,6,5,2,2,5,4
201705172410,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１２：３３,第5日,2017-05-17,ボートレース大村,10R,選抜戦,1800,17:40,1,4369,丹下 将,31,愛知,56.0,A2,6.68,52.76,5.63,43.75,15,33.33,24,29.45,1,1,5,5,2,,6,,,,,,,2,4522,古澤光紀,29,福岡,52.0,A1,6.34,44.79,5.4,36.0,11,37.5,57,28.3,3,1,2,3,3,,1,,,,,,,3,3381,滝沢芳行,48,埼玉,52.0,A2,5.82,40.0,5.31,34.29,75,29.55,11,41.32,5,,,,,,1,4,2,3,1,4,7,4,4336,松田竜馬,33,福岡,52.0,B1,5.47,37.78,5.14,37.84,57,20.0,67,29.95,4,,,,,,3,4,1,1,5,3,2,5,4241,大串重幸,32,長崎,53.0,A2,5.54,33.68,6.31,48.18,34,39.13,32,41.4,3,3,6,,,,1,3,3,6,,,4,6,3022,西山昇一,56,愛知,53.0,A1,6.63,49.53,7.0,64.29,62,25.0,47,29.41,4,4,2,2,1,,5,,,,,,
