レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5,確率1,確率2,確率3,確率4,確率5
202609240101,2026-09-24,01,1R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり,0.050119,0.045313,0.037163,0.029806,0.023686
202609240102,2026-09-24,01,2R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり,0.045049,0.039544,0.039249,0.028284,0.019247
202609240103,2026-09-24,01,3R,daily,3-1-4,3-1-5,3-1-2,2-1-3,5-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し,0.023387,0.022676,0.022410,0.015720,0.013122
202609240104,2026-09-24,01,4R,daily,3-1-4,3-1-5,3-1-2,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し,0.050124,0.047269,0.042029,0.020011,0.018902
202609240105,2026-09-24,01,5R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し,0.044609,0.036119,0.031742,0.030584,0.023995
202609240106,2026-09-24,01,6R,daily,3-1-4,4-1-3,3-1-2,2-1-3,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し,0.023046,0.017252,0.016123,0.015124,0.013356
202609240107,2026-09-24,01,7R,daily,2-1-3,2-1-4,3-1-2,2-1-5,3-1-4,差し,差し,まくり差し,差し,まくり差し,0.023483,0.017228,0.017117,0.013310,0.012851
202609240108,2026-09-24,01,8R,daily,2-1-3,3-1-2,2-1-5,2-1-4,3-1-4,差し,まくり差し,差し,差し,まくり差し,0.025952,0.021356,0.020779,0.019893,0.017086
202609240109,2026-09-24,01,9R,daily,2-1-3,2-1-4,3-1-2,2-1-5,4-1-2,差し,差し,まくり差し,差し,まくり,0.031633,0.024825,0.020407,0.018134,0.018081
202609240110,2026-09-24,01,10R,daily,2-1-3,2-1-4,2-1-5,3-1-2,3-1-4,差し,差し,差し,まくり差し,まくり差し,0.032278,0.025332,0.018761,0.018181,0.016793
202609240111,2026-09-24,01,11R,daily,2-1-3,3-1-2,2-3-1,2-1-4,3-1-4,差し,まくり差し,差し,差し,まくり差し,0.050178,0.038494,0.026182,0.025275,0.021221
202609240112,2026-09-24,01,12R,daily,2-1-3,4-1-2,2-1-4,3-1-2,2-1-5,差し,まくり,差し,まくり差し,差し,0.018654,0.014417,0.014377,0.013452,0.012056
202609240201,2026-09-24,02,1R,daily,2-1-3,3-1-2,3-1-4,2-1-4,2-3-1,差し,まくり差し,まくり差し,差し,差し,0.044037,0.040248,0.032488,0.031734,0.029874
202609240202,2026-09-24,02,2R,daily,2-1-3,2-1-4,2-3-1,2-1-5,2-3-4,差し,差し,差し,差し,まくり,0.037659,0.028700,0.023928,0.022543,0.020668
202609240203,2026-09-24,02,3R,daily,3-1-4,3-1-5,3-1-2,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し,0.030804,0.026913,0.026438,0.023327,0.020744
202609240204,2026-09-24,02,4R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し,0.056198,0.044379,0.031944,0.026878,0.026795
202609240205,2026-09-24,02,5R,daily,4-1-2,4-1-3,3-1-2,2-1-3,4-1-5,まくり,差し,まくり差し,差し,まくり差し,0.025855,0.019976,0.019635,0.018340,0.018048
202609240206,2026-09-24,02,6R,daily,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し,0.028816,0.026949,0.024719,0.021892,0.017764
202609240207,2026-09-24,02,7R,daily,5-1-2,2-1-3,4-1-5,4-1-2,3-1-2,まくり差し,差し,まくり差し,まくり,まくり差し,0.013848,0.013713,0.013570,0.013225,0.011902
202609240208,2026-09-24,02,8R,daily,2-1-3,4-1-5,5-1-2,4-1-2,2-1-4,差し,まくり差し,まくり差し,まくり,差し,0.024214,0.022789,0.022197,0.021234,0.020633
202609240209,2026-09-24,02,9R,daily,2-1-3,3-1-2,3-1-4,3-1-5,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し,0.034003,0.033015,0.024143,0.023914,0.020313
202609240210,2026-09-24,02,10R,daily,3-1-4,3-1-2,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し,0.026066,0.024604,0.021984,0.021163,0.020116
202609240211,2026-09-24,02,11R,daily,3-1-4,3-1-2,3-1-5,2-1-3,4-1-3,まくり差し,まくり差し,まくり差し,差し,差し,0.023167,0.022550,0.018131,0.013423,0.012305
202609240212,2026-09-24,02,12R,daily,2-1-5,2-1-3,2-5-1,2-1-4,2-3-1,差し,差し,差し,差し,差し,0.052730,0.047157,0.040273,0.030334,0.026149
202609240601,2026-09-24,06,1R,daily,3-1-2,3-1-4,3-1-5,2-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり,0.034905,0.033666,0.028809,0.021562,0.017896
202609240602,2026-09-24,06,2R,daily,2-1-3,3-1-4,3-1-2,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し,0.041351,0.040117,0.036707,0.034534,0.029426
202609240603,2026-09-24,06,3R,daily,4-1-2,4-1-5,4-1-3,4-1-6,4-2-1,まくり,まくり差し,差し,まくり,まくり,0.040147,0.033737,0.026488,0.022119,0.020444
202609240604,2026-09-24,06,4R,daily,3-1-4,4-1-3,3-1-2,3-1-5,4-1-5,まくり差し,差し,まくり差し,まくり差し,まくり差し,0.021443,0.015950,0.015000,0.014351,0.014113
202609240605,2026-09-24,06,5R,daily,5-1-2,5-1-4,4-1-2,4-1-5,5-1-3,まくり差し,まくり差し,まくり,まくり差し,まくり差し,0.029841,0.023714,0.019585,0.019518,0.019126
202609240606,2026-09-24,06,6R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し,0.039872,0.034708,0.029805,0.028827,0.025452
202609240607,2026-09-24,06,7R,daily,4-1-2,4-1-5,4-1-3,4-2-1,4-1-6,まくり,まくり差し,差し,まくり,まくり,0.036067,0.028520,0.026367,0.019950,0.017143
202609240608,2026-09-24,06,8R,daily,4-1-2,4-1-3,3-1-4,4-1-5,2-1-4,まくり,差し,まくり差し,まくり差し,差し,0.016857,0.015039,0.014639,0.013014,0.012659
202609240609,2026-09-24,06,9R,daily,2-1-3,3-1-2,2-1-5,3-1-5,3-1-4,差し,まくり差し,差し,まくり差し,まくり差し,0.018517,0.016734,0.014946,0.014099,0.012776
202609240610,2026-09-24,06,10R,daily,2-1-3,2-1-4,3-1-2,2-1-5,2-3-1,差し,差し,まくり差し,差し,差し,0.030793,0.021680,0.018865,0.015177,0.012821
202609240611,2026-09-24,06,11R,daily,2-1-3,2-1-4,2-1-5,4-1-2,3-1-2,差し,差し,差し,まくり,まくり差し,0.029369,0.027295,0.019361,0.013673,0.012406
202609240612,2026-09-24,06,12R,daily,2-1-4,2-1-3,4-1-3,3-1-4,4-1-2,差し,差し,差し,まくり差し,まくり,0.012082,0.012045,0.011759,0.011708,0.010947
202609240801,2026-09-24,08,1R,daily,2-1-3,3-1-2,2-1-4,2-1-5,5-1-2,差し,まくり差し,差し,差し,まくり差し,0.019149,0.015054,0.013564,0.013043,0.011914
202609240802,2026-09-24,08,2R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり,0.045465,0.037642,0.029761,0.025535,0.022570
202609240803,2026-09-24,08,3R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-4-1,差し,差し,差し,差し,差し,0.058101,0.052391,0.043099,0.028337,0.023086
202609240804,2026-09-24,08,4R,daily,2-1-3,2-1-5,5-1-2,2-1-4,5-2-1,差し,差し,まくり差し,差し,まくり差し,0.034595,0.034029,0.028428,0.027883,0.023355
202609240805,2026-09-24,08,5R,daily,4-1-2,4-1-3,3-1-4,4-1-5,3-1-2,まくり,差し,まくり差し,まくり差し,まくり差し,0.017358,0.016928,0.014206,0.014106,0.011078
202609240806,2026-09-24,08,6R,daily,4-1-3,4-1-2,4-1-5,3-1-2,3-1-4,差し,まくり,まくり差し,まくり差し,まくり差し,0.016302,0.015441,0.014452,0.012895,0.012591
202609240807,2026-09-24,08,7R,daily,2-1-3,2-1-4,4-1-2,4-1-3,4-1-5,差し,差し,まくり,差し,まくり差し,0.032776,0.031065,0.029175,0.022483,0.021220
202609240808,2026-09-24,08,8R,daily,3-1-4,3-1-2,3-1-5,3-1-6,3-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり,0.045088,0.040811,0.033848,0.019739,0.017186
202609240809,2026-09-24,08,9R,daily,3-1-4,4-1-3,4-1-2,3-1-2,4-1-5,まくり差し,差し,まくり,まくり差し,まくり差し,0.026783,0.020853,0.020769,0.019091,0.017517
