レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202609191401,2026-09-19,14,01R,08:32,2026-09-19T08:52:17.778354+09:00,0836,逃　げ,1,長岡　　良也,"1'48""5",3,谷口　　佳蓮,"1'50""3",6,藤山　　湧太,"1'52""5",5,岡本　翔太郎,"1'53""1",2,塩田　　雄一,,4,小澤　　和也,,1,0.11,,2,0.13,,3,0.13,,4,0.15,,5,0.14,,6,0.17,,1,1,2.0,2.0,26.0,27.0
202609192301,2026-09-19,23,01R,08:44,2026-09-19T09:00:47.499932+09:00,0848,逃　げ,1,鈴谷　　一平,"1'50""8",2,中島　　友和,"1'52""0",5,奥平　　拓也,"1'53""1",3,橋本　　年光,"1'54""1",4,都築　　正治,"1'56""5",6,吉原　　快誓,"1'58""3",1,0.12,,2,0.11,,3,0.17,,4,0.16,,5,0.2,,6,0.2,,3,1,3.0,3.0,23.0,25.0
202609191402,2026-09-19,14,02R,08:58,2026-09-19T09:16:21.539855+09:00,0902,まくり差し,5,岡村　　慶太,"1'48""8",3,久田　　　武,"1'50""1",6,馬袋　　義則,"1'51""4",1,佐口　　達也,"1'53""2",2,西村　　秀樹,,4,上田　　紗奈,,1,0.18,,2,0.23,,3,0.15,,4,0.08,,5,0.14,,6,0.15,,1,1,1.0,1.0,26.0,27.0
202609192302,2026-09-19,23,02R,09:10,2026-09-19T09:26:21.854528+09:00,0914,まくり,2,郷原　　章平,"1'50""3",3,山下　　智己,"1'51""6",4,深山　　祐二,"1'53""6",1,鳥飼　　　眞,"1'53""7",6,藤田　　俊祐,"1'55""0",5,柴田　　大輔,"1'56""0",1,0.12,,2,0.12,,3,0.17,,4,0.14,,5,0.16,,6,0.14,,3,1,4.0,4.0,23.0,25.0
202609191403,2026-09-19,14,03R,09:24,2026-09-19T09:40:27.061970+09:00,0928,まくり差し,3,倉田　　茂将,"1'48""6",1,古澤　　光紀,"1'50""5",5,野長瀬　正孝,"1'52""6",4,石塚　　久也,"1'54""1",6,田中　　　結,,2,中井　　俊祐,,1,0.15,,2,0.22,,3,0.22,,4,0.21,,5,0.19,,6,0.18,,1,3,1.0,1.0,26.0,27.0
202609192303,2026-09-19,23,03R,09:36,2026-09-19T09:52:20.641587+09:00,0940,抜　き,1,大神　　康司,"1'50""9",4,嶋田　　貴支,"1'51""4",5,百武　　　翔,"1'52""3",2,加藤　　高史,"1'53""6",3,中嶋　誠一郎,"1'54""2",6,西村　　仁吾,"1'55""9",1,0.11,,2,0.12,,3,0.12,,4,0.11,,5,0.12,,6,0.15,,3,1,4.0,4.0,23.0,25.0
202609191404,2026-09-19,14,04R,09:50,2026-09-19T10:08:22.623102+09:00,0954,逃　げ,1,宮崎　　　奨,"1'48""6",4,岩崎　　芳美,"1'49""8",3,山道　　諄也,"1'50""7",2,渡邊　　裕貴,"1'52""1",5,恵良　　琴美,,6,益田　　啓司,,1,0.1,,2,0.11,,3,0.09,,4,0.12,,5,0.13,,6,0.15,,1,8,2.0,2.0,26.0,27.0
202609192304,2026-09-19,23,04R,10:02,2026-09-19T10:18:20.632889+09:00,1006,まくり,6,赤岩　　善生,"1'49""9",5,芝田　　浩治,"1'50""9",4,寺本　　重宣,"1'52""2",2,沼田　　大都,"1'52""6",1,江藤　　敦宏,"1'54""6",3,羽野　　　諒,"1'56""2",1,0.2,,6,0.08,,5,0.15,,4,0.22,,2,0.2,,3,0.22,,3,1,5.0,5.0,23.0,25.0
202609191405,2026-09-19,14,05R,10:16,2026-09-19T10:36:20.169220+09:00,1020,まくり,5,水摩　　　敦,"1'49""4",1,中尾　　彩香,"1'50""2",2,石岡　　将太,"1'52""2",3,村越　　　篤,"1'53""2",6,烏野　　賢太,,4,庄島　　潤成,,1,0.25,,2,0.26,,3,0.29,,4,0.27,,5,0.22,,6,0.26,,1,8,2.0,2.0,26.0,27.0
202609192305,2026-09-19,23,05R,10:28,2026-09-19T10:44:20.513587+09:00,1032,抜　き,1,飯島　　昌弘,"1'50""3",2,西尾　　亮輔,"1'51""9",6,渡邊　雄一郎,"1'52""7",4,服部　　達哉,"1'53""3",5,齊藤　　　仁,"1'54""5",3,田邉　　亮蔵,"1'55""4",1,0.06,,2,0.06,,3,0.05,,4,0.09,,5,0.12,,6,0.12,,3,1,5.0,5.0,23.0,25.0
