レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202609061001,2026-09-06,10,01R,08:32,2026-09-06T08:48:21.320395+09:00,0835,逃　げ,1,萩原　　秀人,"1'50""3",3,岸本　　雄貴,"1'51""1",2,土性　　雅也,"1'53""1",6,坂口　　諒宗,"1'54""1",4,東口　　　晃,,5,横井　　健太,,1,0.12,,2,0.15,,3,0.19,,4,0.23,,5,0.26,,6,0.21,,2,1,2.0,2.0,24.0,24.0
202609061401,2026-09-06,14,01R,08:44,2026-09-06T09:02:22.463470+09:00,0848,逃　げ,1,今井　　美亜,"1'49""3",2,新田　　芳美,"1'51""0",6,藤本　紗弥香,"1'52""8",3,西澤　日花里,"1'53""4",,,,,,,1,0.01,,2,0.03,,3,0.04,,4,-0.07,F,5,-0.03,F,6,0.05,,2,4,1.0,1.0,27.0,27.0
202609061002,2026-09-06,10,02R,08:58,2026-09-06T09:14:18.079871+09:00,0901,逃　げ,1,北川　　太一,"1'49""8",2,大橋　純一郎,"1'50""9",3,山崎　　聖司,"1'53""1",5,山崎　　鉄平,"1'53""2",6,竹腰　　正樹,,4,塩崎　　優司,,1,0.17,,2,0.15,,3,0.18,,4,0.19,,5,0.17,,6,0.18,,2,2,1.0,1.0,25.0,24.0
202609061402,2026-09-06,14,02R,09:10,2026-09-06T09:28:20.899532+09:00,0914,差　し,4,奥村　明日香,"1'48""9",1,西岡　　育未,"1'51""5",2,向井田　真紀,"1'52""8",5,古賀　　千晶,"1'53""8",3,千葉　　真弥,,6,清埜　　翔子,,1,0.24,,2,0.13,,3,0.12,,4,0.15,,5,0.13,,6,0.18,,2,1,2.0,2.0,27.0,27.0
202609061003,2026-09-06,10,03R,09:24,2026-09-06T09:40:28.733241+09:00,0927,逃　げ,1,坪井　　康晴,"1'49""5",2,香川　　颯太,"1'51""3",4,田頭　　虎親,"1'52""0",3,森　　　智也,"1'52""3",6,中渡　　修作,,5,杉山　　勝匡,,1,0.13,,2,0.14,,3,0.17,,4,0.15,,5,0.13,,6,0.19,,2,8,1.0,1.0,25.0,24.0
202609061403,2026-09-06,14,03R,09:36,2026-09-06T09:54:21.960286+09:00,0940,差　し,2,原田　　佑実,"1'49""3",1,大山　　千広,"1'50""5",5,浜田　亜理沙,"1'51""5",6,豊田　　　結,"1'54""6",3,西岡　　成美,,4,原村　　百那,,1,0.17,,2,0.2,,3,0.19,,4,0.15,,5,0.13,,6,0.16,,1,8,2.0,2.0,27.0,27.0
202609061004,2026-09-06,10,04R,09:50,2026-09-06T10:06:21.068903+09:00,0953,差　し,2,平見　　真彦,"1'50""8",4,永嶋　　裕一,"1'52""6",5,前田　健太郎,"1'53""6",1,久永　　祥平,"1'54""6",3,多田　　有佑,,6,間野　　兼礼,,1,0.18,,2,0.18,,3,0.14,,4,0.09,,6,0.13,,5,0.2,,2,8,2.0,2.0,26.0,24.0
202609061404,2026-09-06,14,04R,10:02,2026-09-06T10:20:26.596736+09:00,1006,まくり,3,安井　　瑞紀,"1'48""6",6,米丸　　乃絵,"1'49""9",1,藤原　　菜希,"1'52""6",2,樫葉　　新心,"1'53""2",5,深尾　　巴恵,,4,柴田　　愛梨,,1,0.18,,2,0.25,,3,0.21,,5,0.18,,6,0.16,,4,0.2,,1,1,3.0,3.0,27.0,27.0
202609061005,2026-09-06,10,05R,10:18,2026-09-06T10:34:22.790225+09:00,1021,逃　げ,1,石野　　貴之,"1'50""5",4,百武　　　翔,"1'51""3",2,岩川　　仁士,"1'52""5",5,岡村　　将也,"1'53""9",6,中岡　　健人,,3,井上　　　茂,,1,0.1,,2,0.08,,3,0.06,,4,0.07,,6,0.11,,5,0.15,,2,1,4.0,4.0,26.0,25.0
202609061405,2026-09-06,14,05R,10:28,2026-09-06T10:46:22.828124+09:00,1031,まくり,2,平高　　奈菜,"1'50""4",1,加藤　　奈月,"1'52""6",4,前田　　紗希,"1'52""9",3,佐藤　ほのか,"1'54""6",5,藤原　　早菜,,6,薗頭　　　心,,1,0.31,,2,0.26,,3,0.16,,4,0.25,,5,0.22,,6,0.21,,1,4,3.0,3.0,27.0,27.0
