レースコード,レース日,レース場,レース回,締切時刻,取得日時,2連単_1-2,2連単_1-3,2連単_1-4,2連単_1-5,2連単_1-6,2連単_2-1,2連単_2-3,2連単_2-4,2連単_2-5,2連単_2-6,2連単_3-1,2連単_3-2,2連単_3-4,2連単_3-5,2連単_3-6,2連単_4-1,2連単_4-2,2連単_4-3,2連単_4-5,2連単_4-6,2連単_5-1,2連単_5-2,2連単_5-3,2連単_5-4,2連単_5-6,2連単_6-1,2連単_6-2,2連単_6-3,2連単_6-4,2連単_6-5,2連複_1=2,2連複_1=3,2連複_1=4,2連複_1=5,2連複_1=6,2連複_2=3,2連複_2=4,2連複_2=5,2連複_2=6,2連複_3=4,2連複_3=5,2連複_3=6,2連複_4=5,2連複_4=6,2連複_5=6
202607291001,2026-07-29,10,01R,08:32,2026-07-29T08:22:25.786813+09:00,2.3,3.2,12.3,7.4,10.8,23.6,114.9,268.2,100.5,160.9,20.6,89.4,100.5,402.3,100.5,67.0,201.1,804.7,201.1,201.1,67.0,160.9,804.7,804.7,268.2,26.8,80.4,57.4,100.5,73.1,2.2,2.2,18.6,20.6,5.1,31.0,62.0,46.5,46.5,0.0,0.0,93.0,0.0,46.5,62.0
202607292301,2026-07-29,23,01R,08:39,2026-07-29T08:30:55.177232+09:00,6.8,2.0,4.6,5.2,43.7,32.8,131.2,52.5,105.0,0.0,18.1,105.0,131.2,105.0,0.0,22.8,105.0,262.5,262.5,262.5,32.8,525.0,175.0,262.5,525.0,262.5,0.0,0.0,0.0,0.0,11.3,1.9,1.8,10.1,0.0,60.7,0.0,182.2,0.0,182.2,91.1,0.0,22.7,0.0,0.0
202607291801,2026-07-29,18,01R,08:46,2026-07-29T08:36:26.489439+09:00,3.1,4.7,6.5,39.6,7.8,13.8,185.2,46.3,555.7,185.2,17.9,138.9,111.1,92.6,92.6,12.6,39.6,138.9,39.6,18.5,79.3,555.7,555.7,50.5,555.7,19.1,0.0,555.7,61.7,0.0,2.6,4.2,3.7,13.8,6.4,16.1,48.3,48.3,48.3,48.3,48.3,48.3,96.7,48.3,96.7
202607291002,2026-07-29,10,02R,08:58,2026-07-29T08:48:23.996549+09:00,3.4,18.8,34.6,51.9,20.7,3.5,4.2,29.6,41.5,51.9,11.5,13.8,51.9,207.7,103.8,69.2,69.2,103.8,103.8,69.2,103.8,0.0,103.8,0.0,207.7,69.2,0.0,0.0,0.0,0.0,1.2,8.8,14.7,0.0,0.0,6.3,8.8,66.3,44.2,33.1,0.0,0.0,0.0,0.0,0.0
202607292302,2026-07-29,23,02R,09:07,2026-07-29T08:58:26.534853+09:00,2.2,6.0,25.2,14.0,21.0,6.6,21.0,18.0,31.5,42.0,18.0,25.2,63.0,63.0,126.0,63.0,126.0,0.0,126.0,126.0,42.0,63.0,42.0,126.0,126.0,0.0,0.0,126.0,0.0,0.0,1.2,3.8,0.0,21.3,42.7,14.2,42.7,21.3,21.3,0.0,0.0,0.0,0.0,0.0,0.0
202607291802,2026-07-29,18,02R,09:12,2026-07-29T09:02:24.796332+09:00,30.0,3.0,2.5,13.6,50.0,150.0,0.0,100.0,300.0,0.0,42.8,75.0,42.8,42.8,150.0,4.7,75.0,100.0,50.0,100.0,50.0,150.0,100.0,42.8,100.0,150.0,100.0,300.0,75.0,150.0,3.6,3.0,3.6,19.8,13.2,13.2,39.7,39.7,19.8,19.8,19.8,19.8,0.0,0.0,0.0
202607291003,2026-07-29,10,03R,09:24,2026-07-29T09:14:24.694860+09:00,6.3,2.6,15.8,9.7,8.7,31.6,23.0,253.5,36.2,84.5,7.6,16.9,126.7,84.5,36.2,36.2,126.7,126.7,253.5,126.7,31.6,253.5,63.3,0.0,84.5,36.2,253.5,253.5,253.5,84.5,7.3,1.5,13.7,15.7,9.1,15.7,27.5,55.1,22.0,22.0,55.1,27.5,36.7,110.2,55.1
202607292303,2026-07-29,23,03R,09:33,2026-07-29T09:24:22.342508+09:00,6.5,4.2,11.1,5.7,8.6,47.4,63.2,21.0,63.2,63.2,14.5,37.9,47.4,31.6,47.4,18.9,37.9,94.8,63.2,63.2,14.5,63.2,37.9,63.2,63.2,0.0,0.0,189.7,0.0,94.8,11.8,3.6,11.8,6.7,23.6,5.9,47.2,15.7,47.2,15.7,9.4,6.7,15.7,47.2,47.2
202607291803,2026-07-29,18,03R,09:38,2026-07-29T09:28:27.381631+09:00,6.6,2.6,13.2,11.0,6.2,39.7,99.3,99.3,0.0,198.7,18.0,39.7,49.6,28.3,66.2,198.7,66.2,99.3,99.3,0.0,28.3,99.3,66.2,198.7,99.3,18.0,28.3,19.8,99.3,66.2,6.2,1.4,26.4,13.2,9.6,17.6,0.0,105.7,26.4,26.4,35.2,15.1,52.8,105.7,105.7
202607291004,2026-07-29,10,04R,09:50,2026-07-29T09:40:20.661841+09:00,12.0,3.2,22.9,10.4,76.5,17.6,25.5,76.5,28.6,229.5,4.9,20.8,25.5,11.4,229.5,76.5,76.5,76.5,57.3,114.7,15.3,32.7,15.3,57.3,114.7,229.5,229.5,0.0,0.0,0.0,9.9,1.4,33.9,5.4,0.0,16.9,56.5,21.1,169.5,42.3,8.0,84.7,42.3,0.0,169.5
