レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202609201001,2026-09-20,10,01R,08:32,2026-09-20T08:22:24.350924+09:00,1,0.12,2,0.12,3,0.17,4,0.07,5,0.11,6,0.15
202609201401,2026-09-20,14,01R,08:40,2026-09-20T08:30:30.385710+09:00,1,0.07,2,0.14,3,0.12,4,0.07,5,0.13,6,0.07
202609202301,2026-09-20,23,01R,08:48,2026-09-20T08:38:19.535277+09:00,1,0.09,2,0.11,3,0.06,4,0.03,5,0.2,6,0.07
202609201002,2026-09-20,10,02R,08:58,2026-09-20T08:48:24.681187+09:00,1,0.03,2,0.03,3,0.06,4,0.14,5,0.16,6,0.16
202609201402,2026-09-20,14,02R,09:06,2026-09-20T08:56:23.257071+09:00,1,-0.01,2,0.01,3,0.25,4,-0.02,5,-0.06,6,0.08
202609202302,2026-09-20,23,02R,09:14,2026-09-20T09:04:27.224472+09:00,1,0.13,2,0.05,3,0.13,4,0.13,5,0.18,6,0.16
202609201003,2026-09-20,10,03R,09:28,2026-09-20T09:18:20.045950+09:00,1,-0.07,2,0.03,3,0.15,4,0.13,5,-0.13,6,0.08
202609201403,2026-09-20,14,03R,09:32,2026-09-20T09:22:22.416258+09:00,1,0.11,2,0.15,3,0.26,4,0.17,5,0.04,6,0.11
202609202303,2026-09-20,23,03R,09:40,2026-09-20T09:30:30.403421+09:00,1,0.03,2,0.12,3,-0.02,4,0.09,6,0.22,5,0.18
202609201004,2026-09-20,10,04R,09:54,2026-09-20T09:44:23.077843+09:00,1,-0.06,2,0.07,3,0.15,4,0.08,5,0.09,6,0.41
202609201404,2026-09-20,14,04R,09:58,2026-09-20T09:48:21.154200+09:00,1,-0.01,2,-0.09,3,0.02,4,0.07,5,-0.09,6,0.03
202609202304,2026-09-20,23,04R,10:06,2026-09-20T09:56:19.736267+09:00,1,0.14,3,0.16,4,0.17,5,0.16,6,0.29,2,0.12
202609201005,2026-09-20,10,05R,10:22,2026-09-20T10:12:25.675052+09:00,1,0.13,2,0.09,3,0.11,4,0.19,5,0.11,6,0.05
202609201405,2026-09-20,14,05R,10:24,2026-09-20T10:14:21.234072+09:00,1,0.13,2,0.44,3,0.19,4,0.03,5,0.12,6,0.15
202609200501,2026-09-20,05,01R,10:30,2026-09-20T10:20:23.250054+09:00,1,0.03,2,0.08,3,0.04,4,0.09,6,0.02,5,-0.06
202609201301,2026-09-20,13,01R,10:36,2026-09-20T10:26:22.984582+09:00,1,0.05,2,0.06,3,0.11,4,0.16,5,0.07,6,0.08
202609202305,2026-09-20,23,05R,10:38,2026-09-20T10:28:22.554545+09:00,1,-0.01,2,0.11,3,0.09,4,0.24,5,0.17,6,0.09
202609201701,2026-09-20,17,01R,10:40,2026-09-20T10:30:33.227401+09:00,1,0.13,2,0.1,3,0.06,4,-0.05,5,-0.05,6,-0.06
202609200201,2026-09-20,02,01R,10:47,2026-09-20T10:38:23.007282+09:00,1,0.04,2,0.19,3,0.06,4,0.02,5,0.08,6,0.19
202609201006,2026-09-20,10,06R,10:49,2026-09-20T10:40:25.962625+09:00,1,0.05,2,0.02,3,-0.04,4,0.18,5,0.06,6,0.23
202609201601,2026-09-20,16,01R,10:50,2026-09-20T10:40:25.962625+09:00,1,0.05,2,0.08,3,0.09,4,0.01,5,0.05,6,-0.07
202609201406,2026-09-20,14,06R,10:52,2026-09-20T10:42:25.440665+09:00,1,0.09,2,0.15,3,0.26,4,0.04,5,0.0,6,-0.05
202609200502,2026-09-20,05,02R,10:57,2026-09-20T10:48:22.605033+09:00,1,-0.03,2,0.03,3,0.18,4,0.03,5,0.21,6,0.11
202609201302,2026-09-20,13,02R,11:02,2026-09-20T10:52:20.675692+09:00,1,0.04,2,0.06,3,0.07,4,-0.01,5,0.01,6,0.09
202609201702,2026-09-20,17,02R,11:07,2026-09-20T10:58:18.697739+09:00,1,-0.06,2,-0.18,3,-0.18,4,-0.12,5,-0.08,6,0.13
202609202306,2026-09-20,23,06R,11:11,2026-09-20T11:02:22.740657+09:00,1,0.05,2,0.01,3,-0.03,4,0.21,5,0.07,6,0.19
202609200301,2026-09-20,03,01R,11:14,2026-09-20T11:04:25.050524+09:00,1,0.01,2,0.21,3,0.25,4,0.25,5,0.02,6,0.11
202609200202,2026-09-20,02,02R,11:16,2026-09-20T11:06:27.900388+09:00,1,0.06,2,0.05,3,0.01,4,0.11,5,0.03,6,0.07
202609201007,2026-09-20,10,07R,11:19,2026-09-20T11:10:23.563643+09:00,1,-0.01,2,0.09,3,0.08,4,0.08,5,0.45,6,0.19
202609201602,2026-09-20,16,02R,11:21,2026-09-20T11:12:20.038766+09:00,1,0.16,2,0.5,3,0.17,4,0.1,5,0.11,6,0.18
202609201407,2026-09-20,14,07R,11:23,2026-09-20T11:14:25.005686+09:00,1,0.09,2,0.07,3,0.09,4,-0.03,5,0.06,6,0.06
202609201303,2026-09-20,13,03R,11:25,2026-09-20T11:16:23.765764+09:00,1,0.28,2,0.12,3,0.05,4,0.11,5,0.08,6,0.11
202609200503,2026-09-20,05,03R,11:27,2026-09-20T11:18:24.997700+09:00,1,0.01,2,0.05,3,-0.03,4,-0.03,5,-0.02,6,0.05
202609200601,2026-09-20,06,01R,11:32,2026-09-20T11:22:20.609636+09:00,1,0.17,2,0.14,3,0.17,4,0.01,5,0.1,6,0.16
202609201703,2026-09-20,17,03R,11:37,2026-09-20T11:28:19.532733+09:00,1,0.05,2,-0.03,3,0.09,4,-0.08,6,0.07,5,-0.13
202609200302,2026-09-20,03,02R,11:41,2026-09-20T11:32:22.797421+09:00,1,0.2,2,-0.07,3,0.01,4,0.11,5,-0.01,6,-0.02
202609202307,2026-09-20,23,07R,11:43,2026-09-20T11:34:23.629017+09:00,1,0.09,2,0.22,3,0.02,4,0.07,5,0.1,6,0.06
202609200203,2026-09-20,02,03R,11:45,2026-09-20T11:36:22.974358+09:00,1,0.16,2,0.16,3,0.07,4,0.09,5,0.06,6,0.19
202609201304,2026-09-20,13,04R,11:48,2026-09-20T11:40:22.730727+09:00,1,0.05,2,0.01,3,0.1,4,0.15,5,0.06,6,0.11
202609201603,2026-09-20,16,03R,11:50,2026-09-20T11:40:22.730727+09:00,1,0.03,2,0.11,3,0.14,4,0.27,6,0.13,5,0.2
202609201008,2026-09-20,10,08R,11:52,2026-09-20T11:42:23.294754+09:00,1,0.25,2,0.19,3,0.21,4,0.08,5,0.14,6,0.08
202609201408,2026-09-20,14,08R,11:54,2026-09-20T11:44:21.669404+09:00,1,-0.07,2,0.03,3,0.09,4,0.08,5,0.02,6,0.13
202609200504,2026-09-20,05,04R,11:57,2026-09-20T11:48:26.846953+09:00,1,0.12,2,0.14,3,0.08,4,0.12,5,0.0,6,0.01
202609200602,2026-09-20,06,02R,12:02,2026-09-20T11:52:24.929696+09:00,1,0.14,6,-0.03,2,0.1,3,0.1,4,0.08,5,-0.02
202609200303,2026-09-20,03,03R,12:08,2026-09-20T11:58:20.143841+09:00,1,0.21,2,0.03,3,0.08,4,0.23,5,0.14,6,0.17
202609201704,2026-09-20,17,04R,12:07,2026-09-20T11:58:20.143841+09:00,1,0.18,2,0.26,3,0.07,5,0.05,4,0.12,6,0.11
202609202308,2026-09-20,23,08R,12:12,2026-09-20T12:02:21.880879+09:00,1,0.05,2,0.11,3,0.15,4,0.06,5,0.07,6,0.1
202609200204,2026-09-20,02,04R,12:14,2026-09-20T12:04:19.634175+09:00,1,0.07,2,0.04,3,0.11,4,0.31,5,0.22,6,0.01
202609201305,2026-09-20,13,05R,12:20,2026-09-20T12:10:26.179518+09:00,1,0.04,2,0.03,3,-0.01,4,0.03,5,0.05,6,0.21
