レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202609061001,2026-09-06,10,01R,08:32,2026-09-06T08:22:20.966115+09:00,1,0.09,2,0.09,3,0.07,4,0.13,5,0.11,6,-0.07
202609061401,2026-09-06,14,01R,08:44,2026-09-06T08:34:18.965809+09:00,1,0.05,2,0.12,3,0.15,4,0.07,5,0.05,6,0.01
202609061002,2026-09-06,10,02R,08:58,2026-09-06T08:48:21.320395+09:00,1,0.02,2,-0.01,3,0.04,4,0.37,5,0.05,6,-0.04
202609061402,2026-09-06,14,02R,09:10,2026-09-06T09:00:56.929528+09:00,1,0.01,2,0.22,3,0.06,4,-0.07,5,-0.02,6,0.03
202609061003,2026-09-06,10,03R,09:24,2026-09-06T09:14:18.079871+09:00,1,0.03,2,0.05,3,0.08,4,0.05,5,0.21,6,0.06
202609061403,2026-09-06,14,03R,09:36,2026-09-06T09:26:21.837856+09:00,1,0.14,2,0.09,3,0.07,4,0.19,5,0.07,6,0.08
202609061004,2026-09-06,10,04R,09:50,2026-09-06T09:40:28.733241+09:00,1,0.02,2,0.25,3,0.19,4,-0.1,5,0.0,6,0.02
202609061404,2026-09-06,14,04R,10:02,2026-09-06T09:52:22.515840+09:00,1,-0.04,2,0.2,3,0.07,4,0.38,5,0.36,6,0.15
202609061005,2026-09-06,10,05R,10:18,2026-09-06T10:08:22.090855+09:00,1,0.08,2,0.17,3,0.23,4,0.12,5,0.14,6,0.09
202609061405,2026-09-06,14,05R,10:28,2026-09-06T10:18:18.935940+09:00,1,0.15,2,0.21,3,0.07,4,0.26,5,0.22,6,0.31
202609061101,2026-09-06,11,01R,10:35,2026-09-06T10:26:24.700777+09:00,1,0.05,2,-0.02,3,0.13,4,0.16,5,0.13,6,0.14
202609060901,2026-09-06,09,01R,10:42,2026-09-06T10:32:17.838205+09:00,1,0.12,2,0.03,3,-0.07,4,0.07,5,0.03,6,0.04
202609060201,2026-09-06,02,01R,10:47,2026-09-06T10:38:24.490064+09:00,1,-0.08,2,-0.05,3,-0.07,4,0.04,5,0.13,6,0.07
202609061006,2026-09-06,10,06R,10:50,2026-09-06T10:40:20.765354+09:00,1,0.08,2,0.21,3,0.12,4,-0.01,5,0.01,6,0.14
202609061701,2026-09-06,17,01R,10:54,2026-09-06T10:44:23.635697+09:00,1,-0.01,2,0.0,4,0.02,5,-0.03,3,0.01,6,0.06
202609060401,2026-09-06,04,01R,10:55,2026-09-06T10:46:22.828124+09:00,1,0.34,2,0.06,3,-0.05,4,0.02,5,0.01,6,-0.02
202609061406,2026-09-06,14,06R,10:58,2026-09-06T10:48:22.218477+09:00,1,0.19,2,0.13,3,0.09,4,0.25,5,0.26,6,0.32
202609061102,2026-09-06,11,02R,11:05,2026-09-06T10:56:21.508281+09:00,1,0.11,2,0.09,3,0.03,4,0.07,5,0.07,6,0.16
202609060902,2026-09-06,09,02R,11:12,2026-09-06T11:02:22.091998+09:00,1,0.09,2,0.18,3,0.16,4,-0.04,5,0.06,6,0.07
202609060301,2026-09-06,03,01R,11:14,2026-09-06T11:04:22.791709+09:00,1,0.25,2,0.01,3,0.11,4,0.19,5,0.01,6,0.11
202609060202,2026-09-06,02,02R,11:16,2026-09-06T11:06:22.709965+09:00,1,-0.02,2,0.02,3,0.09,4,0.26,5,-0.04,6,-0.09
202609061007,2026-09-06,10,07R,11:19,2026-09-06T11:10:28.048185+09:00,1,0.15,2,0.17,3,0.17,4,0.18,5,0.09,6,0.08
202609060402,2026-09-06,04,02R,11:24,2026-09-06T11:14:26.295558+09:00,1,-0.08,2,-0.06,3,-0.06,4,-0.03,5,0.08,6,0.2
202609061702,2026-09-06,17,02R,11:23,2026-09-06T11:14:26.295558+09:00,1,0.08,2,0.13,3,0.08,4,-0.04,5,0.04,6,0.05
202609061407,2026-09-06,14,07R,11:28,2026-09-06T11:18:21.353936+09:00,1,0.08,2,0.01,3,0.07,4,0.16,5,0.08,6,0.04
202609061103,2026-09-06,11,03R,11:36,2026-09-06T11:26:21.666420+09:00,1,0.18,2,0.09,3,0.05,4,0.14,5,0.17,6,0.02
202609060302,2026-09-06,03,02R,11:41,2026-09-06T11:32:22.087703+09:00,1,0.24,2,0.17,3,0.22,4,0.38,5,0.41,6,0.15
202609060903,2026-09-06,09,03R,11:42,2026-09-06T11:32:22.087703+09:00,1,-0.01,2,-0.05,3,-0.01,4,0.09,5,0.21,6,0.02
202609060203,2026-09-06,02,03R,11:45,2026-09-06T11:36:25.145196+09:00,1,-0.26,2,-0.06,3,0.09,4,0.0,5,0.08,6,0.18
202609062201,2026-09-06,22,01R,11:48,2026-09-06T11:38:20.902029+09:00,1,0.04,2,-0.02,3,-0.05,4,-0.01,5,-0.01,6,0.08
202609061008,2026-09-06,10,08R,11:50,2026-09-06T11:40:24.138680+09:00,1,0.03,2,0.34,3,0.15,4,0.09,5,0.14,6,0.16
202609060403,2026-09-06,04,03R,11:53,2026-09-06T11:44:23.053861+09:00,1,-0.11,3,0.12,4,0.03,5,0.01,2,-0.08,6,0.14
202609061703,2026-09-06,17,03R,12:00,2026-09-06T11:50:23.281634+09:00,1,0.04,2,0.05,4,0.2,5,0.19,6,0.2,3,0.01
202609061104,2026-09-06,11,04R,12:03,2026-09-06T11:54:17.521850+09:00,1,0.19,2,-0.03,3,0.13,4,0.18,6,-0.06,5,-0.03
202609061408,2026-09-06,14,08R,12:05,2026-09-06T11:56:20.028602+09:00,1,0.18,2,0.04,3,0.18,5,0.04,4,0.02,6,0.03
