レースコード,レース日,レース場,レース回,締切時刻,取得日時,ボーダー順位,1着点,2着点,3着点,4着点,5着点,6着点,艇1_級別,艇1_登録番号,艇1_選手名,艇1_得点率,艇1_順位,艇1_ボーダー状態,艇1_早見,艇1_1着時得点率,艇1_1着時状態,艇1_2着時得点率,艇1_2着時状態,艇1_3着時得点率,艇1_3着時状態,艇1_4着時得点率,艇1_4着時状態,艇1_5着時得点率,艇1_5着時状態,艇1_6着時得点率,艇1_6着時状態,艇2_級別,艇2_登録番号,艇2_選手名,艇2_得点率,艇2_順位,艇2_ボーダー状態,艇2_早見,艇2_1着時得点率,艇2_1着時状態,艇2_2着時得点率,艇2_2着時状態,艇2_3着時得点率,艇2_3着時状態,艇2_4着時得点率,艇2_4着時状態,艇2_5着時得点率,艇2_5着時状態,艇2_6着時得点率,艇2_6着時状態,艇3_級別,艇3_登録番号,艇3_選手名,艇3_得点率,艇3_順位,艇3_ボーダー状態,艇3_早見,艇3_1着時得点率,艇3_1着時状態,艇3_2着時得点率,艇3_2着時状態,艇3_3着時得点率,艇3_3着時状態,艇3_4着時得点率,艇3_4着時状態,艇3_5着時得点率,艇3_5着時状態,艇3_6着時得点率,艇3_6着時状態,艇4_級別,艇4_登録番号,艇4_選手名,艇4_得点率,艇4_順位,艇4_ボーダー状態,艇4_早見,艇4_1着時得点率,艇4_1着時状態,艇4_2着時得点率,艇4_2着時状態,艇4_3着時得点率,艇4_3着時状態,艇4_4着時得点率,艇4_4着時状態,艇4_5着時得点率,艇4_5着時状態,艇4_6着時得点率,艇4_6着時状態,艇5_級別,艇5_登録番号,艇5_選手名,艇5_得点率,艇5_順位,艇5_ボーダー状態,艇5_早見,艇5_1着時得点率,艇5_1着時状態,艇5_2着時得点率,艇5_2着時状態,艇5_3着時得点率,艇5_3着時状態,艇5_4着時得点率,艇5_4着時状態,艇5_5着時得点率,艇5_5着時状態,艇5_6着時得点率,艇5_6着時状態,艇6_級別,艇6_登録番号,艇6_選手名,艇6_得点率,艇6_順位,艇6_ボーダー状態,艇6_早見,艇6_1着時得点率,艇6_1着時状態,艇6_2着時得点率,艇6_2着時状態,艇6_3着時得点率,艇6_3着時状態,艇6_4着時得点率,艇6_4着時状態,艇6_5着時得点率,艇6_5着時状態,艇6_6着時得点率,艇6_6着時状態
202609011801,2026-09-01,18,01R,08:44,2026-09-01T08:34:28.657003+09:00,18,10,08,06,04,02,01,A2,4120,柘植 政浩,6.00,15,01,12,8.00,5,7.00,5,6.00,3,5.00,2,4.00,2,3.50,2,B1,3976,内田 圭,6.00,15,01,9,8.00,3,7.00,3,6.00,3,5.00,2,4.00,2,3.50,0,B1,3340,池田 雷太,6.00,15,01,6,8.00,3,7.00,3,6.00,3,5.00,2,4.00,2,3.50,0,B1,3478,嶋田 貴支,4.50,28,00,,6.33,5,5.67,0,5.00,0,4.33,0,3.67,0,3.33,0,B1,5345,牧村 俊輝,2.00,35,00,7,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,B1,4068,幸田 智裕,6.00,15,01,10,8.00,3,7.00,3,6.00,3,5.00,2,4.00,2,3.50,0
202609011802,2026-09-01,18,02R,09:10,2026-09-01T09:00:55.439335+09:00,18,12,10,08,06,04,03,A1,4506,稗田 聖也,9.00,6,01,10,10.00,5,9.33,5,8.67,5,8.00,5,7.33,3,7.00,3,B1,5067,山田 真聖,6.00,15,01,,8.00,5,7.33,5,6.67,5,6.00,5,5.33,0,5.00,0,A2,3158,島川 光男,6.00,15,01,8,8.00,5,7.33,3,6.67,3,6.00,3,5.33,2,5.00,2,A2,4356,長岡 良也,6.00,15,01,7,8.00,5,7.33,3,6.67,3,6.00,3,5.33,2,5.00,2,A1,4734,安河内 将,10.00,2,01,11,10.67,5,10.00,5,9.33,5,8.67,5,8.00,5,7.67,5,B1,3982,福田 理,6.00,15,01,6,9.00,5,8.00,3,7.00,3,6.00,3,5.00,2,4.50,2
202609011803,2026-09-01,18,03R,09:36,2026-09-01T09:26:29.680014+09:00,18,10,08,06,04,02,01,A1,4794,和田 拓也,7.00,13,01,12,8.00,5,7.33,5,6.67,5,6.00,3,5.33,2,5.00,2,B1,3701,大西 隆洋,1.00,40,00,8,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,A2,4706,三浦 洋次朗,10.00,2,01,11,10.00,5,9.00,5,8.00,3,7.00,3,6.00,3,5.50,2,B1,5441,鈴木 雄登,4.00,28,00,,7.00,5,6.00,5,5.00,0,4.00,0,3.00,0,2.50,0,A2,4515,藤田 浩人,-2.50,45,00,9,1.67,0,1.00,0,0.33,0,-0.33,0,-1.00,0,-1.33,0,B1,4220,深川 和仁,8.00,8,01,,8.67,5,8.00,5,7.33,5,6.67,5,6.00,5,5.67,0
202609011804,2026-09-01,18,04R,10:02,2026-09-01T09:52:26.971076+09:00,18,10,08,06,04,02,01,A2,3963,原田 秀弥,6.00,17,01,9,7.33,3,6.67,3,6.00,3,5.33,2,4.67,2,4.33,0,A1,4610,佐藤 大佑,12.00,1,01,12,11.00,5,10.00,5,9.00,5,8.00,5,7.00,5,6.50,5,B1,3461,渡邊 哲也,1.00,40,00,11,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,B1,3687,花田 和明,2.00,36,00,10,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,B1,4821,妻鳥 晋也,5.00,23,00,,6.67,5,6.00,5,5.33,0,4.67,0,4.00,0,3.67,0,B1,4863,三浦 裕貴,8.00,8,01,8,9.00,5,8.00,3,7.00,3,6.00,3,5.00,2,4.50,2
202609011805,2026-09-01,18,05R,10:29,2026-09-01T10:20:37.607620+09:00,18,10,08,06,04,02,01,B1,4367,山口 修路,3.50,33,00,,5.67,0,5.00,0,4.33,0,3.67,0,3.00,0,2.67,0,A2,4331,三好 勇人,8.00,7,01,11,9.00,5,8.00,3,7.00,3,6.00,3,5.00,2,4.50,2,B1,4873,蒲原 健太,4.00,29,00,10,7.00,3,6.00,3,5.00,2,4.00,2,3.00,0,2.50,0,A1,4409,坂元 浩仁,2.00,37,00,12,6.00,3,5.00,2,4.00,2,3.00,2,2.00,0,1.50,0,A2,3711,江本 真治,6.50,16,01,,7.67,5,7.00,5,6.33,5,5.67,0,5.00,0,4.67,0,B1,4277,金田 大輔,4.50,27,00,,6.33,5,5.67,0,5.00,0,4.33,0,3.67,0,3.33,0
202609010801,2026-09-01,08,01R,10:32,2026-09-01T10:22:26.537509+09:00,18,10,08,06,04,02,01,A2,5049,松井 友汰,3.33,35,00,9,5.00,2,4.50,0,4.00,0,3.50,0,3.00,0,2.75,0,B1,3448,高山 秀雄,4.67,26,00,8,6.00,3,5.50,2,5.00,2,4.50,0,4.00,0,3.75,0,B1,4200,早川 尚人,3.33,35,00,7,5.00,2,4.50,0,4.00,0,3.50,0,3.00,0,2.75,0,B1,4626,伊藤 紘章,3.00,37,00,6,4.75,2,4.25,0,3.75,0,3.25,0,2.75,0,2.50,0,B1,3699,富永 正人,4.67,26,00,5,6.00,3,5.50,2,5.00,2,4.50,0,4.00,0,3.75,0,B1,4592,小林 孝弘,4.33,29,00,10,5.75,3,5.25,2,4.75,2,4.25,0,3.75,0,3.50,0
202609011301,2026-09-01,13,01R,10:42,2026-09-01T10:32:25.483590+09:00,18,10,08,06,04,02,01,B1,5183,中野 孝二,0.00,1,01,10,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4697,國弘 翔平,0.00,1,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A2,4133,高橋 正男,0.00,1,01,11,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,3211,北川 敏弘,0.00,1,01,9,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4253,西川 真人,0.00,1,01,7,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4093,吉田 宗弘,0.00,1,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5
202609011806,2026-09-01,18,06R,10:59,2026-09-01T10:50:29.038538+09:00,18,10,08,06,04,02,01,B1,5308,藤森 拓海,1.00,41,00,11,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,A2,4578,藤山 雅弘,6.00,18,01,10,7.33,3,6.67,3,6.00,3,5.33,2,4.67,2,4.33,0,A2,4522,古澤 光紀,7.00,14,01,12,8.00,5,7.33,5,6.67,5,6.00,3,5.33,2,5.00,2,B1,3982,福田 理,6.00,18,01,2,7.33,5,6.67,5,6.00,5,5.33,0,4.67,0,4.33,0,B1,3340,池田 雷太,5.00,23,00,1,6.67,5,6.00,5,5.33,0,4.67,0,4.00,0,3.67,0,A1,4581,吉村 誠,7.50,12,01,,8.33,5,7.67,5,7.00,5,6.33,5,5.67,0,5.33,0
202609010802,2026-09-01,08,02R,11:03,2026-09-01T10:54:23.566592+09:00,18,10,08,06,04,02,01,B1,3718,伊達 正利,4.33,31,00,8,5.75,3,5.25,2,4.75,2,4.25,0,3.75,0,3.50,0,A2,4066,東本 勝利,7.00,12,01,7,7.75,5,7.25,5,6.75,3,6.25,3,5.75,3,5.50,2,B1,3072,西田 靖,5.67,17,01,9,6.75,3,6.25,3,5.75,3,5.25,2,4.75,2,4.50,0,A1,4467,渡邉 俊介,4.67,28,00,12,6.00,3,5.50,2,5.00,2,4.50,2,4.00,0,3.75,0,B2,5467,野村 羽玖,5.33,22,00,10,6.50,3,6.00,3,5.50,2,5.00,2,4.50,0,4.25,0,B1,4432,黄金井 力良,7.67,8,01,6,8.25,5,7.75,5,7.25,5,6.75,3,6.25,3,6.00,3
202609011302,2026-09-01,13,02R,11:12,2026-09-01T11:02:19.831989+09:00,18,10,08,06,04,02,01,B1,3745,橋本 年光,0.00,7,01,8,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A2,4124,池田 雄一,0.00,7,01,9,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,3233,小畑 実成,0.00,7,01,7,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A2,4413,水摩 敦,0.00,7,01,10,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B2,3939,渡辺 真至,0.00,7,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,3784,中島 友和,0.00,7,01,11,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5
