レースコード,レース日,レース場,レース回,締切時刻,取得日時,ボーダー順位,1着点,2着点,3着点,4着点,5着点,6着点,艇1_級別,艇1_登録番号,艇1_選手名,艇1_得点率,艇1_順位,艇1_ボーダー状態,艇1_早見,艇1_1着時得点率,艇1_1着時状態,艇1_2着時得点率,艇1_2着時状態,艇1_3着時得点率,艇1_3着時状態,艇1_4着時得点率,艇1_4着時状態,艇1_5着時得点率,艇1_5着時状態,艇1_6着時得点率,艇1_6着時状態,艇2_級別,艇2_登録番号,艇2_選手名,艇2_得点率,艇2_順位,艇2_ボーダー状態,艇2_早見,艇2_1着時得点率,艇2_1着時状態,艇2_2着時得点率,艇2_2着時状態,艇2_3着時得点率,艇2_3着時状態,艇2_4着時得点率,艇2_4着時状態,艇2_5着時得点率,艇2_5着時状態,艇2_6着時得点率,艇2_6着時状態,艇3_級別,艇3_登録番号,艇3_選手名,艇3_得点率,艇3_順位,艇3_ボーダー状態,艇3_早見,艇3_1着時得点率,艇3_1着時状態,艇3_2着時得点率,艇3_2着時状態,艇3_3着時得点率,艇3_3着時状態,艇3_4着時得点率,艇3_4着時状態,艇3_5着時得点率,艇3_5着時状態,艇3_6着時得点率,艇3_6着時状態,艇4_級別,艇4_登録番号,艇4_選手名,艇4_得点率,艇4_順位,艇4_ボーダー状態,艇4_早見,艇4_1着時得点率,艇4_1着時状態,艇4_2着時得点率,艇4_2着時状態,艇4_3着時得点率,艇4_3着時状態,艇4_4着時得点率,艇4_4着時状態,艇4_5着時得点率,艇4_5着時状態,艇4_6着時得点率,艇4_6着時状態,艇5_級別,艇5_登録番号,艇5_選手名,艇5_得点率,艇5_順位,艇5_ボーダー状態,艇5_早見,艇5_1着時得点率,艇5_1着時状態,艇5_2着時得点率,艇5_2着時状態,艇5_3着時得点率,艇5_3着時状態,艇5_4着時得点率,艇5_4着時状態,艇5_5着時得点率,艇5_5着時状態,艇5_6着時得点率,艇5_6着時状態,艇6_級別,艇6_登録番号,艇6_選手名,艇6_得点率,艇6_順位,艇6_ボーダー状態,艇6_早見,艇6_1着時得点率,艇6_1着時状態,艇6_2着時得点率,艇6_2着時状態,艇6_3着時得点率,艇6_3着時状態,艇6_4着時得点率,艇6_4着時状態,艇6_5着時得点率,艇6_5着時状態,艇6_6着時得点率,艇6_6着時状態
202609171401,2026-09-17,14,01R,08:32,2026-09-17T08:22:19.609654+09:00,18,10,08,06,04,02,01,A2,4522,古澤 光紀,5.50,22,00,,6.40,5,6.00,5,5.60,0,5.20,0,4.80,0,4.60,0,B1,4636,赤池 修平,6.00,18,01,,7.00,5,6.50,5,6.00,5,5.50,0,5.00,0,4.75,0,B1,3578,塩田 雄一,2.33,36,00,,4.25,0,3.75,0,3.25,0,2.75,0,2.25,0,2.00,0,B1,5389,恵良 琴美,1.00,42,00,8,3.25,0,2.75,0,2.25,0,1.75,0,1.25,0,1.00,0,B1,4006,小野 勇作,0.00,44,00,7,2.50,0,2.00,0,1.50,0,1.00,0,0.50,0,0.25,0,B2,5471,田中 結,1.00,42,00,9,3.25,0,2.75,0,2.25,0,1.75,0,1.25,0,1.00,0
202609172301,2026-09-17,23,01R,08:44,2026-09-17T08:34:21.082233+09:00,18,10,08,06,04,02,01,A2,4822,百武 翔,10.00,3,01,10,10.00,5,9.00,5,8.00,5,7.00,3,6.00,3,5.50,2,B1,3550,都築 正治,4.50,24,00,7,6.33,3,5.67,2,5.00,2,4.33,0,3.67,0,3.33,0,B1,3411,池上 隆行,6.00,16,01,9,8.00,3,7.00,3,6.00,3,5.00,2,4.00,2,3.50,0,B1,3710,吉永 泰弘,4.00,25,00,5,7.00,3,6.00,3,5.00,2,4.00,2,3.00,0,2.50,0,B2,5420,吉原 快誓,4.00,25,00,6,7.00,3,6.00,3,5.00,2,4.00,2,3.00,0,2.50,0,B1,3974,深山 祐二,2.00,32,00,8,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0
202609171402,2026-09-17,14,02R,08:58,2026-09-17T08:48:24.285767+09:00,18,10,08,06,04,02,01,B1,5057,上田 紗奈,5.67,21,00,7,6.75,3,6.25,3,5.75,2,5.25,2,4.75,0,4.50,0,A2,4413,水摩 敦,7.67,7,01,11,8.25,5,7.75,5,7.25,5,6.75,5,6.25,3,6.00,3,B1,4110,小澤 和也,3.33,34,00,8,5.00,2,4.50,0,4.00,0,3.50,0,3.00,0,2.75,0,A2,4142,平野 和明,3.67,32,00,10,5.25,2,4.75,0,4.25,0,3.75,0,3.25,0,3.00,0,A2,5289,佃 來紀,8.25,4,01,,8.60,5,8.20,5,7.80,5,7.40,5,7.00,5,6.80,5,B1,5341,山道 諄也,2.00,38,00,9,4.00,0,3.50,0,3.00,0,2.50,0,2.00,0,1.75,0
202609172302,2026-09-17,23,02R,09:10,2026-09-17T09:00:59.549017+09:00,18,10,08,06,04,02,01,A1,3256,三角 哲男,8.50,7,01,10,9.00,5,8.33,5,7.67,5,7.00,3,6.33,3,6.00,3,A2,4640,山ノ内 雅人,3.50,30,00,11,5.67,2,5.00,2,4.33,2,3.67,0,3.00,0,2.67,0,B2,4683,向井田 直弥,0.50,41,00,7,3.67,0,3.00,0,2.33,0,1.67,0,1.00,0,0.67,0,B1,4752,西尾 亮輔,-1.50,42,00,8,2.33,0,1.67,0,1.00,0,0.33,0,-0.33,0,-0.67,0,B1,3527,中嶋 誠一郎,5.00,21,00,,6.67,5,6.00,5,5.33,0,4.67,0,4.00,0,3.67,0,B2,5443,西村 仁吾,1.00,37,00,9,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0
202609171403,2026-09-17,14,03R,09:24,2026-09-17T09:14:30.242598+09:00,18,10,08,06,04,02,01,A2,4356,長岡 良也,4.33,31,00,11,5.75,2,5.25,2,4.75,0,4.25,0,3.75,0,3.50,0,A2,4550,石岡 将太,5.00,28,00,8,6.25,2,5.75,2,5.25,0,4.75,0,4.25,0,4.00,0,B1,4447,深川 麻奈美,7.33,9,01,12,8.00,5,7.50,5,7.00,3,6.50,3,6.00,2,5.75,2,A1,4290,稲田 浩二,9.25,2,01,9,9.40,5,9.00,5,8.60,5,8.20,5,7.80,5,7.60,5,B2,5370,日隈 茜,3.33,34,00,,5.00,0,4.50,0,4.00,0,3.50,0,3.00,0,2.75,0,B2,5403,藤山 湧太,1.67,39,00,7,3.75,0,3.25,0,2.75,0,2.25,0,1.75,0,1.50,0
202609172303,2026-09-17,23,03R,09:36,2026-09-17T09:26:26.667302+09:00,18,10,08,06,04,02,01,A2,4535,北山 康介,5.00,21,00,9,7.50,3,6.50,3,5.50,2,4.50,2,3.50,0,3.00,0,B1,3602,奥平 拓也,1.00,36,00,7,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,A1,4002,古結 宏,8.00,10,01,,8.67,5,8.00,5,7.33,5,6.67,5,6.00,5,5.67,0,B1,5441,鈴木 雄登,4.00,26,00,10,6.00,3,5.33,2,4.67,2,4.00,0,3.33,0,3.00,0,B1,5211,高井 駿弥,1.00,36,00,8,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,B1,3445,加藤 高史,7.00,12,01,12,8.00,5,7.33,5,6.67,5,6.00,3,5.33,2,5.00,2
202609171404,2026-09-17,14,04R,09:50,2026-09-17T09:40:24.890551+09:00,18,10,08,06,04,02,01,A1,4748,渡邉 雄朗,6.33,20,00,12,7.25,3,6.75,3,6.25,2,5.75,2,5.25,0,5.00,0,A2,4906,鈴木 雅希,5.75,22,00,,6.60,5,6.20,0,5.80,0,5.40,0,5.00,0,4.80,0,A2,3885,久田 武,5.33,23,00,10,6.50,3,6.00,2,5.50,0,5.00,0,4.50,0,4.25,0,B1,3224,栗山 繁洋,5.00,28,00,,6.25,0,5.75,0,5.25,0,4.75,0,4.25,0,4.00,0,B1,3907,村越 篤,7.00,10,01,9,7.75,3,7.25,3,6.75,3,6.25,2,5.75,2,5.50,0,B1,4625,渡邊 裕貴,7.67,7,01,8,8.25,5,7.75,3,7.25,3,6.75,3,6.25,2,6.00,2
202609172304,2026-09-17,23,04R,10:02,2026-09-17T09:52:25.125279+09:00,18,10,08,06,04,02,01,B1,4995,田邉 亮蔵,2.50,31,00,,5.00,0,4.33,0,3.67,0,3.00,0,2.33,0,2.00,0,A2,4193,郷原 章平,4.00,26,00,,6.00,5,5.33,0,4.67,0,4.00,0,3.33,0,3.00,0,B1,3745,橋本 年光,8.50,8,01,9,9.00,5,8.33,5,7.67,5,7.00,3,6.33,3,6.00,3,A1,4184,渡邊 雄一郎,7.50,11,01,11,8.33,5,7.67,5,7.00,3,6.33,3,5.67,2,5.33,2,B2,5333,山下 智己,1.00,36,00,8,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,A2,3484,芝田 浩治,10.50,1,01,12,10.33,5,9.67,5,9.00,5,8.33,5,7.67,5,7.33,5
202609171405,2026-09-17,14,05R,10:19,2026-09-17T10:10:27.799882+09:00,18,10,08,06,04,02,01,B1,5173,谷口 佳蓮,1.33,41,00,10,3.50,0,3.00,0,2.50,0,2.00,0,1.50,0,1.25,0,A2,3611,岩崎 芳美,6.75,13,01,9,7.40,3,7.00,3,6.60,3,6.20,2,5.80,2,5.60,0,A1,4102,益田 啓司,10.00,1,01,12,10.00,5,9.50,5,9.00,5,8.50,5,8.00,5,7.75,5,B1,5375,庄島 潤成,3.67,33,00,,5.25,0,4.75,0,4.25,0,3.75,0,3.25,0,3.00,0,B1,5039,倉田 茂将,6.67,16,01,11,7.50,5,7.00,3,6.50,3,6.00,2,5.50,2,5.25,0,B1,3722,西村 秀樹,6.67,16,01,,7.50,5,7.00,5,6.50,5,6.00,0,5.50,0,5.25,0
202609172305,2026-09-17,23,05R,10:28,2026-09-17T10:18:24.886679+09:00,18,10,08,06,04,02,01,A2,4086,寺本 重宣,2.00,33,00,12,6.00,3,5.00,2,4.00,2,3.00,2,2.00,0,1.50,0,B1,3784,中島 友和,2.00,33,00,9,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,B1,5131,江藤 敦宏,2.00,33,00,11,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,A1,4877,鈴谷 一平,5.50,20,00,,7.00,5,6.33,5,5.67,0,5.00,0,4.33,0,4.00,0,A2,3158,島川 光男,8.50,8,01,10,9.00,5,8.33,5,7.67,5,7.00,3,6.33,3,6.00,3,B1,3710,吉永 泰弘,6.00,16,01,1,7.33,5,6.67,5,6.00,5,5.33,0,4.67,0,4.33,0
