レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202607162101,2026-07-16,21,01R,08:32,2026-07-16T08:22:21.351055+09:00,3,一周,まわり足,直線,中村 桃佳,37.11,7.99,7.89,眞田 英二,37.84,8.14,8.03,明石 正之,37.6,8.17,7.87,藤田 美代,37.31,8.03,7.86,原田 雄次,37.78,8.22,7.94,宮嵜 隆太郎,38.13,8.3,8.05
202607161801,2026-07-16,18,01R,08:44,2026-07-16T08:34:20.937607+09:00,2,一周,まわり足,,國崎 良春,38.24,11.73,,田村 慶,38.02,11.75,,小林 基樹,38.21,11.88,,吉永 浩則,38.98,11.98,,楠原 正剛,38.19,11.79,,久保 翔耶,38.46,11.97,
202607162102,2026-07-16,21,02R,08:58,2026-07-16T08:48:26.483669+09:00,3,一周,まわり足,直線,松本 博昭,37.27,8.18,7.86,富永 大一,36.97,8.0,7.8,内山 峻輔,37.72,8.35,7.94,河野 大,37.1,8.09,7.92,犬童 千秋,38.13,8.53,7.95,宮田 栞,38.35,8.73,7.82
202607161802,2026-07-16,18,02R,09:10,2026-07-16T09:00:35.839113+09:00,2,一周,まわり足,,大平 誉史明,37.88,11.81,,越智 照浩,38.41,12.1,,野村 誠,38.45,12.24,,小畑 実成,38.69,12.16,,石川 諒,37.94,11.81,,小川 晃司,38.2,12.01,
202607162103,2026-07-16,21,03R,09:24,2026-07-16T09:14:20.708631+09:00,3,一周,まわり足,直線,水摩 敦,37.65,8.12,8.04,永井 聖美,37.46,8.15,7.97,藤原 啓史朗,37.52,7.93,7.95,西原 明生,38.03,8.07,8.07,松尾 祭,37.92,8.13,7.99,岡部 貴司,37.93,8.28,8.0
202607161803,2026-07-16,18,03R,09:39,2026-07-16T09:30:26.343604+09:00,2,一周,まわり足,,渡邉 睦広,37.98,11.71,,井上 慧人,38.51,11.82,,佐々木 和伸,37.88,11.88,,秦 英悟,37.94,11.7,,中岡 駿,38.75,11.89,,丹下 健,38.48,12.04,
202607162104,2026-07-16,21,04R,09:50,2026-07-16T09:40:26.037137+09:00,3,一周,まわり足,直線,田中 信一郎,36.78,7.88,7.87,高橋 英之,37.17,7.94,7.96,樫葉 新心,37.74,8.15,7.88,浜野 孝志,37.39,8.05,7.96,中澤 宏奈,38.08,8.56,7.84,片岡 大地,38.07,8.42,7.89
202607161804,2026-07-16,18,04R,10:05,2026-07-16T09:56:24.582182+09:00,2,一周,まわり足,,藤岡 俊介,37.6,11.81,,東本 勝利,37.81,11.75,,宮地 秀祈,38.57,12.04,,金子 怜央,38.22,11.91,,崎 利仁,38.15,12.02,,坂口 貴彦,38.52,12.07,
202607162105,2026-07-16,21,05R,10:18,2026-07-16T10:08:28.464196+09:00,3,一周,まわり足,直線,寺田 祥,37.23,7.96,7.98,土山 卓也,37.68,8.29,7.86,國分 将太郎,37.27,8.08,7.94,金子 順一,37.96,8.45,8.0,眞田 英二,38.21,8.43,8.03,森定 晃史,38.07,8.45,8.01
202607161805,2026-07-16,18,05R,10:33,2026-07-16T10:24:24.686809+09:00,2,一周,まわり足,,石塚 久也,38.39,12.17,,長畑 友輔,38.4,12.04,,久永 祥平,39.39,12.45,,林 恵祐,39.1,12.17,,今井 貴士,38.36,11.81,,出口 飛龍,38.76,12.3,
202607161301,2026-07-16,13,01R,10:37,2026-07-16T10:28:29.779055+09:00,2,一周,まわり足,,坂 咲友理,37.38,11.27,,池田 浩美,38.36,11.69,,筒井 美琴,38.47,11.82,,薗頭 心,38.39,11.7,,高田 ひかる,37.76,11.64,,登 みひ果,38.18,11.86,
202607160801,2026-07-16,08,01R,10:41,2026-07-16T10:32:25.477031+09:00,3,一周,まわり足,直線,三苫 晃幸,37.37,5.46,7.31,齋藤 和政,38.28,5.62,7.3,黒田 誠司,38.2,5.76,7.38,木下 陽介,37.96,5.56,7.37,土性 雅也,38.34,5.62,7.36,上田 洋平,37.88,5.56,7.3
