レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連単_1-2-3,3連単_1-2-4,3連単_1-2-5,3連単_1-2-6,3連単_1-3-2,3連単_1-3-4,3連単_1-3-5,3連単_1-3-6,3連単_1-4-2,3連単_1-4-3,3連単_1-4-5,3連単_1-4-6,3連単_1-5-2,3連単_1-5-3,3連単_1-5-4,3連単_1-5-6,3連単_1-6-2,3連単_1-6-3,3連単_1-6-4,3連単_1-6-5,3連単_2-1-3,3連単_2-1-4,3連単_2-1-5,3連単_2-1-6,3連単_2-3-1,3連単_2-3-4,3連単_2-3-5,3連単_2-3-6,3連単_2-4-1,3連単_2-4-3,3連単_2-4-5,3連単_2-4-6,3連単_2-5-1,3連単_2-5-3,3連単_2-5-4,3連単_2-5-6,3連単_2-6-1,3連単_2-6-3,3連単_2-6-4,3連単_2-6-5,3連単_3-1-2,3連単_3-1-4,3連単_3-1-5,3連単_3-1-6,3連単_3-2-1,3連単_3-2-4,3連単_3-2-5,3連単_3-2-6,3連単_3-4-1,3連単_3-4-2,3連単_3-4-5,3連単_3-4-6,3連単_3-5-1,3連単_3-5-2,3連単_3-5-4,3連単_3-5-6,3連単_3-6-1,3連単_3-6-2,3連単_3-6-4,3連単_3-6-5,3連単_4-1-2,3連単_4-1-3,3連単_4-1-5,3連単_4-1-6,3連単_4-2-1,3連単_4-2-3,3連単_4-2-5,3連単_4-2-6,3連単_4-3-1,3連単_4-3-2,3連単_4-3-5,3連単_4-3-6,3連単_4-5-1,3連単_4-5-2,3連単_4-5-3,3連単_4-5-6,3連単_4-6-1,3連単_4-6-2,3連単_4-6-3,3連単_4-6-5,3連単_5-1-2,3連単_5-1-3,3連単_5-1-4,3連単_5-1-6,3連単_5-2-1,3連単_5-2-3,3連単_5-2-4,3連単_5-2-6,3連単_5-3-1,3連単_5-3-2,3連単_5-3-4,3連単_5-3-6,3連単_5-4-1,3連単_5-4-2,3連単_5-4-3,3連単_5-4-6,3連単_5-6-1,3連単_5-6-2,3連単_5-6-3,3連単_5-6-4,3連単_6-1-2,3連単_6-1-3,3連単_6-1-4,3連単_6-1-5,3連単_6-2-1,3連単_6-2-3,3連単_6-2-4,3連単_6-2-5,3連単_6-3-1,3連単_6-3-2,3連単_6-3-4,3連単_6-3-5,3連単_6-4-1,3連単_6-4-2,3連単_6-4-3,3連単_6-4-5,3連単_6-5-1,3連単_6-5-2,3連単_6-5-3,3連単_6-5-4
202608242101,2026-08-24,21,01R,08:32,2026-08-24T08:23:35.654327+09:00,13.7,29.2,24.0,48.6,11.1,9.1,7.2,17.2,32.2,21.1,28.9,53.7,28.2,16.2,40.8,37.5,102.0,66.6,92.7,72.0,115.3,259.0,137.3,343.2,156.0,289.0,450.2,762.8,392.3,722.7,858.2,1307,193.4,572.1,980.8,784.6,638.6,1373,1307,1445,47.0,36.3,24.7,44.5,112.5,308.5,245.2,315.6,77.1,238.8,139.4,93.7,58.3,192.0,144.5,146.8,144.5,339.0,126.5,266.6,204.9,127.7,138.0,240.9,473.5,784.6,560.4,858.2,181.8,572.1,221.4,376.2,192.0,518.1,280.2,366.1,356.6,638.6,473.5,784.6,178.3,103.6,209.6,289.0,301.7,490.4,518.1,624.1,133.3,371.1,409.9,442.9,271.9,784.6,398.0,686.5,442.9,980.8,638.6,885.9,343.2,308.5,305.1,381.4,549.2,1248,1307,1445,371.1,885.9,490.4,762.8,508.5,980.8,624.1,1525,528.1,2112,1098,832.2
202608241801,2026-08-24,18,01R,08:40,2026-08-24T08:30:31.708982+09:00,8.2,14.5,15.0,54.8,11.2,11.8,10.5,61.0,21.4,20.9,17.1,59.1,19.6,18.9,25.8,42.4,139.2,173.1,176.2,96.2,69.3,106.5,90.5,276.6,128.5,262.0,316.1,905.3,193.3,258.6,423.7,829.9,152.0,375.8,398.3,585.8,585.8,905.3,995.8,1048,65.5,73.2,62.0,205.3,133.6,201.1,248.9,331.9,154.4,284.5,326.5,585.8,126.8,297.2,362.1,510.7,711.3,948.4,1171,948.4,115.8,122.1,75.1,207.4,205.3,355.6,343.4,452.6,167.3,301.7,337.5,642.5,119.9,245.8,343.4,248.9,497.9,569.0,1048,766.0,77.2,73.7,86.9,86.9,154.4,331.9,248.9,497.9,119.9,383.0,337.5,663.9,129.3,262.0,292.9,423.7,193.3,737.6,585.8,642.5,362.1,553.2,766.0,288.6,642.5,1659,948.4,1244,1106,1244,1244,1171,1810,1327,1991,2489,306.4,1171,1244,711.3
202608241001,2026-08-24,10,01R,08:48,2026-08-24T08:38:29.318269+09:00,15.0,28.8,4.5,12.9,38.9,60.4,32.9,78.5,88.5,86.1,73.6,135.1,6.2,22.2,37.1,11.2,39.1,88.7,103.4,34.3,90.2,160.3,31.9,65.2,195.6,456.4,410.7,568.1,476.8,586.8,741.7,809.1,68.5,368.2,441.3,151.7,214.4,834.4,875.4,271.0,198.5,260.5,139.4,358.4,254.3,333.7,329.6,464.3,593.3,534.0,875.4,1026,230.1,452.5,620.9,580.4,834.4,988.9,1241,970.9,312.2,358.4,253.0,342.3,389.8,452.5,489.9,472.5,752.1,847.6,834.4,1271,329.6,499.0,539.4,441.3,762.9,1026,1271,1047,24.8,109.6,164.8,41.0,47.4,296.6,285.5,85.0,246.0,448.7,741.7,741.7,368.2,752.1,953.6,752.1,68.2,87.6,456.4,528.7,230.1,988.9,834.4,173.9,290.2,1405,970.9,398.5,821.5,1443,1841,1668,1271,1241,2427,1618,188.0,184.1,1241,1241
202608242102,2026-08-24,21,02R,08:58,2026-08-24T08:48:22.334014+09:00,29.0,28.9,89.7,88.2,30.6,6.4,35.5,66.1,28.6,5.8,15.1,46.4,85.4,55.7,43.7,160.4,147.1,126.0,115.1,211.8,115.1,112.6,147.1,330.9,189.1,407.3,278.7,588.4,143.1,311.5,588.4,353.0,230.2,1323,481.4,529.5,481.4,882.6,661.9,588.4,94.5,24.9,44.8,99.9,203.6,110.3,165.4,135.7,33.0,120.3,89.7,103.8,89.7,240.7,151.3,378.2,230.2,330.9,170.8,529.5,82.7,21.4,35.5,66.1,155.7,294.2,120.3,132.3,35.0,147.1,71.5,94.5,70.6,196.1,120.3,170.8,126.0,170.8,147.1,294.2,294.2,143.1,94.5,378.2,353.0,441.3,147.1,278.7,278.7,353.0,378.2,756.5,139.3,481.4,378.2,756.5,529.5,378.2,661.9,1765,588.4,330.9,588.4,1765,661.9,882.6,661.9,278.7,882.6,882.6,353.0,378.2,756.5,441.3,294.2,1323,882.6,407.3,1765,661.9
202608241802,2026-08-24,18,02R,09:06,2026-08-24T08:56:25.615138+09:00,8.5,7.9,14.0,43.2,22.6,27.4,35.6,112.7,11.7,24.3,22.5,62.6,32.9,43.2,40.7,122.1,172.4,221.2,186.0,300.6,39.4,31.8,35.2,141.2,100.2,186.0,120.8,239.2,57.4,137.9,130.2,205.6,70.6,126.0,146.5,213.1,344.8,509.7,450.9,344.8,99.3,84.9,89.4,198.7,192.1,177.6,162.8,189.0,202.1,316.8,279.1,434.2,154.2,167.4,195.4,249.4,732.7,532.9,488.5,532.9,40.1,101.9,53.2,101.0,64.4,239.2,99.3,160.6,202.1,325.6,234.4,418.7,92.3,127.4,195.4,137.9,260.5,285.9,450.9,293.1,86.8,148.4,102.8,249.4,120.8,192.1,131.7,160.6,418.7,279.1,316.8,239.2,169.9,244.2,293.1,378.1,689.6,390.8,617.0,901.8,325.6,1172,651.3,837.4,434.2,488.5,366.3,404.2,1954,689.6,1172,732.7,1465,781.6,901.8,651.3,977.0,558.2,837.4,651.3
202608241002,2026-08-24,10,02R,09:14,2026-08-24T09:04:26.013870+09:00,30.9,9.4,19.0,111.6,71.0,76.5,108.4,311.0,19.2,67.5,31.4,140.5,49.2,117.1,57.6,403.7,296.4,474.3,345.0,403.7,47.7,10.3,18.0,223.2,132.6,99.8,136.5,395.3,13.4,59.8,11.8,197.6,40.2,131.7,25.5,296.4,462.8,632.5,575.0,729.8,175.7,102.5,141.6,283.2,213.2,102.0,158.1,228.6,223.2,186.0,351.4,654.3,267.2,182.4,291.9,421.6,558.1,542.1,654.3,1116,25.4,126.5,39.9,291.9,23.7,110.9,23.6,246.4,213.2,180.7,256.4,790.6,44.2,30.5,184.2,275.0,451.8,451.8,759.0,948.7,109.0,263.5,112.9,474.3,115.7,234.2,57.5,558.1,462.8,283.2,486.5,1116,124.8,72.7,592.9,575.0,612.1,998.7,790.6,948.7,790.6,1116,575.0,1185,903.6,998.7,499.3,1116,998.7,1054,1185,2108,825.0,702.8,1185,1581,499.3,1725,1581,1185
202608242103,2026-08-24,21,03R,09:24,2026-08-24T09:14:26.413326+09:00,17.6,32.5,25.4,68.2,11.5,21.9,5.7,64.7,73.7,42.8,41.4,119.6,23.0,11.3,31.7,107.5,134.9,158.5,198.2,151.0,58.7,166.9,78.3,396.4,134.9,275.8,186.5,634.3,234.9,528.6,396.4,234.9,264.3,528.6,373.1,634.3,396.4,704.8,333.8,634.3,37.5,37.3,16.3,109.3,83.4,124.3,115.3,124.3,111.2,162.6,162.6,352.4,32.3,115.3,113.2,264.3,264.3,396.4,487.9,422.9,158.5,147.5,115.3,253.7,396.4,396.4,264.3,171.4,162.6,317.1,121.9,422.9,144.1,396.4,243.9,373.1,275.8,204.6,487.9,1057,97.5,37.0,84.5,176.2,137.9,198.2,109.3,226.5,47.3,140.9,211.4,226.5,147.5,253.7,302.0,704.8,333.8,422.9,302.0,1057,704.8,333.8,487.9,333.8,906.2,906.2,302.0,704.8,528.6,1268,1585,288.3,1057,253.7,1057,1057,528.6,1057,487.9,576.6
202608241803,2026-08-24,18,03R,09:32,2026-08-24T09:22:24.996797+09:00,19.7,45.4,72.2,36.2,30.2,28.6,15.7,8.7,80.7,51.6,74.1,42.4,78.4,26.1,70.7,32.2,49.7,12.6,48.6,36.3,77.8,165.1,117.2,119.8,114.7,247.7,136.2,178.7,302.8,495.5,545.1,403.8,237.0,209.6,474.0,253.5,187.9,389.3,389.3,363.4,90.1,62.3,35.2,26.4,184.7,205.7,128.2,121.1,165.1,403.8,311.5,153.5,85.8,178.7,201.9,82.5,42.7,184.7,149.3,105.8,279.5,149.3,162.7,100.9,302.8,573.8,681.4,302.8,205.7,605.7,389.3,265.9,302.8,641.3,375.9,272.5,160.3,259.5,209.6,330.3,184.7,63.7,160.3,91.6,436.1,227.1,265.9,272.5,115.9,265.9,454.2,129.7,265.9,545.1,495.5,419.3,121.1,213.7,158.0,351.7,91.6,32.0,64.5,88.6,141.5,231.9,351.7,474.0,42.2,247.7,178.7,162.7,155.7,454.2,222.5,363.4,131.3,403.8,181.7,272.5
202608241003,2026-08-24,10,03R,09:40,2026-08-24T09:30:28.229095+09:00,18.0,8.9,134.9,62.9,22.5,11.8,138.7,59.5,6.5,7.4,80.9,16.6,260.9,246.3,262.9,597.1,159.4,214.8,91.0,463.5,88.7,52.3,244.6,227.2,144.3,119.8,414.4,503.2,66.7,144.9,503.2,260.9,597.1,525.8,664.7,629.1,391.4,733.9,568.2,1409,89.6,41.0,176.1,174.4,157.9,89.8,273.1,275.2,53.5,110.0,525.8,190.4,374.7,314.5,496.2,690.7,568.2,618.0,496.2,782.9,13.5,16.1,125.3,29.8,34.4,64.5,268.9,99.5,38.7,71.4,326.2,158.6,366.9,533.7,568.2,374.7,86.1,158.6,195.7,496.2,640.5,457.5,363.2,819.3,1006,542.0,338.7,800.6,838.8,677.5,978.6,1409,733.9,1100,1304,1006,1136,1531,1006,1100,457.5,765.8,259.0,1214,765.8,1100,482.6,1677,903.3,1036,1214,2072,273.1,597.1,704.6,1409,718.9,1761,1761,1136
202608242104,2026-08-24,21,04R,09:50,2026-08-24T09:40:25.831124+09:00,29.2,24.2,53.3,107.9,22.4,6.9,18.6,91.5,18.3,6.9,9.7,84.2,61.0,40.1,28.2,187.1,171.9,263.2,227.6,227.6,94.6,153.1,205.4,561.5,240.6,240.6,300.8,842.3,195.8,421.1,382.8,323.9,401.1,647.9,336.9,701.9,765.7,1052,443.3,842.3,112.3,38.2,69.6,187.1,290.4,165.1,227.6,153.1,79.4,187.1,165.1,323.9,105.2,323.9,233.9,765.7,467.9,701.9,647.9,1684,49.5,22.5,19.8,118.6,158.9,142.7,153.1,175.4,58.9,165.1,81.7,401.1,39.7,120.3,78.7,155.9,280.7,221.6,467.9,421.1,195.8,122.0,63.3,179.2,366.2,467.9,150.4,323.9,200.5,366.2,240.6,842.3,74.5,200.5,168.4,421.1,601.6,601.6,1052,765.7,647.9,495.4,561.5,701.9,1052,1403,443.3,842.3,842.3,1052,842.3,601.6,935.9,323.9,935.9,935.9,935.9,1403,1403,701.9
