レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連単_1-2-3,3連単_1-2-4,3連単_1-2-5,3連単_1-2-6,3連単_1-3-2,3連単_1-3-4,3連単_1-3-5,3連単_1-3-6,3連単_1-4-2,3連単_1-4-3,3連単_1-4-5,3連単_1-4-6,3連単_1-5-2,3連単_1-5-3,3連単_1-5-4,3連単_1-5-6,3連単_1-6-2,3連単_1-6-3,3連単_1-6-4,3連単_1-6-5,3連単_2-1-3,3連単_2-1-4,3連単_2-1-5,3連単_2-1-6,3連単_2-3-1,3連単_2-3-4,3連単_2-3-5,3連単_2-3-6,3連単_2-4-1,3連単_2-4-3,3連単_2-4-5,3連単_2-4-6,3連単_2-5-1,3連単_2-5-3,3連単_2-5-4,3連単_2-5-6,3連単_2-6-1,3連単_2-6-3,3連単_2-6-4,3連単_2-6-5,3連単_3-1-2,3連単_3-1-4,3連単_3-1-5,3連単_3-1-6,3連単_3-2-1,3連単_3-2-4,3連単_3-2-5,3連単_3-2-6,3連単_3-4-1,3連単_3-4-2,3連単_3-4-5,3連単_3-4-6,3連単_3-5-1,3連単_3-5-2,3連単_3-5-4,3連単_3-5-6,3連単_3-6-1,3連単_3-6-2,3連単_3-6-4,3連単_3-6-5,3連単_4-1-2,3連単_4-1-3,3連単_4-1-5,3連単_4-1-6,3連単_4-2-1,3連単_4-2-3,3連単_4-2-5,3連単_4-2-6,3連単_4-3-1,3連単_4-3-2,3連単_4-3-5,3連単_4-3-6,3連単_4-5-1,3連単_4-5-2,3連単_4-5-3,3連単_4-5-6,3連単_4-6-1,3連単_4-6-2,3連単_4-6-3,3連単_4-6-5,3連単_5-1-2,3連単_5-1-3,3連単_5-1-4,3連単_5-1-6,3連単_5-2-1,3連単_5-2-3,3連単_5-2-4,3連単_5-2-6,3連単_5-3-1,3連単_5-3-2,3連単_5-3-4,3連単_5-3-6,3連単_5-4-1,3連単_5-4-2,3連単_5-4-3,3連単_5-4-6,3連単_5-6-1,3連単_5-6-2,3連単_5-6-3,3連単_5-6-4,3連単_6-1-2,3連単_6-1-3,3連単_6-1-4,3連単_6-1-5,3連単_6-2-1,3連単_6-2-3,3連単_6-2-4,3連単_6-2-5,3連単_6-3-1,3連単_6-3-2,3連単_6-3-4,3連単_6-3-5,3連単_6-4-1,3連単_6-4-2,3連単_6-4-3,3連単_6-4-5,3連単_6-5-1,3連単_6-5-2,3連単_6-5-3,3連単_6-5-4
202608171001,2026-08-17,10,01R,08:32,2026-08-17T08:22:24.641512+09:00,10.1,17.9,45.4,376.1,7.6,4.9,13.6,143.9,21.9,12.5,38.7,231.2,85.7,48.1,91.2,391.7,854.7,641.0,940.2,705.1,72.1,108.0,189.3,762.3,119.0,200.0,397.2,1880,249.6,268.6,783.5,3525,276.5,613.2,723.2,1659,2350,2820,3525,2350,22.7,13.1,27.1,243.1,58.8,85.9,179.6,972.6,25.8,69.9,77.0,600.1,77.2,210.5,146.9,762.3,522.3,1659,1282,1484,76.6,36.5,81.9,532.2,155.8,186.8,309.9,1282,49.1,130.5,126.4,503.7,158.4,361.6,194.5,940.2,1567,2014,1484,1484,233.1,143.1,235.0,1128,335.8,427.3,854.7,1659,186.8,433.9,371.1,1175,376.1,805.9,381.1,1567,1880,4029,1659,3525,1226,1567,1567,1128,2350,3134,2169,4029,2350,3134,2564,2350,2820,3134,2564,5641,1282,2564,2014,4701
202608171401,2026-08-17,14,01R,08:40,2026-08-17T08:31:01.702708+09:00,6.6,4.9,19.4,94.1,12.8,13.4,29.9,115.2,8.5,12.2,16.2,75.1,33.5,49.1,31.3,155.1,187.4,220.0,209.3,203.4,58.9,49.7,145.6,365.4,114.0,222.2,385.0,616.0,98.0,224.5,385.0,898.3,242.2,468.7,598.9,718.7,718.7,1078,898.3,770.0,79.5,77.8,105.1,490.0,118.4,236.9,291.3,770.0,163.3,259.7,392.0,862.4,247.8,371.7,718.7,898.3,1347,1268,1078,1540,44.9,75.3,59.3,303.6,105.6,231.8,385.0,695.5,168.4,266.1,414.6,829.2,82.9,331.7,347.7,616.0,501.4,616.0,634.1,829.2,144.7,236.9,179.6,567.3,259.7,582.7,695.5,1197,378.2,862.4,1197,1658,287.4,770.0,937.4,1540,1540,1078,1268,3080,798.5,1347,582.7,1268,1347,2395,1658,2156,1658,1796,1197,1197,743.4,1658,1960,1796,1268,2156,1796,3080
202608171801,2026-08-17,18,01R,08:48,2026-08-17T08:38:26.683514+09:00,3.8,47.5,7.7,21.2,9.3,87.4,14.6,38.7,122.7,203.8,180.6,224.3,12.8,23.6,138.8,28.7,54.1,88.5,236.3,57.7,28.6,176.3,28.1,58.1,86.4,528.9,105.2,270.9,389.7,600.4,584.6,716.6,53.0,160.9,793.3,120.7,131.4,370.2,854.4,152.1,60.0,304.3,68.9,176.3,94.9,528.9,183.5,317.3,854.4,793.3,1708,2019,141.4,200.1,854.4,427.2,493.6,716.6,1851,653.3,317.3,634.7,766.0,766.0,793.3,1057,1851,1586,1009,1110,1234,2221,888.6,1388,1009,1586,1708,1388,3173,2468,39.8,82.8,462.8,83.2,71.4,154.2,694.2,168.2,157.5,213.6,854.4,403.9,716.6,1851,2019,2221,147.1,203.8,389.7,1306,231.4,444.3,694.2,284.8,326.6,822.7,1481,411.3,1009,965.8,2019,1234,1586,3173,3702,1851,304.3,435.5,716.6,4443
202608171002,2026-08-17,10,02R,08:58,2026-08-17T08:48:34.487891+09:00,13.3,6.5,16.9,13.1,39.5,44.0,81.7,115.8,18.2,37.1,62.1,39.3,58.7,111.5,189.4,175.5,46.6,165.7,103.7,186.4,23.4,10.4,31.0,16.4,91.8,131.1,234.0,172.9,32.8,108.4,97.8,49.1,131.1,284.1,234.0,271.2,68.1,180.8,97.0,221.0,124.3,106.5,115.8,351.0,168.0,131.1,271.2,277.5,265.2,209.3,568.3,628.1,198.9,397.8,596.7,795.6,918.0,351.0,442.0,1326,39.0,87.7,131.1,89.0,67.0,165.7,137.1,104.6,265.2,259.4,384.9,459.0,192.4,168.0,340.9,277.5,248.6,163.4,663.0,372.9,170.4,298.3,180.8,397.8,234.0,306.0,372.9,459.0,426.2,384.9,1326,1326,314.0,298.3,568.3,397.8,852.4,497.2,1193,663.0,109.4,745.9,361.6,745.9,118.1,442.0,314.0,477.3,1704,702.0,1326,2386,372.9,253.9,1084,795.6,568.3,1084,1989,1491
202608171402,2026-08-17,14,02R,09:06,2026-08-17T08:56:21.122002+09:00,13.6,16.6,28.5,11.4,18.6,20.1,40.5,20.5,23.4,25.1,39.4,21.4,47.9,47.6,67.8,65.4,25.7,37.5,33.9,70.4,66.0,77.9,126.3,85.2,112.7,305.4,236.4,293.2,138.3,305.4,349.0,563.8,155.9,162.9,385.8,366.5,138.3,333.2,366.5,458.1,80.5,49.5,46.3,124.2,128.6,166.6,90.5,192.9,81.4,198.1,385.8,261.8,63.1,124.2,293.2,281.9,203.6,244.3,229.0,563.8,75.5,62.6,88.3,116.3,162.9,209.4,261.8,187.9,80.5,222.1,349.0,209.4,114.5,198.1,222.1,229.0,183.2,159.3,222.1,488.7,146.6,71.8,120.1,215.6,215.6,192.9,523.6,333.2,89.3,229.0,488.7,733.0,138.3,488.7,458.1,458.1,385.8,305.4,407.2,814.5,120.1,138.3,203.6,349.0,162.9,318.7,271.5,431.2,229.0,610.8,563.8,916.3,349.0,431.2,349.0,916.3,458.1,349.0,1047,1832
202608171802,2026-08-17,18,02R,09:14,2026-08-17T09:04:38.810305+09:00,9.3,21.2,78.2,40.8,14.1,6.2,43.6,21.0,18.1,14.8,53.6,16.8,62.6,87.3,163.3,153.3,62.1,63.6,53.2,147.3,81.6,50.4,242.4,174.7,95.1,501.0,326.7,313.1,129.5,395.5,289.0,442.0,156.5,395.5,375.7,375.7,417.5,578.0,442.0,417.5,57.8,29.8,64.2,43.9,125.2,125.2,250.5,192.6,47.8,100.2,156.5,51.4,214.7,357.8,395.5,835.0,89.4,417.5,97.5,501.0,61.0,45.2,174.7,48.4,136.6,357.8,469.6,300.6,55.2,167.0,234.8,83.5,250.5,341.5,341.5,326.7,88.4,156.5,105.8,417.5,221.0,313.1,683.1,536.7,268.3,341.5,1252,835.0,313.1,469.6,536.7,1252,417.5,1073,1503,939.3,536.7,501.0,939.3,939.3,375.7,375.7,242.4,1503,501.0,626.2,578.0,835.0,395.5,1073,683.1,939.3,375.7,395.5,536.7,1252,536.7,1073,1252,1878
202608171003,2026-08-17,10,03R,09:24,2026-08-17T09:14:26.323035+09:00,11.2,24.8,17.7,100.2,8.6,21.4,12.3,173.8,40.7,55.2,64.2,422.3,26.0,27.2,105.5,328.4,100.2,268.7,454.7,347.7,37.1,55.2,48.0,118.2,41.9,86.9,53.2,454.7,90.9,137.4,105.5,844.6,55.2,67.9,115.9,328.4,591.2,985.3,985.3,985.3,31.2,36.2,25.0,190.7,47.2,48.4,46.1,281.5,93.8,78.8,113.6,492.6,44.7,52.7,113.6,246.3,656.9,311.1,394.1,236.4,98.5,101.9,134.3,537.4,190.7,134.3,147.8,257.0,131.3,147.8,151.5,537.4,155.5,140.7,137.4,246.3,656.9,268.7,985.3,2956,68.7,76.7,125.7,537.4,109.4,77.7,173.8,454.7,78.8,83.2,227.3,656.9,236.4,268.7,281.5,844.6,985.3,537.4,656.9,1182,844.6,844.6,1182,985.3,985.3,656.9,1182,1182,1478,844.6,985.3,1182,1970,985.3,1182,1478,985.3,1182,1182,2956
202608171403,2026-08-17,14,03R,09:32,2026-08-17T09:22:23.840753+09:00,10.0,34.2,42.8,13.2,11.7,34.5,45.4,10.4,71.2,90.8,132.8,66.4,63.3,99.0,184.6,73.6,19.9,18.4,65.2,67.6,52.6,117.1,84.4,48.6,66.0,247.6,242.1,76.7,175.7,340.5,403.5,419.0,100.8,253.3,473.7,375.7,97.2,114.6,294.4,363.2,51.8,74.1,68.1,36.4,74.1,141.5,99.9,82.5,205.5,259.4,403.5,205.5,145.2,149.2,363.2,110.0,62.6,90.0,184.6,121.0,162.6,222.3,155.6,253.3,247.6,302.6,340.5,194.5,227.0,320.4,389.1,231.8,198.1,265.7,320.4,279.3,253.3,236.8,320.4,573.4,112.3,236.8,213.6,129.7,111.1,279.3,778.2,473.7,272.4,302.6,681.0,139.6,217.9,640.9,640.9,573.4,141.5,311.3,134.5,544.8,50.2,51.1,198.1,106.8,89.3,121.0,340.5,403.5,71.6,132.8,375.7,389.1,363.2,518.8,640.9,605.3,134.5,294.4,454.0,681.0
202608171803,2026-08-17,18,03R,09:40,2026-08-17T09:30:36.252508+09:00,10.2,7.9,39.8,283.7,20.0,9.2,33.2,223.1,6.8,7.2,12.3,161.4,68.0,64.8,47.5,367.7,245.1,551.6,431.7,827.4,103.9,61.8,233.6,992.9,218.2,472.8,661.9,1527,110.3,509.2,315.2,1654,320.3,1045,763.8,1168,2482,2837,1985,2206,142.8,60.1,133.2,735.5,268.3,389.3,441.3,1527,89.8,239.2,200.5,902.6,354.6,551.6,461.8,1805,1045,1527,1418,2482,21.7,20.9,22.5,218.2,63.4,160.1,141.8,551.6,55.9,149.3,116.8,863.4,43.0,92.3,86.3,330.9,945.6,1323,827.4,601.7,251.3,283.7,116.8,945.6,367.7,536.7,735.5,1418,405.2,709.2,484.3,1418,114.1,472.8,315.2,992.9,1654,1418,1654,1045,1654,1805,2482,3309,2206,2482,2837,2482,2837,2206,1805,2482,4964,1985,1654,2482,1418,2837,2206,2206
202608171004,2026-08-17,10,04R,09:50,2026-08-17T09:40:42.383504+09:00,23.1,40.9,51.6,44.9,21.4,9.3,11.1,11.4,52.5,23.0,67.8,55.1,41.4,28.9,118.3,52.9,42.5,23.7,70.0,53.8,108.5,100.1,141.5,130.2,122.8,197.2,210.0,295.9,191.4,325.5,361.7,465.0,86.8,241.1,342.6,224.5,310.0,434.0,542.5,465.0,73.1,24.6,21.9,31.3,191.4,65.1,118.3,203.4,110.3,125.2,203.4,155.0,68.5,138.5,232.5,141.5,67.1,130.2,135.6,186.0,141.5,122.8,155.0,241.1,295.9,232.5,217.0,271.2,138.5,325.5,210.0,241.1,241.1,283.0,241.1,224.5,406.9,232.5,434.0,930.1,120.5,87.9,151.4,147.9,180.8,151.4,930.1,406.9,130.2,191.4,465.0,310.0,406.9,813.8,651.0,500.8,217.0,342.6,271.2,723.4,191.4,68.5,260.4,162.7,542.5,542.5,651.0,500.8,101.7,406.9,250.4,232.5,342.6,651.0,542.5,723.4,250.4,651.0,283.0,651.0
