場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
05,2026-07-16,11,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,杢野 誓良,４　６６６　１３３
05,2026-07-16,11,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,川原 涼,６　５６５　２　１１
05,2026-07-16,11,2026-06-07,2026-06-11,一般,ボートレース多摩川バースデイカップ,林 祐介,５　６欠
05,2026-07-16,12,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,一瀬 明,１３４１１３６３１２
05,2026-07-16,12,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,佐藤 航,３１３２６　６６
05,2026-07-16,12,2026-06-07,2026-06-11,一般,ボートレース多摩川バースデイカップ,澁澤 周羽,６　６６転　４　３５
05,2026-07-16,13,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,宇佐見 淳,３５３４２　３　３３
05,2026-07-16,13,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,鈴谷 一平,５　２４１２１３２５２６
05,2026-07-16,13,2026-06-07,2026-06-11,一般,ボートレース多摩川バースデイカップ,大場 恒季,３５４２２１２１[６]
05,2026-07-16,14,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,大平 誉史明,２３欠欠
05,2026-07-16,14,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,杉山 貴博,１２５３２１４２[２]
05,2026-07-16,14,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,柳内 敬太,３２１　１３５　２２[３]
05,2026-07-16,15,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,渡邉 健,１　４６５　３３６６
05,2026-07-16,15,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,角山 雄哉,６４５　１　３１２５
05,2026-07-16,15,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,乙津 康志,４　１５５３６　４　６５
05,2026-07-16,16,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,谷本 幸司,５　２２５５５　３５
05,2026-07-16,16,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,伊藤 雄二,６　４　４４６６５
05,2026-07-16,16,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,安藤 裕貴,２３５　４６２　５４１
05,2026-07-16,17,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,泉 啓文,１　１２５　６６６４
05,2026-07-16,17,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,樋口 範政,１　４５２　４３１３４４
05,2026-07-16,17,2026-05-30,2026-06-04,ＧⅢ,オールレディースリップルカップ,福島 陽子,２　４５５　１３５３３
05,2026-07-16,18,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,川崎 智幸,３５３　４２１　２１
05,2026-07-16,18,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,小原 聡将,２４３１５　３４１　３１
05,2026-07-16,18,2026-06-07,2026-06-11,一般,ボートレース多摩川バースデイカップ,木村 亮太,４４４　２３１　１２
05,2026-07-16,19,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,永井 亮次,４２転　２１２　３６
05,2026-07-16,19,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,寺本 重宣,５１３１２１４４３３
05,2026-07-16,19,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,早川 颯太,６　４　５５５５６
05,2026-07-16,20,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,入海 馨,１２４２４　２２[３]
05,2026-07-16,20,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,市川 美宏,５　６１３　２２３６
05,2026-07-16,20,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,板橋 侑我,６４２１３　１１３２[２]
05,2026-07-16,21,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,桑原 将光,５　３３５３３　４１
05,2026-07-16,21,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,吉川 喜継,２２６２２１２２[５]
05,2026-07-16,21,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,間野 兼礼,３　５３４　１３１４５２
05,2026-07-16,22,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,加藤 優弥,５沈５４４　５　６
05,2026-07-16,22,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,繁野谷 圭介,１　２５２４４３２４
05,2026-07-16,22,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,小林 泰,４１２　１３２　３４４３
05,2026-07-16,23,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,山崎 聖司,５　１６６　６３３
05,2026-07-16,23,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,稲田 浩二,４２５欠
05,2026-07-16,23,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,小森 信雄,６　５　５４３１２２
05,2026-07-16,24,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,村上 宗太郎,５３６　３５４　５
05,2026-07-16,24,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,富山 弘幸,３５５　１６２　１５
05,2026-07-16,24,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,大町 利克,６５６　６　６５５　４
05,2026-07-16,25,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,山地 正樹,６６２　３３４　２４
05,2026-07-16,25,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,安藤 瑠希,３６６　３５６　６　４
05,2026-07-16,25,2026-05-30,2026-06-04,ＧⅢ,オールレディースリップルカップ,武井 莉里佳,２１３　２４５６１６６５
05,2026-07-16,26,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,土井 祥伍,３　２　４４４６４２
05,2026-07-16,26,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,鰐部 太空海,３５３５落欠
05,2026-07-16,26,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,鹿島 敏弘,３　６５２５６　４　５３
05,2026-07-16,27,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,品田 直樹,１　６３３５２５５６
05,2026-07-16,27,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,宮村 勇哉,２６３　１　３５４２
05,2026-07-16,27,2026-06-07,2026-06-11,一般,ボートレース多摩川バースデイカップ,岩崎 麗子,５　２４５　２１２４
05,2026-07-16,28,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,谷口 健一,６　６　６３１４３６
05,2026-07-16,28,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,黄金井 力良,６５３　１６３　３１
05,2026-07-16,28,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,渥美 卓郎,５　１５６　１４２５４
05,2026-07-16,29,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,間嶋 仁志,５６５　４３５　２２
05,2026-07-16,29,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,堂原 洋史,５　２６４　４６６５
05,2026-07-16,29,2026-06-07,2026-06-11,一般,ボートレース多摩川バースデイカップ,守屋 大地,５１６　４６３　５
05,2026-07-16,30,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,村上 功祐,１２２５５　４５２１
05,2026-07-16,30,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,加藤 高史,５　２５３６４　５４
05,2026-07-16,30,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,仲 航太,１　３５５４３　２１３５
05,2026-07-16,31,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,南野 利騰,６　１２不　１４２１
05,2026-07-16,31,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,松竹 大輔,４６１　１１２４５１
05,2026-07-16,31,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,金子 賢志,３６１　１１３２４５１１
05,2026-07-16,32,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,岩橋 裕馬,４　５１５　５１１１
05,2026-07-16,32,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,濱野谷 憲吾,２１１３２２６１[１]
05,2026-07-16,32,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,庄司 孝輔,１５４　１１２　１１[５]
05,2026-07-16,33,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,吉田 彩乃,６　５６４　３６５
05,2026-07-16,33,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,戸塚 邦好,４３２１３３４４３６
05,2026-07-16,33,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,一柳 和孝,６　４４２６５　２　５４
05,2026-07-16,34,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,上條 嘉嗣,２２５３３２１４５６
05,2026-07-16,34,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,岩瀬 裕亮,１４１１４２２５２２
05,2026-07-16,34,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,折下 寛法,４　１２５　２６１５３３
05,2026-07-16,35,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,中井 俊祐,６　４６６
05,2026-07-16,35,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,中野 夢斗,４４４　２４４　５３
05,2026-07-16,35,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,上野 拓馬,４　４２６　１５３４
05,2026-07-16,36,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,藤本 元輝,１　５　５２４４４２
05,2026-07-16,36,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,長野 道臣,６５５　１２６　３４
05,2026-07-16,36,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,塚越 海斗,３６１２６２３　１４４２
05,2026-07-16,37,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,酒井 陽祐,５３５　２　２５４２
05,2026-07-16,37,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,岩川 仁士,５２４　２１５６１５
05,2026-07-16,37,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,伊藤 紘章,５　６３５　２５６　２５
05,2026-07-16,38,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,蜂須 瑞生,２１５６４　２　４５
05,2026-07-16,38,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,篠田 優也,２１４２４　３３４１
05,2026-07-16,38,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,田代 達也,４　３４４４４　５　１５
05,2026-07-16,39,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,君島 秀三,４５２１３３４３４１
05,2026-07-16,39,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,盛本 真輔,２１２５２　４２[６]
05,2026-07-16,39,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,牧 宏次,１４４　６５１　４
05,2026-07-16,40,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,大澤 大夢,４４１３４　４　５２
05,2026-07-16,40,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,富永 正人,５５４　３　２４４５
05,2026-07-16,40,2026-06-07,2026-06-11,一般,ボートレース多摩川バースデイカップ,石塚 久也,１３４　４４３３２２
05,2026-07-16,41,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,成貞 琳平,３　３　６５２６１３
05,2026-07-16,41,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,須藤 隆雄,１　５５４５６　５６
05,2026-07-16,41,2026-06-17,2026-06-22,一般,第１０回ａｕじぶん銀行賞,櫻井 優,６　６４２　１２４５２
05,2026-07-16,42,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,山下 大輝,１３３１１２３１[１]
05,2026-07-16,42,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,安田 吉宏,１　４４４　１６４６
05,2026-07-16,42,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,茶谷 信次,４４２２１　４４５２
05,2026-07-16,43,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,大谷 健太,５　３１４２２５１６
05,2026-07-16,43,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,石田 貴洋,３３３５５１１２[５]
05,2026-07-16,43,2026-06-28,2026-07-02,一般,第６２回日刊スポーツ賞,井手 良太,１３６　２３１１[３]
05,2026-07-16,44,2026-07-12,2026-07-16,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,馬野 耀,２２６　１４エ６４３
05,2026-07-16,44,2026-07-05,2026-07-09,一般,第５９回報知新聞社賞,野田 昇吾,６　３　５６６３４５
