レースコード,予想1着,予想2着,予想3着,予想決まり手
202601122211,1,2,3,逃げ
202601122101,1,2,4,逃げ
202601122102,2,4,1,逃げ
202601122103,1,3,2,逃げ
202601122104,1,2,4,逃げ
202601122105,1,2,3,逃げ
202601122106,1,3,2,逃げ
202601122107,1,2,3,逃げ
202601122108,1,4,3,逃げ
202601122109,1,3,2,逃げ
202601122110,1,4,3,逃げ
202601122111,1,3,2,逃げ
202601122112,1,2,3,逃げ
202601122001,1,2,4,逃げ
202601122002,1,3,4,逃げ
202601122003,1,3,4,逃げ
202601122004,1,2,3,逃げ
202601122005,1,3,4,逃げ
202601122006,1,3,4,逃げ
202601122007,1,2,3,逃げ
202601122008,1,4,3,逃げ
202601122009,1,3,4,逃げ
202601122010,1,3,4,逃げ
202601122011,1,3,4,逃げ
202601122012,1,2,4,逃げ
202601121901,1,2,3,逃げ
202601121902,1,3,2,逃げ
202601121903,1,4,3,逃げ
202601121904,1,3,2,逃げ
202601121905,1,2,3,逃げ
202601121906,1,4,2,逃げ
202601121907,3,4,1,逃げ
202601121908,1,3,2,逃げ
202601121909,1,2,3,逃げ
202601121910,1,3,4,逃げ
202601121911,1,3,2,逃げ
202601121912,1,2,4,逃げ
202601121801,1,2,3,逃げ
202601121802,1,2,6,逃げ
202601121803,1,2,4,逃げ
202601121804,1,2,4,逃げ
202601121805,1,2,4,逃げ
202601121806,1,2,3,逃げ
202601121807,1,2,4,逃げ
202601121808,1,2,3,逃げ
202601121809,1,2,4,逃げ
202601121810,1,3,2,逃げ
202601121811,1,2,4,逃げ
202601121812,1,2,3,逃げ
202601121601,3,2,4,逃げ
202601121602,1,2,4,逃げ
202601121603,3,2,4,逃げ
202601121604,4,3,1,逃げ
202601121605,3,2,1,逃げ
202601121606,1,3,4,逃げ
202601121607,1,2,4,逃げ
202601121608,1,3,2,逃げ
202601121609,1,2,4,逃げ
202601121610,1,3,2,逃げ
202601121611,1,6,3,逃げ
202601121612,1,3,4,逃げ
202601121501,1,2,3,逃げ
202601121502,1,3,2,逃げ
202601121503,1,2,3,逃げ
202601121504,1,3,2,逃げ
202601121505,1,2,4,逃げ
202601121506,1,2,3,逃げ
202601121507,1,3,2,逃げ
202601121508,1,2,4,逃げ
202601121509,1,3,2,逃げ
202601121510,1,4,3,逃げ
202601121511,2,1,3,逃げ
202601121512,1,2,3,逃げ
202601121401,1,2,3,逃げ
202601121402,1,2,3,逃げ
202601121403,1,4,2,逃げ
202601121404,1,3,2,逃げ
202601121405,1,4,3,逃げ
202601121406,2,1,3,逃げ
202601121407,4,1,2,逃げ
202601121408,1,2,3,逃げ
202601121409,1,4,2,逃げ
202601121410,1,4,2,逃げ
202601121411,1,2,3,逃げ
202601121412,1,2,3,逃げ
202601121201,1,5,2,逃げ
202601121202,1,2,3,逃げ
202601121203,2,5,1,差し
202601121204,3,2,1,差し
202601121205,1,3,2,逃げ
202601121206,1,4,3,逃げ
202601121207,1,3,4,逃げ
202601121208,1,4,2,逃げ
202601121209,1,4,3,逃げ
202601121210,1,2,5,逃げ
202601121211,1,2,3,逃げ
202601121212,1,3,2,逃げ
202601120901,1,2,5,逃げ
202601120902,1,2,3,逃げ
202601120903,1,3,2,差し
202601120904,2,1,5,逃げ
202601120905,1,2,5,逃げ
202601120906,1,6,2,逃げ
202601120907,1,4,2,差し
202601120908,2,1,4,逃げ
202601120909,1,4,3,逃げ
202601120910,2,1,4,差し
202601120911,1,2,4,逃げ
202601120912,1,2,3,逃げ
202601120601,2,5,6,まくり
202601120602,1,4,3,逃げ
202601120603,1,2,5,逃げ
202601120604,1,4,3,逃げ
202601120605,1,2,4,逃げ
202601120606,3,1,6,差し
202601120607,1,2,3,逃げ
202601120608,1,2,4,逃げ
202601120609,1,4,3,逃げ
202601120610,1,2,3,逃げ
202601120611,1,2,3,逃げ
202601120612,1,2,3,逃げ
202601120501,1,5,4,逃げ
202601120502,1,2,3,差し
202601120503,1,4,2,逃げ
202601120504,6,3,4,逃げ
202601120505,1,4,5,逃げ
202601120506,1,3,6,逃げ
202601120507,3,2,6,差し
202601120508,1,2,5,逃げ
202601120509,1,3,5,逃げ
202601120510,1,2,4,逃げ
202601120511,1,5,2,逃げ
202601120512,1,3,2,逃げ
202601120301,1,2,3,逃げ
202601120302,1,2,3,差し
202601120303,1,2,3,差し
202601120304,2,1,5,逃げ
202601120305,2,1,3,逃げ
202601120306,4,2,1,逃げ
202601120307,2,1,4,差し
202601120308,1,5,2,差し
202601120309,1,2,4,逃げ
202601120310,1,5,3,逃げ
202601120311,1,4,2,逃げ
202601120312,1,2,4,逃げ
202601120201,3,1,2,まくり
202601120202,3,2,1,まくり
202601120203,5,3,2,まくり
202601120204,1,2,4,まくり
202601120205,1,4,3,逃げ
202601120206,5,2,3,まくり
202601120207,1,2,4,逃げ
202601120208,2,3,1,差し
202601120209,3,2,1,差し
202601120210,1,2,6,逃げ
202601120211,1,2,4,逃げ
202601120212,1,3,5,逃げ
202601120101,1,3,4,逃げ
202601120102,2,1,4,差し
202601120103,2,1,4,差し
202601120104,1,4,2,逃げ
202601120105,1,6,3,逃げ
202601120106,1,2,3,逃げ
202601120107,1,3,4,逃げ
202601120108,1,5,3,逃げ
202601120109,1,2,4,逃げ
202601120110,1,2,5,逃げ
202601120111,1,3,2,逃げ
202601120112,1,2,4,逃げ
