レースコード,レース日,レース場コード,レース回,状態,1枠_コースpt,1枠_寄与_コースpt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_コースpt,2枠_寄与_コースpt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_コースpt,3枠_寄与_コースpt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_コースpt,4枠_寄与_コースpt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_コースpt,5枠_寄与_コースpt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_コースpt,6枠_寄与_コースpt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607230101,2026-07-23,01,1R,daily,61.86,21.91,44.28,9.26,45.58,6.19,50.0,10.84,50.0,4.2,52.4,50.78,17.99,44.28,9.26,36.78,5.0,50.0,10.84,50.0,4.2,47.28,50.46,17.87,48.2,10.08,29.22,3.97,50.0,10.84,50.0,4.2,46.96,50.1,17.75,50.16,10.49,40.96,5.56,50.0,10.84,50.0,4.2,48.84,45.85,16.24,46.24,9.67,23.96,3.25,50.0,10.84,50.0,4.2,44.21,40.84,14.47,50.16,10.49,42.87,5.82,50.0,10.84,50.0,4.2,45.82
202607230102,2026-07-23,01,2R,daily,61.24,21.7,46.24,9.67,55.24,7.5,50.0,10.84,50.0,4.2,53.91,48.94,17.34,46.24,9.67,46.59,6.33,50.0,10.84,50.0,4.2,48.38,51.68,18.31,50.16,10.49,44.01,5.98,50.0,10.84,50.0,4.2,49.81,48.26,17.1,44.28,9.26,46.88,6.37,50.0,10.84,50.0,4.2,47.76,47.69,16.89,42.32,8.85,54.34,7.38,50.0,10.84,50.0,4.2,48.16,42.06,14.9,46.24,9.67,40.61,5.52,50.0,10.84,50.0,4.2,45.13
202607230103,2026-07-23,01,3R,daily,61.97,21.95,46.24,9.67,50.08,6.8,50.0,10.84,50.0,4.2,53.46,48.38,17.14,40.36,8.44,58.3,7.92,50.0,10.84,50.0,4.2,48.54,51.12,18.11,44.28,9.26,47.02,6.39,50.0,10.84,50.0,4.2,48.8,48.31,17.11,46.24,9.67,45.63,6.2,50.0,10.84,50.0,4.2,48.02,47.72,16.91,42.32,8.85,40.12,5.45,50.0,10.84,50.0,4.2,46.25,42.39,15.02,65.84,13.77,56.74,7.71,50.0,10.84,50.0,4.2,51.53
202607230104,2026-07-23,01,4R,daily,63.38,22.45,42.32,8.85,58.04,7.88,50.0,10.84,50.0,4.2,54.23,49.56,17.56,48.2,10.08,52.99,7.2,50.0,10.84,50.0,4.2,49.87,47.7,16.9,42.32,8.85,21.38,2.9,50.0,10.84,50.0,4.2,43.69,51.32,18.18,50.16,10.49,51.59,7.01,50.0,10.84,50.0,4.2,50.72,44.93,15.92,30.56,6.39,48.36,6.57,50.0,10.84,50.0,4.2,43.92,42.98,15.23,63.88,13.36,49.08,6.67,50.0,10.84,50.0,4.2,50.29
202607230105,2026-07-23,01,5R,daily,63.38,22.45,44.28,9.26,43.28,5.88,50.0,10.84,50.0,4.2,52.63,49.25,17.45,52.12,10.9,44.71,6.07,50.0,10.84,50.0,4.2,49.46,49.23,17.44,48.2,10.08,32.44,4.41,50.0,10.84,50.0,4.2,46.97,50.71,17.96,58.0,12.13,62.49,8.49,50.0,10.84,50.0,4.2,53.62,45.55,16.13,40.36,8.44,35.99,4.89,50.0,10.84,50.0,4.2,44.5,41.76,14.79,59.96,12.54,45.77,6.22,50.0,10.84,50.0,4.2,48.59
202607230106,2026-07-23,01,6R,daily,80.39,28.48,54.08,11.31,60.99,8.29,50.0,10.84,50.0,4.2,63.11,43.47,15.4,44.28,9.26,51.37,6.98,50.0,10.84,50.0,4.2,46.68,44.06,15.61,44.28,9.26,45.58,6.19,50.0,10.84,50.0,4.2,46.1,46.16,16.35,42.32,8.85,72.26,9.82,50.0,10.84,50.0,4.2,50.06,44.34,15.71,44.28,9.26,57.28,7.78,50.0,10.84,50.0,4.2,47.79,41.46,14.69,34.48,7.21,62.37,8.47,50.0,10.84,50.0,4.2,45.41
202607230107,2026-07-23,01,7R,daily,77.69,27.52,50.16,10.49,42.05,5.71,50.0,10.84,50.0,4.2,58.77,43.81,15.52,46.24,9.67,23.96,3.25,50.0,10.84,50.0,4.2,43.49,50.61,17.93,56.04,11.72,61.98,8.42,50.0,10.84,50.0,4.2,53.11,44.98,15.93,42.32,8.85,49.84,6.77,50.0,10.84,50.0,4.2,46.6,42.53,15.07,46.24,9.67,55.24,7.5,50.0,10.84,50.0,4.2,47.28,40.24,14.26,38.4,8.03,46.93,6.38,50.0,10.84,50.0,4.2,43.7
202607230108,2026-07-23,01,8R,daily,70.41,24.94,50.16,10.49,40.96,5.56,50.0,10.84,50.0,4.2,56.04,43.52,15.42,44.28,9.26,46.88,6.37,50.0,10.84,50.0,4.2,46.09,46.31,16.41,42.32,8.85,40.12,5.45,50.0,10.84,50.0,4.2,45.75,47.19,16.72,42.32,8.85,49.53,6.73,50.0,10.84,50.0,4.2,47.34,51.27,18.16,61.92,12.95,51.65,7.02,50.0,10.84,50.0,4.2,53.17,41.18,14.59,34.48,7.21,44.52,6.05,50.0,10.84,50.0,4.2,42.88
202607230109,2026-07-23,01,9R,daily,71.2,25.22,58.0,12.13,62.49,8.49,50.0,10.84,50.0,4.2,60.88,46.99,16.64,48.2,10.08,43.33,5.89,50.0,10.84,50.0,4.2,47.65,47.91,16.97,48.2,10.08,72.29,9.82,50.0,10.84,50.0,4.2,51.91,47.23,16.73,44.28,9.26,36.78,5.0,50.0,10.84,50.0,4.2,46.03,45.38,16.07,46.24,9.67,46.59,6.33,50.0,10.84,50.0,4.2,47.11,41.18,14.59,44.28,9.26,47.02,6.39,50.0,10.84,50.0,4.2,45.28
202607230110,2026-07-23,01,10R,daily,75.77,26.84,50.16,10.49,51.59,7.01,50.0,10.84,50.0,4.2,59.38,46.71,16.55,50.16,10.49,42.87,5.82,50.0,10.84,50.0,4.2,47.9,45.11,15.98,46.24,9.67,40.61,5.52,50.0,10.84,50.0,4.2,46.21,47.58,16.86,52.12,10.9,29.96,4.07,50.0,10.84,50.0,4.2,46.87,43.83,15.53,46.24,9.67,50.08,6.8,50.0,10.84,50.0,4.2,47.04,40.88,14.48,48.2,10.08,32.44,4.41,50.0,10.84,50.0,4.2,44.01
