レースコード,タイトル,レース日,レース場,レース回,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃),艇1_艇番,艇1_コース,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト調整,艇1_スタート展示,艇2_艇番,艇2_コース,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト調整,艇2_スタート展示,艇3_艇番,艇3_コース,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト調整,艇3_スタート展示,艇4_艇番,艇4_コース,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト調整,艇4_スタート展示,艇5_艇番,艇5_コース,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト調整,艇5_スタート展示,艇6_艇番,艇6_コース,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト調整,艇6_スタート展示
201703060111,第１１回埼玉新聞社杯,2017-03-06,1,11R,1.0,2,1.0,2,8.0,10.0,1,1,52.9,0.0,6.71,-0.5,0.06,2,2,52.1,0.0,6.67,-0.5,0.1,3,3,52.8,0.0,6.79,-0.5,0.09,4,4,49.5,1.5,6.75,-0.5,0.06,5,6,49.5,1.5,6.81,-0.5,0.17,6,5,52.7,0.0,6.77,-0.5,0.13
201703060112,第１１回埼玉新聞社杯,2017-03-06,1,12R,1.0,2,1.0,2,7.0,10.0,1,1,53.8,0.0,6.67,-0.5,0.14,2,2,51.7,0.0,6.73,-0.5,0.18,3,3,51.1,0.0,6.71,-0.5,0.1,4,5,55.9,0.0,6.77,-0.5,0.1,5,6,52.6,0.0,6.77,-0.5,0.0,6,4,52.4,0.0,6.73,-0.5,0.05
201703060301,第１６回関東日刊紙ボートレース記者クラブ杯,2017-03-06,3,01R,3.0,1,5.0,3,10.0,11.0,1,1,58.9,0.0,6.67,0.0,0.03,2,2,51.5,0.0,6.72,0.0,0.19,3,3,51.8,0.0,6.68,0.0,0.09,4,4,53.5,0.0,6.71,0.0,-0.12,5,5,51.4,0.0,6.63,0.0,-0.03,6,6,55.4,0.0,6.78,0.0,-0.07
201703060302,第１６回関東日刊紙ボートレース記者クラブ杯,2017-03-06,3,02R,3.0,1,5.0,3,10.0,12.0,1,1,57.1,0.0,6.79,0.0,0.01,2,2,51.8,0.0,6.79,0.0,0.07,3,3,54.3,0.0,6.78,0.0,0.35,4,4,57.8,0.0,6.75,0.0,0.08,5,5,52.2,0.0,6.81,0.0,-0.03,6,6,51.6,0.0,6.8,0.5,-0.02
201703060303,第１６回関東日刊紙ボートレース記者クラブ杯,2017-03-06,3,03R,3.0,1,5.0,2,11.0,12.0,1,1,52.2,0.0,6.71,0.0,0.41,2,2,52.5,0.0,6.82,0.0,0.34,3,3,51.7,0.0,6.78,0.0,0.24,4,4,53.7,0.0,6.8,0.0,0.23,5,5,53.5,0.0,6.7,0.0,0.24,6,6,51.0,0.0,6.75,0.0,0.11
201703060304,第１６回関東日刊紙ボートレース記者クラブ杯,2017-03-06,3,04R,2.0,1,5.0,2,11.0,12.0,1,1,50.5,0.5,6.81,0.0,0.11,2,2,51.4,0.0,6.68,-0.5,0.06,3,3,56.9,0.0,6.8,0.5,-0.05,4,4,53.0,0.0,6.75,0.0,-0.06,5,5,53.2,0.0,6.77,0.5,0.02,6,6,53.0,0.0,6.76,0.0,0.09
201703060305,第１６回関東日刊紙ボートレース記者クラブ杯,2017-03-06,3,05R,0.0,1,5.0,2,11.0,12.0,1,1,53.5,0.0,6.77,0.0,0.29,2,2,58.9,0.0,6.8,0.0,0.0,3,3,51.2,0.0,6.81,0.0,-0.01,4,4,51.9,0.0,6.83,0.0,-0.02,5,5,57.3,0.0,6.82,0.0,0.08,6,6,53.8,0.0,6.91,0.0,0.07
201703060306,第１６回関東日刊紙ボートレース記者クラブ杯,2017-03-06,3,06R,0.0,1,5.0,3,11.0,12.0,1,1,51.8,0.0,6.62,0.0,0.25,2,2,51.3,0.0,6.79,-0.5,0.21,3,3,51.5,0.0,6.88,0.0,0.18,4,4,53.7,0.0,6.77,0.0,0.19,5,5,54.3,0.0,6.84,0.0,0.31,6,6,51.1,0.0,6.79,0.0,0.29
201703060307,第１６回関東日刊紙ボートレース記者クラブ杯,2017-03-06,3,07R,1.0,1,5.0,3,11.0,12.0,1,1,52.5,0.0,6.82,0.0,0.11,2,2,52.2,0.0,6.81,0.0,0.08,3,3,55.5,0.0,6.83,0.0,0.06,4,4,55.3,0.0,6.79,0.0,0.17,5,5,51.8,0.0,6.73,0.0,0.3,6,6,52.2,0.0,6.84,0.0,0.12
201703060308,第１６回関東日刊紙ボートレース記者クラブ杯,2017-03-06,3,08R,0.0,1,5.0,3,11.0,12.0,1,1,51.7,0.0,6.91,0.0,0.23,2,2,55.4,0.0,6.76,0.0,0.16,3,3,51.0,0.0,6.8,0.0,0.09,4,4,50.5,0.5,6.84,0.0,0.24,5,5,57.8,0.0,6.87,0.0,0.21,6,6,51.7,0.0,6.87,0.0,0.26
201703060309,第１６回関東日刊紙ボートレース記者クラブ杯,2017-03-06,3,09R,1.0,3,5.0,3,11.0,12.0,1,1,53.5,0.0,6.88,0.0,0.04,2,2,57.1,0.0,6.91,0.0,0.17,3,3,51.4,0.0,6.75,-0.5,0.29,4,4,53.8,0.0,6.82,0.0,0.09,5,5,53.4,0.0,6.81,0.0,0.09,6,6,53.5,0.0,6.82,0.0,0.39
201703060310,第１６回関東日刊紙ボートレース記者クラブ杯,2017-03-06,3,10R,1.0,3,5.0,3,10.0,12.0,1,1,51.9,0.0,6.85,0.0,0.07,2,2,53.0,0.0,6.84,0.0,0.21,3,3,51.6,0.0,6.92,0.5,0.15,4,4,51.3,0.0,6.9,0.0,0.07,5,5,51.2,0.0,6.86,0.0,0.14,6,6,53.7,0.0,6.98,0.0,0.19
201703060311,第１６回関東日刊紙ボートレース記者クラブ杯,2017-03-06,3,11R,3.0,3,5.0,3,10.0,12.0,1,1,55.5,0.0,6.91,0.0,0.11,2,2,53.5,0.0,6.82,0.0,-0.03,3,3,51.1,0.0,7.01,0.0,0.11,4,4,53.0,0.0,7.0,0.0,0.12,5,5,52.2,0.0,6.99,0.0,0.14,6,6,51.8,0.0,6.93,0.5,0.06
