レースコード,レース日,レース場,レース回,締切時刻,取得日時,2連単_1-2,2連単_1-3,2連単_1-4,2連単_1-5,2連単_1-6,2連単_2-1,2連単_2-3,2連単_2-4,2連単_2-5,2連単_2-6,2連単_3-1,2連単_3-2,2連単_3-4,2連単_3-5,2連単_3-6,2連単_4-1,2連単_4-2,2連単_4-3,2連単_4-5,2連単_4-6,2連単_5-1,2連単_5-2,2連単_5-3,2連単_5-4,2連単_5-6,2連単_6-1,2連単_6-2,2連単_6-3,2連単_6-4,2連単_6-5,2連複_1=2,2連複_1=3,2連複_1=4,2連複_1=5,2連複_1=6,2連複_2=3,2連複_2=4,2連複_2=5,2連複_2=6,2連複_3=4,2連複_3=5,2連複_3=6,2連複_4=5,2連複_4=6,2連複_5=6
202608102101,2026-08-10,21,01R,08:32,2026-08-10T08:22:23.964662+09:00,16.0,6.0,8.7,4.8,19.2,48.0,48.0,32.0,48.0,0.0,7.3,48.0,32.0,48.0,0.0,13.7,24.0,48.0,19.2,48.0,19.2,48.0,48.0,24.0,48.0,0.0,96.0,96.0,32.0,96.0,4.5,1.8,6.7,27.0,27.0,0.0,0.0,0.0,0.0,13.5,27.0,13.5,13.5,27.0,27.0
202608101401,2026-08-10,14,01R,08:40,2026-08-10T08:30:27.639784+09:00,2.5,3.0,11.3,7.9,18.3,32.6,150.3,75.1,83.5,187.8,37.5,57.8,68.3,107.3,50.1,57.8,53.6,125.2,125.2,150.3,22.7,83.5,250.5,375.7,83.5,75.1,250.5,57.8,125.2,150.3,2.8,2.1,10.2,6.0,14.4,14.4,72.0,72.0,36.0,0.0,36.0,0.0,0.0,72.0,36.0
202608102301,2026-08-10,23,01R,08:48,2026-08-10T08:38:20.792098+09:00,4.1,4.6,4.6,4.5,12.6,26.5,116.7,97.2,72.9,116.7,32.4,83.3,97.2,97.2,83.3,32.4,83.3,145.8,72.9,145.8,29.1,97.2,64.8,53.0,48.6,64.8,194.5,97.2,291.7,145.8,2.5,6.1,5.3,4.5,12.3,12.3,17.2,12.3,28.7,0.0,0.0,0.0,0.0,86.2,43.1
202608102102,2026-08-10,21,02R,08:58,2026-08-10T08:48:22.313792+09:00,6.4,8.7,4.6,13.1,68.4,24.4,114.0,38.0,85.5,114.0,34.2,68.4,19.0,68.4,171.0,4.8,17.1,11.4,11.0,48.8,24.4,342.0,342.0,68.4,171.0,171.0,0.0,0.0,171.0,342.0,12.9,7.2,2.1,11.6,58.1,29.0,6.8,0.0,116.2,9.6,19.3,116.2,7.2,23.2,38.7
202608101402,2026-08-10,14,02R,09:06,2026-08-10T08:56:20.737235+09:00,10.7,5.2,12.1,39.9,6.8,19.9,31.0,139.8,139.8,46.6,9.6,13.9,39.9,55.9,5.8,0.0,69.9,55.9,93.2,46.6,93.2,279.7,0.0,279.7,139.8,25.4,27.9,11.1,46.6,69.9,8.2,5.0,16.5,22.0,8.2,7.3,16.5,33.0,13.2,33.0,22.0,3.8,66.0,11.0,22.0
202608102302,2026-08-10,23,02R,09:14,2026-08-10T09:04:26.163639+09:00,2.1,36.4,12.1,26.0,60.7,4.3,10.7,15.1,10.1,45.5,22.7,22.7,91.1,45.5,0.0,0.0,60.7,0.0,60.7,182.2,182.2,60.7,182.2,91.1,0.0,0.0,0.0,0.0,182.2,0.0,1.2,19.1,19.1,19.1,0.0,6.3,38.2,9.5,38.2,38.2,0.0,0.0,0.0,38.2,38.2
202608102103,2026-08-10,21,03R,09:24,2026-08-10T09:14:23.858638+09:00,9.3,5.2,7.7,13.7,71.2,18.7,118.7,356.2,118.7,0.0,5.8,59.3,5.9,3.8,356.2,178.1,178.1,178.1,118.7,356.2,32.3,356.2,44.5,356.2,0.0,178.1,0.0,32.3,178.1,0.0,3.4,1.7,13.1,16.4,131.2,18.7,0.0,131.2,131.2,10.0,7.2,0.0,0.0,131.2,65.6
202608101403,2026-08-10,14,03R,09:32,2026-08-10T09:22:24.930179+09:00,18.1,9.7,3.6,14.0,21.1,31.6,0.0,63.3,42.2,0.0,25.3,14.0,25.3,63.3,126.7,5.5,14.0,42.2,9.7,31.6,42.2,63.3,126.7,31.6,63.3,126.7,126.7,0.0,126.7,126.7,5.5,11.0,2.0,16.5,0.0,8.2,5.5,0.0,16.5,33.0,33.0,0.0,33.0,33.0,33.0
202608102303,2026-08-10,23,03R,09:40,2026-08-10T09:30:37.974328+09:00,3.7,1.7,5.3,16.7,22.0,45.3,59.3,128.6,110.2,385.8,22.0,64.3,128.6,110.2,385.8,110.2,154.3,771.7,257.2,385.8,110.2,192.9,385.8,771.7,771.7,257.2,385.8,257.2,257.2,385.8,12.6,1.0,15.1,12.6,0.0,15.1,75.7,75.7,0.0,37.8,37.8,0.0,0.0,75.7,75.7
202608102104,2026-08-10,21,04R,09:50,2026-08-10T09:40:24.757426+09:00,3.1,5.6,4.2,26.5,26.5,23.2,93.0,46.5,46.5,62.0,20.6,62.0,37.2,93.0,93.0,13.2,23.2,46.5,62.0,46.5,31.0,93.0,93.0,62.0,93.0,93.0,186.0,186.0,62.0,186.0,3.3,14.5,2.7,14.5,21.7,14.5,8.7,43.5,43.5,10.8,0.0,0.0,43.5,10.8,21.7
202608101404,2026-08-10,14,04R,09:58,2026-08-10T09:48:19.003366+09:00,5.1,8.8,5.0,21.0,37.9,14.5,23.7,23.7,75.9,379.5,16.5,17.2,13.5,34.5,126.5,12.6,16.5,14.5,23.7,42.1,47.4,75.9,126.5,75.9,189.7,189.7,189.7,0.0,126.5,379.5,2.1,6.8,5.5,17.8,29.7,8.9,9.9,29.7,22.3,22.3,44.6,89.2,29.7,44.6,44.6
202608102304,2026-08-10,23,04R,10:06,2026-08-10T09:56:21.817239+09:00,4.7,12.0,16.3,25.2,46.3,4.0,5.5,11.5,23.1,69.5,16.3,21.4,34.7,69.5,278.2,27.8,25.2,46.3,92.7,278.2,69.5,69.5,139.1,278.2,92.7,139.1,139.1,278.2,278.2,139.1,1.4,6.0,11.4,51.3,0.0,6.8,11.4,25.6,51.3,34.2,51.3,0.0,34.2,102.7,102.7
202608102105,2026-08-10,21,05R,10:16,2026-08-10T10:06:22.772057+09:00,6.5,2.5,24.8,2.7,74.5,52.2,261.0,261.0,174.0,174.0,16.8,174.0,52.2,43.5,174.0,40.1,130.5,174.0,74.5,130.5,14.5,74.5,43.5,58.0,74.5,130.5,522.0,522.0,174.0,522.0,17.7,2.4,13.3,3.3,0.0,10.6,53.2,53.2,53.2,17.7,8.8,26.6,17.7,26.6,26.6
202608101405,2026-08-10,14,05R,10:24,2026-08-10T10:14:26.004113+09:00,10.3,7.5,11.3,17.3,33.0,40.4,40.4,72.7,121.2,121.2,2.7,13.9,8.4,13.9,15.1,60.6,33.0,90.9,181.8,90.9,45.4,181.8,121.2,363.7,121.2,60.6,90.9,181.8,363.7,363.7,11.1,1.9,14.8,17.8,14.8,9.9,9.9,22.3,29.7,17.8,14.8,17.8,44.6,29.7,29.7
202608100901,2026-08-10,09,01R,10:28,2026-08-10T10:18:28.310457+09:00,1.4,15.0,3.0,15.9,27.7,19.5,175.7,58.5,131.8,175.7,65.9,527.2,527.2,263.6,0.0,75.3,131.8,527.2,263.6,527.2,105.4,527.2,263.6,0.0,527.2,527.2,527.2,0.0,527.2,527.2,2.9,4.4,11.0,5.5,14.7,4.4,44.2,22.1,0.0,22.1,0.0,0.0,44.2,22.1,44.2
202608100801,2026-08-10,08,01R,10:32,2026-08-10T10:22:22.010232+09:00,7.4,14.8,3.2,22.2,6.7,14.8,222.0,74.0,31.7,111.0,55.5,222.0,55.5,222.0,111.0,10.0,31.7,74.0,55.5,24.6,31.7,74.0,0.0,222.0,222.0,11.1,37.0,74.0,22.2,55.5,6.2,17.5,2.7,9.7,5.4,21.9,12.5,21.9,9.7,29.2,87.7,87.7,87.7,9.7,43.8
