レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202608041001,2026-08-04,10,01R,08:32,2026-08-04T08:22:19.976952+09:00,1,0.07,2,0.04,3,0.09,4,0.15,5,0.07,6,0.15
202608042101,2026-08-04,21,01R,08:44,2026-08-04T08:34:21.169182+09:00,1,0.17,4,0.0,3,0.03,5,0.04,2,0.03,6,0.1
202608041002,2026-08-04,10,02R,08:58,2026-08-04T08:48:23.780887+09:00,1,0.27,2,0.24,3,0.19,6,0.07,5,0.05,4,0.32
202608042102,2026-08-04,21,02R,09:10,2026-08-04T09:01:09.042652+09:00,1,0.02,2,0.09,3,0.04,4,-0.01,5,-0.08,6,-0.02
202608041003,2026-08-04,10,03R,09:24,2026-08-04T09:14:23.066457+09:00,1,0.07,2,0.15,3,0.08,6,-0.01,4,0.15,5,0.06
202608042103,2026-08-04,21,03R,09:36,2026-08-04T09:26:23.825278+09:00,1,0.09,2,0.1,3,-0.01,4,0.1,5,0.02,6,0.17
202608041004,2026-08-04,10,04R,09:50,2026-08-04T09:40:26.228955+09:00,1,0.12,2,0.25,3,0.3,4,0.04,5,0.12,6,0.22
202608042104,2026-08-04,21,04R,10:02,2026-08-04T09:52:22.432795+09:00,1,-0.03,2,0.07,3,-0.04,4,-0.06,5,-0.01,6,0.04
202608041005,2026-08-04,10,05R,10:18,2026-08-04T10:08:24.614533+09:00,1,0.06,2,0.01,3,0.04,4,0.2,5,0.08,6,0.26
202608042105,2026-08-04,21,05R,10:30,2026-08-04T10:20:25.977508+09:00,1,0.13,2,0.13,3,-0.03,4,-0.06,5,-0.04,6,-0.06
202608041301,2026-08-04,13,01R,10:34,2026-08-04T10:24:21.873997+09:00,1,0.16,2,0.05,3,-0.01,4,-0.05,6,-0.01,5,-0.04
202608040801,2026-08-04,08,01R,10:40,2026-08-04T10:32:25.827217+09:00,1,-0.1,2,-0.08,3,-0.08,4,-0.07,5,0.14,6,-0.12
202608041006,2026-08-04,10,06R,10:45,2026-08-04T10:36:27.000490+09:00,1,0.04,2,0.18,3,0.19,4,0.05,5,0.11,6,0.18
202608041701,2026-08-04,17,01R,10:55,2026-08-04T10:46:21.276497+09:00,1,0.01,2,0.18,3,0.09,4,0.03,6,-0.1,5,-0.02
202608042106,2026-08-04,21,06R,10:59,2026-08-04T10:50:20.997909+09:00,1,0.16,2,0.21,3,0.21,4,0.1,5,0.18,6,0.18
202608041302,2026-08-04,13,02R,11:00,2026-08-04T10:52:21.524727+09:00,1,0.0,2,0.08,3,-0.05,4,-0.11,5,0.02,6,0.01
202608040802,2026-08-04,08,02R,11:09,2026-08-04T11:01:04.737153+09:00,1,0.13,2,-0.06,3,-0.07,4,-0.04,5,-0.05,6,0.3
