レースコード,タイトル,レース日,レース場,レース回,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃),艇1_艇番,艇1_コース,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト調整,艇1_スタート展示,艇2_艇番,艇2_コース,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト調整,艇2_スタート展示,艇3_艇番,艇3_コース,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト調整,艇3_スタート展示,艇4_艇番,艇4_コース,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト調整,艇4_スタート展示,艇5_艇番,艇5_コース,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト調整,艇5_スタート展示,艇6_艇番,艇6_コース,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト調整,艇6_スタート展示
202309040301,第４７回デイリースポーツ杯,2023-09-04,3,01R,3.0,3,5.0,2,27.0,29.0,1,1,52.1,0.0,6.6,0.0,0.17,2,2,59.6,0.0,6.59,0.0,0.0,3,3,55.5,0.0,6.68,0.0,0.04,4,4,57.4,0.0,6.6,0.5,0.05,5,5,56.3,0.0,6.53,0.5,0.1,6,6,55.6,0.0,6.55,0.5,0.04
202309040302,第４７回デイリースポーツ杯,2023-09-04,3,02R,5.0,1,5.0,2,27.0,29.0,1,1,52.0,0.0,6.44,0.5,0.04,2,2,52.2,0.0,6.61,0.0,0.35,3,3,52.0,0.0,6.55,0.0,-0.11,4,4,52.4,0.0,6.6,0.0,0.01,5,5,52.0,0.0,6.58,0.0,-0.06,6,6,53.0,0.0,6.61,0.0,0.18
202309040303,第４７回デイリースポーツ杯,2023-09-04,3,03R,5.0,1,5.0,2,27.0,29.0,1,1,52.5,0.0,6.49,0.5,0.15,2,2,52.0,0.0,6.58,0.5,0.23,3,3,52.0,0.0,6.52,1.0,0.11,4,4,52.3,0.0,6.55,1.0,-0.03,5,5,51.5,0.5,6.67,0.0,0.13,6,6,51.0,1.0,6.52,0.0,-0.07
202309040304,第４７回デイリースポーツ杯,2023-09-04,3,04R,4.0,1,5.0,2,28.0,29.0,1,1,51.5,0.5,6.52,0.0,0.09,2,2,52.0,0.0,6.51,0.5,0.22,3,3,52.2,0.0,6.64,0.5,0.16,4,4,52.6,0.0,6.54,1.0,0.69,5,5,52.0,0.0,6.54,0.5,0.19,6,6,52.0,0.0,6.46,0.5,0.43
202309040305,第４７回デイリースポーツ杯,2023-09-04,3,05R,4.0,1,5.0,2,28.0,29.0,1,1,51.0,1.0,6.5,0.5,0.04,2,2,52.2,0.0,6.54,0.5,0.11,3,3,52.0,0.0,6.53,0.5,0.06,4,4,55.5,0.0,6.67,0.5,0.15,5,5,52.4,0.0,6.61,0.5,0.17,6,6,53.1,0.0,6.56,0.0,0.07
202309040306,第４７回デイリースポーツ杯,2023-09-04,3,06R,4.0,1,5.0,2,29.0,29.0,1,1,52.4,0.0,6.53,0.0,0.14,2,2,54.1,0.0,6.59,0.5,0.14,3,3,59.6,0.0,6.76,0.0,0.15,4,4,51.5,0.5,6.64,1.0,0.18,5,5,52.0,0.0,6.62,0.0,0.09,6,6,52.0,0.0,6.57,0.0,0.13
202309040307,第４７回デイリースポーツ杯,2023-09-04,3,07R,3.0,1,5.0,2,29.0,29.0,1,1,52.0,0.0,6.55,1.0,-0.16,2,2,52.7,0.0,6.65,0.5,-0.13,3,3,54.0,0.0,6.6,0.5,-0.02,4,4,56.3,0.0,6.61,0.5,0.32,5,5,53.0,0.0,6.58,0.0,0.15,6,6,52.0,0.0,6.59,0.5,0.04
202309040308,第４７回デイリースポーツ杯,2023-09-04,3,08R,0.0,1,5.0,2,29.0,29.0,1,1,52.0,0.0,6.62,0.5,-0.04,2,2,52.0,0.0,6.61,1.0,-0.16,3,3,52.5,0.0,6.59,0.5,-0.08,4,4,52.0,0.0,6.52,0.5,-0.13,5,5,57.4,0.0,6.64,0.5,-0.02,6,6,51.5,0.5,6.59,0.0,0.04
202309040309,第４７回デイリースポーツ杯,2023-09-04,3,09R,0.0,1,5.0,2,29.0,29.0,1,1,52.7,0.0,6.78,0.0,0.32,2,2,52.6,0.0,6.8,0.5,0.09,3,3,52.2,0.0,6.75,0.5,0.28,4,4,51.0,1.0,6.77,0.0,-0.09,5,5,52.2,0.0,6.71,0.0,0.11,6,6,52.0,0.0,6.73,0.5,0.12
202309040310,第４７回デイリースポーツ杯,2023-09-04,3,10R,4.0,3,5.0,3,27.0,29.0,1,1,52.0,0.0,6.84,0.0,0.12,2,2,51.5,0.5,6.94,0.5,0.04,3,3,52.1,0.0,6.92,0.0,-0.01,4,4,52.0,0.0,6.89,0.0,0.21,5,5,52.0,0.0,6.83,0.0,0.02,6,6,52.4,0.0,6.77,0.5,0.06
202309040311,第４７回デイリースポーツ杯,2023-09-04,3,11R,5.0,3,5.0,3,27.0,29.0,1,1,52.0,0.0,6.88,0.0,0.28,2,2,54.0,0.0,6.89,0.5,0.21,3,3,51.5,0.5,6.89,0.0,0.18,4,4,51.0,1.0,6.8,0.5,0.05,5,5,51.5,0.5,6.84,0.0,0.02,6,6,52.0,0.0,6.84,0.0,0.11
202309040312,第４７回デイリースポーツ杯,2023-09-04,3,12R,3.0,3,5.0,2,27.0,29.0,1,1,52.0,0.0,6.84,0.5,0.08,2,2,52.0,0.0,6.85,0.5,0.05,3,3,52.7,0.0,6.92,0.5,0.07,4,4,52.0,0.0,6.83,0.0,0.12,5,5,52.3,0.0,6.89,0.0,0.18,6,6,54.1,0.0,6.81,0.0,0.16
