レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
202111022401,スポーツ報知杯,第7日,2021-11-02,ボートレース大村,1R,一般,1800,15:15,1,4603,谷川将太,33,長崎,53.0,B1,5.4,34.91,4.9,26.32,14,21.62,56,34.57,6,,,,,,,,,,,,,2,4661,中島昂章,29,佐賀,51.0,B1,4.97,29.17,5.0,29.63,63,54.17,55,34.25,1,,,,,,6,6,4,,,,256,3,4919,吉田翔悟,30,長崎,52.0,B1,4.81,29.13,5.08,30.96,36,22.37,71,33.77,4,1,2,,,,5,5,3,,,,641,4,4211,村田 敦,38,東京,58.0,B1,4.43,26.37,5.79,50.0,61,24.64,28,21.95,6,5,6,,,,5,4,5,,,,655,5,4077,品田直樹,43,東京,50.0,B1,4.3,20.56,4.5,12.5,31,26.67,44,23.61,3,,,,,,2,1,6,,,,355,6,3859,多羅尾達,48,東京,52.0,B1,4.33,20.37,2.75,,13,43.59,65,30.88,4,,,,,,2,4,6,,,,535
202111022402,スポーツ報知杯,第7日,2021-11-02,ボートレース大村,2R,一般,1800,15:45,1,3964,宮地博士,42,長崎,54.0,B1,4.24,19.59,4.43,19.35,27,29.49,73,22.58,5,5,3,,,,3,5,4,,,,5,2,4241,大串重幸,36,長崎,53.0,B1,4.72,26.58,5.34,36.52,62,32.5,26,22.86,1,6,5,,,,4,3,5,,,,334,3,4169,多田有佑,39,東京,56.0,B1,3.91,20.43,2.89,,49,43.42,72,20.0,5,,,,,,1,6,2,2,6,,345410,4,5094,生田波美,19,東京,51.0,B1,4.56,25.29,4.25,25.0,35,43.48,49,38.89,5,,,,,,3,3,2,,,,654,5,5070,中島 航,27,東京,51.0,B1,3.12,10.77,,,39,37.65,17,30.67,6,,,,,,6,5,5,6,5,,6,6,5155,内山七海,24,福岡,48.0,B2,1.46,1.03,,,44,24.32,41,25.0,5,6,6,,,,6,,,,,,56S
202111022403,スポーツ報知杯,第7日,2021-11-02,ボートレース大村,3R,一般,1800,16:25,1,3284,渡邊伸太,54,佐賀,53.0,A2,6.07,44.93,6.31,38.24,46,26.03,33,37.66,6,,,,,,5,3,3,2,2,4,,2,3434,松尾宣邦,52,福岡,55.0,B1,5.37,39.0,5.13,25.0,68,27.4,29,23.75,2,,,,,,2,6,3,,,,135,3,3741,松尾基成,47,福岡,57.0,B1,4.92,29.89,4.94,28.57,18,37.5,64,32.91,6,,,,,,4,6,5,,,,145,4,4575,戸塚邦好,33,東京,51.0,A2,5.85,40.66,4.35,15.0,28,37.8,54,38.46,5,,,,,,5,4,4,5,1,3,1,5,5048,眞鳥康太,27,長崎,55.0,B1,3.72,18.92,3.77,14.02,43,15.71,39,43.75,2,4,6,,,,6,2,5,,,,546,6,4779,伊倉 光,35,東京,53.0,B1,3.98,15.87,,,60,25.0,23,28.57,3,,,,,,4,4,4,5,3,,452
202111022404,スポーツ報知杯,第7日,2021-11-02,ボートレース大村,4R,一般,1800,16:53,1,4874,池田奈津,27,福岡,51.0,B1,4.15,17.72,3.31,15.38,37,30.88,47,31.08,5,2,5,,,,6,,,,,,145,2,4825,倉持莉々,28,東京,49.0,B1,6.45,46.85,5.43,29.55,19,33.33,34,46.15,2,6,3,,,,3,,,,,,311651,3,3334,角ひとみ,53,広島,45.0,B1,5.59,40.15,5.73,40.0,48,31.71,40,37.18,2,,,,,,4,5,2,,,,563566,4,4588,田中京介,30,福岡,56.0,A2,5.13,31.76,4.55,27.27,53,29.58,57,35.8,2,,,,,,1,1,4,6,6,6,1511,5,4213,重富伸也,37,長崎,54.0,B1,4.09,15.69,4.9,30.0,55,25.0,22,27.54,4,3,4,,,,1,3,4,,,,1656,6,3507,藤井 徹,50,大阪,53.0,B1,5.3,34.62,5.0,27.78,72,36.36,46,49.25,6,,,,,,2,4,1,,,,32231310
202111022405,スポーツ報知杯,第7日,2021-11-02,ボートレース大村,5R,一般,1800,17:19,1,3872,岡田憲行,45,大阪,52.0,A1,6.14,44.88,5.71,40.0,45,36.99,63,27.4,2,6,5,,,,1,2,2,1,3,4,,2,4847,佐藤隆太,27,東京,53.0,A2,6.04,41.96,5.48,39.39,57,44.0,51,29.76,4,3,1,,,,2,6,6,2,2,4,,3,4027,松江秀徳,43,佐賀,55.0,A2,6.0,41.32,5.87,38.46,52,21.43,31,37.31,4,6,3,6,5,,1,6,2,2,3,,9,4,4963,實森美祐,25,広島,45.0,B1,6.21,44.57,4.98,33.33,17,48.15,61,25.0,6,3,1,,,,2,,,,,,44223411,5,4661,中島昂章,29,佐賀,51.0,B1,4.97,29.17,5.0,29.63,63,54.17,55,34.25,1,,,,,,6,6,4,,,,256,6,3485,竹村祥司,49,大阪,53.0,B1,3.97,23.38,5.29,42.86,30,53.16,45,30.3,1,5,6,,,,5,6,,,,,4
202111022406,スポーツ報知杯,第7日,2021-11-02,ボートレース大村,6R,一般,1800,17:47,1,3582,吉川昭男,48,滋賀,53.0,A1,6.5,50.89,7.67,75.0,56,22.37,16,21.92,3,2,3,1,4,,1,3,1,3,1,0,,2,3859,多羅尾達,48,東京,52.0,B1,4.33,20.37,2.75,,13,43.59,65,30.88,4,,,,,,2,4,6,,,,535,3,3915,繁野谷圭,47,大阪,52.0,A1,6.44,46.83,6.09,39.13,24,35.8,48,34.67,2,4,5,5,3,,2,3,2,4,3,5,,4,4395,下河雅史,35,福岡,56.0,B1,4.55,28.77,5.71,42.22,11,36.11,43,37.65,4,3,1,,,,1,4,4,2,4,5,,5,4603,谷川将太,33,長崎,53.0,B1,5.4,34.91,4.9,26.32,14,21.62,56,34.57,1,,,,,,,,,,,,,6,5070,中島 航,27,東京,51.0,B1,3.12,10.77,,,39,37.65,17,30.67,6,,,,,,6,5,5,6,5,,6
202111022407,スポーツ報知杯,第7日,2021-11-02,ボートレース大村,7R,一般 進入固定 Ｈ１８０,ｍ電,18:16,1,5048,眞鳥康太,27,長崎,55.0,B1,3.72,18.92,3.77,14.02,43,15.71,39,43.75,2,4,6,,,,6,2,5,,,,546,2,3964,宮地博士,42,長崎,54.0,B1,4.24,19.59,4.43,19.35,27,29.49,73,22.58,5,5,3,,,,3,5,4,,,,5,3,4211,村田 敦,38,東京,58.0,B1,4.43,26.37,5.79,50.0,61,24.64,28,21.95,6,5,6,,,,5,4,5,,,,655,4,3527,中嶋誠一,50,長崎,52.0,A2,5.65,34.33,5.89,38.26,38,21.13,52,36.62,4,5,1,3,4,,3,2,2,3,1,1,,5,3741,松尾基成,47,福岡,57.0,B1,4.92,29.89,4.94,28.57,18,37.5,64,32.91,6,,,,,,4,6,5,,,,145,6,5094,生田波美,19,東京,51.0,B1,4.56,25.29,4.25,25.0,35,43.48,49,38.89,5,,,,,,3,3,2,,,,654
202111022408,スポーツ報知杯,第7日,2021-11-02,ボートレース大村,8R,一般,1800,18:45,1,4575,戸塚邦好,33,東京,51.0,A2,5.85,40.66,4.35,15.0,28,37.8,54,38.46,5,,,,,,5,4,4,5,1,3,1,2,4213,重富伸也,37,長崎,54.0,B1,4.09,15.69,4.9,30.0,55,25.0,22,27.54,4,3,4,,,,1,3,4,,,,1656,3,4543,重木輝彦,33,兵庫,49.0,A1,6.24,47.17,5.5,31.25,65,39.19,24,44.05,3,,,,,,2,4,1,1,1,1,,4,4874,池田奈津,27,福岡,51.0,B1,4.15,17.72,3.31,15.38,37,30.88,47,31.08,5,2,5,,,,6,,,,,,145,5,5155,内山七海,24,福岡,48.0,B2,1.46,1.03,,,44,24.32,41,25.0,5,6,6,,,,6,,,,,,56S,6,4919,吉田翔悟,30,長崎,52.0,B1,4.81,29.13,5.08,30.96,36,22.37,71,33.77,4,1,2,,,,5,5,3,,,,641
202111022409,スポーツ報知杯,第7日,2021-11-02,ボートレース大村,9R,一般特選,1800,19:14,1,3618,海野ゆか,47,広島,43.0,A1,6.9,52.29,6.68,47.69,23,35.53,15,47.22,1,,,,,,4,5,3,4,2,2,,2,4779,伊倉 光,35,東京,53.0,B1,3.98,15.87,,,60,25.0,23,28.57,3,,,,,,4,4,4,5,3,,452,3,4077,品田直樹,43,東京,50.0,B1,4.3,20.56,4.5,12.5,31,26.67,44,23.61,3,,,,,,2,1,6,,,,355,4,4027,松江秀徳,43,佐賀,55.0,A2,6.0,41.32,5.87,38.46,52,21.43,31,37.31,4,6,3,6,5,,1,6,2,2,3,,5,5,4825,倉持莉々,28,東京,49.0,B1,6.45,46.85,5.43,29.55,19,33.33,34,46.15,2,6,3,,,,3,,,,,,311651,6,4241,大串重幸,36,長崎,53.0,B1,4.72,26.58,5.34,36.52,62,32.5,26,22.86,1,6,5,,,,4,3,5,,,,334
202111022410,スポーツ報知杯,第7日,2021-11-02,ボートレース大村,10R,特別選抜戦,1800,19:45,1,3507,藤井 徹,50,大阪,53.0,B1,5.3,34.62,5.0,27.78,72,36.36,46,49.25,6,,,,,,2,4,1,,,,322313,2,3582,吉川昭男,48,滋賀,53.0,A1,6.5,50.89,7.67,75.0,56,22.37,16,21.92,3,2,3,1,4,,1,3,1,3,,,6,3,4395,下河雅史,35,福岡,56.0,B1,4.55,28.77,5.71,42.22,11,36.11,43,37.65,4,3,1,,,,1,4,4,2,4,5,6,4,3872,岡田憲行,45,大阪,52.0,A1,6.14,44.88,5.71,40.0,45,36.99,63,27.4,2,6,5,,,,1,2,2,1,3,4,5,5,3284,渡邊伸太,54,佐賀,53.0,A2,6.07,44.93,6.31,38.24,46,26.03,33,37.66,6,,,,,,5,3,3,2,2,4,3,6,4169,多田有佑,39,東京,56.0,B1,3.91,20.43,2.89,,49,43.42,72,20.0,5,,,,,,1,6,2,2,6,,3454
